id,support,pattern
0,0.458,whole milk
1,0.053,hard cheese
2,0.062,beverages
3,0.165,canned beer
4,0.231,root vegetables
5,0.063,frozen meals
6,0.008,nuts/prunes
7,0.159,bottled beer
8,0.136,brown bread
9,0.032,packaged fruit/vegetables
10,0.171,pip fruit
11,0.018,specialty cheese
12,0.016,finished products
13,0.008,ketchup
14,0.040,red/blush wine
15,0.030,canned fish
16,0.065,butter milk
17,0.283,yogurt
18,0.021,canned vegetables
19,0.054,candy
20,0.008,dental care
21,0.089,white bread
22,0.038,soft cheese
23,0.009,jam
24,0.036,flour
25,0.026,seasonal products
26,0.059,misc. beverages
27,0.076,onions
28,0.023,salt
29,0.017,flower (seeds)
30,0.065,long life bakery product
31,0.034,dishes
32,0.080,hamburger meat
33,0.140,newspapers
34,0.377,other vegetables
35,0.018,frozen potato products
36,0.133,domestic eggs
37,0.011,cereals
38,0.044,white wine
39,0.117,margarine
40,0.052,sliced cheese
41,0.234,tropical fruit
42,0.178,pastry
43,0.020,turkey
44,0.021,roll products
45,0.079,uht-milk
46,0.058,specialty chocolate
47,0.086,chocolate
48,0.010,brandy
49,0.012,curd cheese
50,0.012,sparkling wine
51,0.010,female sanitary products
52,0.030,pot plants
53,0.026,liquor
54,0.120,beef
55,0.121,curd
56,0.155,whipped/sour cream
57,0.020,photo/film
58,0.053,specialty bar
59,0.019,dish cleaner
60,0.168,shopping bags
61,0.017,liquor (appetizer)
62,0.017,sweet spreads
63,0.013,vinegar
64,0.031,baking powder
65,0.081,napkins
66,0.055,grapes
67,0.185,citrus fruit
68,0.086,dessert
69,0.019,cling film/bags
70,0.069,salty snack
71,0.138,frankfurter
72,0.017,dog food
73,0.015,zwieback
74,0.101,chicken
75,0.132,pork
76,0.089,cream cheese
77,0.008,rum
78,0.025,spread cheese
79,0.080,berries
80,0.206,sausage
81,0.024,condensed milk
82,0.039,herbs
83,0.022,pet care
84,0.063,ham
85,0.044,cat food
86,0.012,house keeping products
87,0.069,waffles
88,0.045,chewing gum
89,0.026,frozen fish
90,0.033,pickled vegetables
91,0.008,cleaner
92,0.011,softener
93,0.103,frozen vegetables
94,0.052,hygiene articles
95,0.125,fruit/vegetable juice
96,0.038,processed cheese
97,0.012,liver loaf
98,0.023,cake bar
99,0.313,soda
100,0.013,rice
101,0.115,coffee
102,0.023,frozen dessert
103,0.350,rolls/buns
104,0.064,meat
105,0.010,spices
106,0.066,sugar
107,0.011,sauces
108,0.012,popcorn
109,0.214,bottled water
110,0.019,mayonnaise
111,0.017,candles
112,0.009,male cosmetics
113,0.008,kitchen towels
114,0.015,instant food products
115,0.056,oil
116,0.009,meat spreads
117,0.023,mustard
118,0.056,ice cream
119,0.015,instant coffee
120,0.012,soups
121,0.033,detergent
122,0.030,pasta
123,0.015,chocolate marshmallow
124,0.126,butter
125,0.036,semi-finished bread
126,0.009,pip fruit;cat food
127,0.038,brown bread;bottled water
128,0.013,pastry;misc. beverages
129,0.012,dishes;rolls/buns
130,0.018,pip fruit;berries
131,0.018,butter;coffee
132,0.012,pork;onions
133,0.009,other vegetables;frozen dessert
134,0.012,shopping bags;hard cheese
135,0.010,pet care;other vegetables
136,0.031,other vegetables;waffles
137,0.013,white wine;sausage
138,0.055,canned beer;soda
139,0.013,tropical fruit;ice cream
140,0.015,canned beer;meat
141,0.011,frankfurter;sugar
142,0.033,rolls/buns;cream cheese
143,0.025,beef;pip fruit
144,0.024,frozen vegetables;canned beer
145,0.031,pip fruit;canned beer
146,0.012,sausage;oil
147,0.009,frozen vegetables;ham
148,0.014,yogurt;cat food
149,0.009,specialty cheese;whole milk
150,0.061,pip fruit;soda
151,0.013,pip fruit;candy
152,0.038,yogurt;beef
153,0.010,oil;coffee
154,0.011,pip fruit;hygiene articles
155,0.052,yogurt;canned beer
156,0.014,pip fruit;meat
157,0.020,yogurt;candy
158,0.016,butter milk;tropical fruit
159,0.012,canned fish;other vegetables
160,0.012,semi-finished bread;soda
161,0.038,white bread;rolls/buns
162,0.034,bottled beer;pastry
163,0.097,yogurt;soda
164,0.017,ham;bottled water
165,0.014,mustard;whole milk
166,0.016,pastry;napkins
167,0.018,yogurt;sliced cheese
168,0.010,flour;bottled water
169,0.018,yogurt;meat
170,0.009,margarine;cream cheese
171,0.013,frankfurter;misc. beverages
172,0.051,beef;other vegetables
173,0.012,white wine;citrus fruit
174,0.036,frozen vegetables;soda
175,0.011,bottled beer;grapes
176,0.021,domestic eggs;coffee
177,0.015,sliced cheese;root vegetables
178,0.024,other vegetables;specialty bar
179,0.045,shopping bags;tropical fruit
180,0.013,liquor;other vegetables
181,0.033,tropical fruit;coffee
182,0.016,ice cream;bottled water
183,0.008,frozen vegetables;meat
