id,support,pattern
0,0.440,chleb
1,0.490,pomidory
2,0.540,olej
3,0.480,makaron
4,0.450,sól
5,0.600,kukurydza
6,0.460,mleko
7,0.570,jajka
8,0.500,kawa
9,0.470,majonez
10,0.520,cukier
11,0.260,pomidory;makaron
12,0.290,mleko;jajka
13,0.290,pomidory;olej
14,0.300,olej;makaron
15,0.260,olej;majonez
16,0.260,kukurydza;sól
17,0.220,sól;majonez
18,0.200,chleb;sól
19,0.200,chleb;majonez
20,0.280,kukurydza;olej
21,0.300,kukurydza;makaron
22,0.220,mleko;majonez
23,0.270,olej;sól
24,0.280,kukurydza;majonez
25,0.270,makaron;cukier
26,0.270,kawa;olej
27,0.220,jajka;sól
28,0.220,olej;chleb
29,0.200,majonez;cukier
30,0.300,chleb;jajka
31,0.300,olej;jajka
32,0.220,kawa;cukier
33,0.230,kawa;sól
34,0.210,mleko;cukier
35,0.260,kawa;kukurydza
36,0.240,makaron;sól
37,0.240,olej;mleko
38,0.290,jajka;cukier
39,0.220,chleb;mleko
40,0.260,pomidory;mleko
41,0.230,chleb;cukier
42,0.290,kukurydza;mleko
43,0.210,pomidory;chleb
44,0.240,olej;cukier
45,0.260,mleko;makaron
46,0.290,kawa;jajka
47,0.260,kukurydza;chleb
48,0.270,makaron;jajka
49,0.280,pomidory;jajka
50,0.240,kawa;majonez
51,0.290,jajka;majonez
52,0.270,pomidory;kukurydza
53,0.330,kukurydza;cukier
54,0.360,kukurydza;jajka
55,0.300,kawa;pomidory
56,0.270,kawa;mleko
57,0.240,makaron;majonez
58,0.230,kawa;makaron
59,0.210,sól;cukier
60,0.210,pomidory;cukier
61,0.250,pomidory;sól
62,0.200,kukurydza;jajka;cukier
