id,support,pattern
0,0.44,chleb
1,0.49,pomidory
2,0.54,olej
3,0.48,makaron
4,0.45,sól
5,0.6,kukurydza
6,0.46,mleko
7,0.57,jajka
8,0.5,kawa
9,0.47,majonez
10,0.52,cukier
11,0.26,pomidory;makaron
12,0.29,mleko;jajka
13,0.29,pomidory;olej
14,0.3,olej;makaron
15,0.26,olej;majonez
16,0.18,pomidory;majonez
17,0.26,kukurydza;sól
18,0.22,sól;majonez
19,0.19,kawa;chleb
20,0.2,chleb;sól
21,0.2,chleb;majonez
22,0.28,kukurydza;olej
23,0.3,kukurydza;makaron
24,0.22,mleko;majonez
25,0.27,olej;sól
26,0.28,kukurydza;majonez
27,0.18,chleb;makaron
28,0.19,mleko;sól
29,0.27,makaron;cukier
30,0.27,kawa;olej
31,0.22,jajka;sól
32,0.22,olej;chleb
33,0.2,majonez;cukier
34,0.3,chleb;jajka
35,0.3,olej;jajka
36,0.22,kawa;cukier
37,0.23,kawa;sól
38,0.21,mleko;cukier
39,0.26,kawa;kukurydza
40,0.24,makaron;sól
41,0.24,olej;mleko
42,0.29,jajka;cukier
43,0.22,chleb;mleko
44,0.26,pomidory;mleko
45,0.23,chleb;cukier
46,0.29,kukurydza;mleko
47,0.21,pomidory;chleb
48,0.24,olej;cukier
49,0.26,mleko;makaron
50,0.29,kawa;jajka
51,0.26,kukurydza;chleb
52,0.27,makaron;jajka
53,0.28,pomidory;jajka
54,0.24,kawa;majonez
55,0.29,jajka;majonez
56,0.27,pomidory;kukurydza
57,0.33,kukurydza;cukier
58,0.36,kukurydza;jajka
59,0.3,kawa;pomidory
60,0.27,kawa;mleko
61,0.24,makaron;majonez
62,0.23,kawa;makaron
63,0.21,sól;cukier
64,0.21,pomidory;cukier
65,0.25,pomidory;sól
66,0.07,kawa;sól;cukier
67,0.13,kawa;mleko;majonez
68,0.08,kawa;chleb;makaron
69,0.11,pomidory;chleb;cukier
70,0.15,pomidory;makaron;sól
71,0.11,pomidory;makaron;majonez
72,0.11,kawa;mleko;sól
73,0.09,kawa;kukurydza;chleb
74,0.13,olej;makaron;cukier
75,0.12,pomidory;olej;chleb
76,0.15,pomidory;jajka;cukier
77,0.08,kawa;majonez;cukier
78,0.19,kawa;mleko;jajka
79,0.15,makaron;jajka;cukier
80,0.11,jajka;sól;cukier
81,0.1,jajka;majonez;cukier
82,0.15,olej;majonez;sól
83,0.1,kawa;pomidory;cukier
84,0.14,mleko;makaron;jajka
85,0.12,mleko;jajka;majonez
86,0.17,kawa;pomidory;sól
87,0.14,olej;jajka;cukier
88,0.12,kukurydza;olej;mleko
89,0.12,chleb;makaron;jajka
90,0.16,chleb;jajka;majonez
91,0.13,kawa;olej;mleko
92,0.14,kukurydza;olej;cukier
93,0.11,chleb;mleko;makaron
94,0.12,mleko;makaron;majonez
95,0.13,pomidory;makaron;cukier
96,0.18,olej;makaron;sól
97,0.14,kawa;olej;majonez
98,0.15,pomidory;kukurydza;cukier
99,0.15,olej;mleko;jajka
100,0.17,pomidory;olej;makaron
101,0.17,olej;mleko;makaron
102,0.11,pomidory;chleb;mleko
103,0.06,pomidory;chleb;majonez
104,0.11,pomidory;jajka;majonez
105,0.15,kukurydza;mleko;cukier
106,0.15,pomidory;mleko;makaron
107,0.14,pomidory;makaron;jajka
108,0.11,kukurydza;mleko;sól
109,0.12,kawa;kukurydza;olej
110,0.1,olej;chleb;mleko
111,0.09,chleb;makaron;majonez
112,0.15,kukurydza;olej;makaron
113,0.16,kawa;kukurydza;jajka
114,0.16,pomidory;kukurydza;makaron
115,0.07,olej;sól;cukier
116,0.16,kukurydza;mleko;jajka
117,0.11,olej;mleko;majonez
118,0.14,pomidory;kukurydza;olej
119,0.1,chleb;makaron;sól
120,0.11,pomidory;olej;majonez
121,0.09,pomidory;majonez;sól
122,0.12,kukurydza;chleb;majonez
123,0.09,makaron;sól;cukier
124,0.13,kukurydza;olej;sól
125,0.15,olej;jajka;majonez
126,0.13,kukurydza;mleko;majonez
127,0.18,kukurydza;chleb;jajka
128,0.11,kawa;jajka;cukier
129,0.16,kukurydza;sól;cukier
130,0.12,makaron;jajka;sól
131,0.14,makaron;jajka;majonez
132,0.16,pomidory;olej;jajka
133,0.08,olej;majonez;cukier
134,0.14,jajka;majonez;sól
135,0.11,kawa;pomidory;majonez
136,0.11,pomidory;kukurydza;chleb
137,0.17,kawa;pomidory;mleko
138,0.12,kawa;mleko;cukier
139,0.05,pomidory;majonez;cukier
140,0.06,kawa;chleb;cukier
141,0.09,chleb;makaron;cukier
142,0.12,mleko;majonez;sól
143,0.15,kawa;kukurydza;mleko
144,0.1,pomidory;olej;cukier
145,0.11,kawa;kukurydza;majonez
146,0.18,pomidory;olej;sól
147,0.08,chleb;majonez;cukier
148,0.1,chleb;majonez;sól
149,0.18,kukurydza;jajka;majonez
150,0.14,mleko;makaron;cukier
151,0.13,mleko;makaron;sól
152,0.16,kawa;pomidory;jajka
153,0.14,kukurydza;chleb;mleko
154,0.15,pomidory;olej;mleko
155,0.2,kukurydza;jajka;cukier
156,0.14,kawa;kukurydza;cukier
157,0.11,kawa;chleb;sól
158,0.16,chleb;mleko;jajka
159,0.08,mleko;sól;cukier
160,0.15,kawa;jajka;majonez
161,0.13,kawa;makaron;jajka
162,0.08,mleko;majonez;cukier
163,0.13,kawa;jajka;sól
164,0.14,kukurydza;makaron;sól
165,0.11,olej;mleko;cukier
166,0.11,chleb;mleko;majonez
167,0.14,kawa;pomidory;makaron
168,0.1,kawa;olej;chleb
169,0.19,kukurydza;makaron;cukier
170,0.12,kawa;makaron;majonez
171,0.12,kukurydza;jajka;sól
172,0.14,kawa;chleb;jajka
173,0.08,pomidory;sól;cukier
174,0.17,kawa;pomidory;olej
175,0.12,kawa;makaron;sól
176,0.12,pomidory;chleb;makaron
177,0.09,pomidory;mleko;majonez
178,0.12,kukurydza;majonez;sól
179,0.09,kukurydza;olej;chleb
180,0.1,kawa;kukurydza;sól
181,0.16,olej;chleb;jajka
182,0.14,kukurydza;olej;jajka
183,0.1,kukurydza;chleb;sól
184,0.12,kawa;chleb;mleko
185,0.16,kawa;olej;makaron
186,0.1,olej;chleb;majonez
187,0.12,chleb;sól;cukier
188,0.14,kawa;mleko;makaron
189,0.1,kawa;chleb;majonez
190,0.13,kukurydza;chleb;cukier
191,0.11,olej;chleb;sól
192,0.1,chleb;mleko;cukier
193,0.12,olej;chleb;makaron
194,0.11,kawa;makaron;cukier
195,0.17,pomidory;chleb;jajka
196,0.15,kawa;pomidory;kukurydza
197,0.14,kukurydza;majonez;cukier
198,0.1,majonez;sól;cukier
199,0.13,chleb;jajka;cukier
200,0.11,makaron;majonez;cukier
201,0.1,olej;mleko;sól
202,0.13,mleko;jajka;cukier
203,0.18,olej;makaron;jajka
204,0.12,pomidory;kukurydza;sól
205,0.15,kawa;olej;jajka
206,0.15,pomidory;mleko;jajka
207,0.13,olej;jajka;sól
208,0.12,kawa;majonez;sól
209,0.12,kukurydza;olej;majonez
210,0.09,olej;chleb;cukier
211,0.14,pomidory;kukurydza;jajka
212,0.12,kawa;kukurydza;makaron
213,0.09,chleb;mleko;sól
214,0.09,pomidory;chleb;sól
215,0.17,olej;makaron;majonez
216,0.16,makaron;majonez;sól
217,0.12,chleb;jajka;sól
218,0.17,kukurydza;mleko;makaron
219,0.1,mleko;jajka;sól
220,0.13,kukurydza;makaron;majonez
221,0.15,pomidory;kukurydza;mleko
222,0.12,pomidory;jajka;sól
223,0.11,kukurydza;chleb;makaron
224,0.11,kawa;pomidory;chleb
225,0.15,kukurydza;makaron;jajka
226,0.11,pomidory;mleko;sól
227,0.1,pomidory;mleko;cukier
228,0.08,pomidory;kukurydza;majonez
229,0.11,kawa;olej;cukier
230,0.17,kawa;olej;sól
231,0.07,kawa;pomidory;makaron;majonez
232,0.04,pomidory;kukurydza;chleb;sól
233,0.09,pomidory;chleb;jajka;cukier
234,0.04,kukurydza;chleb;mleko;sól
235,0.08,kawa;kukurydza;mleko;cukier
236,0.05,kawa;olej;jajka;cukier
237,0.08,kawa;pomidory;makaron;sól
238,0.01,pomidory;kukurydza;chleb;majonez
239,0.05,pomidory;makaron;sól;cukier
240,0.05,kawa;olej;chleb;mleko
241,0.06,mleko;makaron;jajka;majonez
242,0.03,kawa;pomidory;chleb;cukier
243,0.06,kukurydza;olej;chleb;jajka
244,0.03,kawa;jajka;sól;cukier
245,0.03,olej;sól;majonez;cukier
246,0.06,pomidory;chleb;makaron;sól
247,0.09,kawa;mleko;jajka;majonez
248,0.09,kawa;mleko;makaron;jajka
249,0.07,kukurydza;chleb;mleko;majonez
250,0.04,pomidory;kukurydza;jajka;majonez
251,0.06,pomidory;kukurydza;makaron;jajka
252,0.06,kawa;pomidory;jajka;cukier
253,0.05,kawa;kukurydza;olej;mleko
254,0.09,olej;jajka;sól;majonez
255,0.04,pomidory;chleb;makaron;majonez
256,0.04,pomidory;kukurydza;jajka;sól
257,0.07,kawa;pomidory;olej;chleb
258,0.02,kawa;olej;chleb;cukier
259,0.08,kawa;kukurydza;olej;cukier
260,0.06,kukurydza;mleko;sól;cukier
261,0.09,kukurydza;olej;mleko;makaron
262,0.06,pomidory;mleko;jajka;cukier
263,0.05,kawa;chleb;makaron;jajka
264,0.09,kawa;chleb;jajka;majonez
265,0.09,kawa;pomidory;mleko;makaron
266,0.05,chleb;mleko;jajka;cukier
267,0.05,mleko;makaron;jajka;sól
268,0.04,mleko;jajka;sól;cukier
269,0.1,kawa;pomidory;olej;makaron
270,0.11,kawa;olej;makaron;sól
271,0.06,kawa;pomidory;chleb;mleko
272,0.08,kawa;pomidory;kukurydza;olej
273,0.08,kukurydza;chleb;sól;cukier
274,0.09,mleko;makaron;sól;majonez
275,0.1,kawa;kukurydza;mleko;jajka
276,0.04,kawa;olej;sól;cukier
277,0.04,kukurydza;olej;chleb;cukier
278,0.07,kukurydza;olej;mleko;cukier
279,0.06,pomidory;olej;makaron;cukier
280,0.05,chleb;mleko;makaron;sól
281,0.07,kawa;kukurydza;olej;makaron
282,0.07,kawa;olej;mleko;majonez
283,0.08,kawa;mleko;makaron;cukier
284,0.08,olej;chleb;mleko;jajka
285,0.08,kukurydza;olej;jajka;cukier
286,0.08,kawa;makaron;jajka;majonez
287,0.06,pomidory;mleko;makaron;majonez
288,0.07,kukurydza;olej;makaron;majonez
289,0.07,kawa;kukurydza;chleb;jajka
290,0.08,pomidory;mleko;makaron;sól
291,0.03,pomidory;kukurydza;sól;majonez
292,0.07,kawa;mleko;sól;majonez
293,0.08,kukurydza;chleb;jajka;cukier
294,0.07,chleb;makaron;jajka;majonez
295,0.01,kawa;chleb;makaron;cukier
296,0.07,kawa;makaron;jajka;sól
297,0.12,kawa;pomidory;olej;sól
298,0.04,olej;chleb;mleko;cukier
299,0.06,chleb;mleko;makaron;majonez
300,0.07,pomidory;olej;sól;majonez
301,0.04,chleb;makaron;sól;cukier
