id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
0,berries;bottled water;pork,0.004,other vegetables;pip fruit,0.072,0.003,0.750,10.417
1,beef;root vegetables;soda;yogurt,0.005,pork;whole milk,0.067,0.003,0.600,8.955
2,dessert;white bread;whole milk,0.005,rolls/buns;shopping bags,0.069,0.003,0.600,8.696
3,beef;pork;soda;whole milk,0.005,root vegetables;yogurt,0.072,0.003,0.600,8.333
4,brown bread;citrus fruit;soda;yogurt,0.004,shopping bags;whole milk,0.091,0.003,0.750,8.242
5,beef;pork;rolls/buns;whole milk,0.004,soda;yogurt,0.097,0.003,0.750,7.732
6,beef;pork;root vegetables;whole milk,0.004,soda;yogurt,0.097,0.003,0.750,7.732
7,bottled water;sausage;waffles,0.005,bottled beer;whole milk,0.085,0.003,0.600,7.059
8,other vegetables;rolls/buns;shopping bags;white bread,0.005,dessert,0.086,0.003,0.600,6.977
9,beef;pork;sausage,0.004,rolls/buns;yogurt,0.111,0.003,0.750,6.757
10,sausage;soda;uht-milk;whole milk,0.004,rolls/buns;yogurt,0.111,0.003,0.750,6.757
11,dessert;other vegetables;rolls/buns;sausage,0.005,white bread,0.089,0.003,0.600,6.742
12,dessert;other vegetables;rolls/buns;shopping bags,0.005,white bread,0.089,0.003,0.600,6.742
13,dessert;rolls/buns;shopping bags;whole milk,0.005,white bread,0.089,0.003,0.600,6.742
14,beef;pork;root vegetables;yogurt,0.003,soda;whole milk,0.151,0.003,1.000,6.623
15,pork;root vegetables;shopping bags;yogurt,0.003,soda;whole milk,0.151,0.003,1.000,6.623
16,berries;pip fruit;pork,0.005,bottled water;other vegetables,0.094,0.003,0.600,6.383
17,butter;soda;whipped/sour cream;whole milk,0.004,other vegetables;yogurt,0.120,0.003,0.750,6.250
18,beef;pork;shopping bags,0.005,soda;yogurt,0.097,0.003,0.600,6.186
19,rolls/buns;sausage;uht-milk;whole milk,0.005,soda;yogurt,0.097,0.003,0.600,6.186
20,pork;root vegetables;shopping bags;whole milk,0.005,soda;yogurt,0.097,0.003,0.600,6.186
21,cream cheese;ham;whole milk,0.004,other vegetables;soda,0.124,0.003,0.750,6.048
22,bottled water;rolls/buns;root vegetables;sausage;whole milk,0.004,other vegetables;soda,0.124,0.003,0.750,6.048
23,beef;pork;rolls/buns;whole milk,0.004,fruit/vegetable juice,0.125,0.003,0.750,6.000
24,berries;bottled water;other vegetables;pork,0.003,pip fruit,0.171,0.003,1.000,5.848
25,beef;rolls/buns;soda;whole milk;yogurt,0.004,pork,0.132,0.003,0.750,5.682
26,beef;root vegetables;soda;whole milk;yogurt,0.004,pork,0.132,0.003,0.750,5.682
27,brown bread;specialty chocolate;yogurt,0.003,citrus fruit,0.185,0.003,1.000,5.405
28,beef;pork;soda;whole milk,0.005,rolls/buns;yogurt,0.111,0.003,0.600,5.405
29,bottled beer;citrus fruit;sausage;whole milk,0.005,rolls/buns;yogurt,0.111,0.003,0.600,5.405
30,bottled water;rolls/buns;root vegetables;sausage,0.006,other vegetables;soda,0.124,0.004,0.667,5.376
31,curd cheese;other vegetables,0.005,bottled water;whole milk,0.112,0.003,0.600,5.357
