id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
0,kurczak,0.192,makaron pełnoziarnisty,0.183,0.040,0.208,1.138
1,jogurt naturalny,0.434,mleko,0.434,0.184,0.424,0.977
2,ziemniaki,0.401,oliwa z oliwek,0.196,0.071,0.177,0.903
3,jabłka,0.407,jajka,0.432,0.167,0.410,0.950
4,ser żółty,0.418,ogórki,0.396,0.172,0.411,1.039
5,ziemniaki,0.401,ryż brązowy,0.412,0.156,0.389,0.944
6,oliwa z oliwek,0.196,kurczak,0.192,0.047,0.240,1.249
7,oliwa z oliwek,0.196,makaron pełnoziarnisty,0.183,0.036,0.184,1.004
8,ziemniaki,0.401,chleb pełnoziarnisty,0.414,0.164,0.409,0.988
9,jajka,0.432,jogurt naturalny,0.434,0.180,0.417,0.960
10,ziemniaki,0.401,płatki owsiane,0.210,0.080,0.200,0.950
11,jabłka,0.407,chleb pełnoziarnisty,0.414,0.162,0.398,0.961
12,jabłka,0.407,banany,0.389,0.160,0.393,1.011
13,ryż brązowy,0.412,makaron pełnoziarnisty,0.183,0.067,0.163,0.889
14,oliwa z oliwek,0.196,jabłka,0.407,0.066,0.337,0.827
15,ryż brązowy,0.412,kurczak,0.192,0.060,0.146,0.758
16,ryż brązowy,0.412,jogurt naturalny,0.434,0.172,0.417,0.962
17,pomidory,0.196,banany,0.389,0.066,0.337,0.866
18,oliwa z oliwek,0.196,jajka,0.432,0.071,0.362,0.839
19,banany,0.389,kurczak,0.192,0.066,0.170,0.884
20,banany,0.389,makaron pełnoziarnisty,0.183,0.057,0.147,0.801
21,ser żółty,0.418,banany,0.389,0.163,0.390,1.002
22,pomidory,0.196,chleb pełnoziarnisty,0.414,0.076,0.388,0.937
23,płatki owsiane,0.210,jogurt naturalny,0.434,0.079,0.376,0.867
24,ziemniaki,0.401,jajka,0.432,0.177,0.441,1.022
25,ziemniaki,0.401,pomidory,0.196,0.075,0.187,0.954
26,pomidory,0.196,ogórki,0.396,0.068,0.347,0.876
27,ser żółty,0.418,jajka,0.432,0.176,0.421,0.975
28,pomidory,0.196,makaron pełnoziarnisty,0.183,0.042,0.214,1.171
29,płatki owsiane,0.210,chleb pełnoziarnisty,0.414,0.073,0.348,0.840
30,jajka,0.432,mleko,0.434,0.171,0.396,0.912
31,ziemniaki,0.401,jabłka,0.407,0.160,0.399,0.980
32,jajka,0.432,ogórki,0.396,0.155,0.359,0.906
33,ryż brązowy,0.412,ogórki,0.396,0.169,0.410,1.036
34,ser żółty,0.418,płatki owsiane,0.210,0.078,0.187,0.889
35,mleko,0.434,makaron pełnoziarnisty,0.183,0.071,0.164,0.894
36,ser żółty,0.418,ryż brązowy,0.412,0.171,0.409,0.993
37,jabłka,0.407,ryż brązowy,0.412,0.175,0.430,1.044
38,ser żółty,0.418,jogurt naturalny,0.434,0.175,0.419,0.965
39,jabłka,0.407,jogurt naturalny,0.434,0.177,0.435,1.002
40,ziemniaki,0.401,mleko,0.434,0.178,0.444,1.023
41,ser żółty,0.418,kurczak,0.192,0.065,0.156,0.810
42,chleb pełnoziarnisty,0.414,mleko,0.434,0.177,0.428,0.985
43,oliwa z oliwek,0.196,ogórki,0.396,0.063,0.321,0.812
44,jabłka,0.407,kurczak,0.192,0.066,0.162,0.845
45,ogórki,0.396,banany,0.389,0.156,0.394,1.013
46,banany,0.389,mleko,0.434,0.165,0.424,0.977
47,jabłka,0.407,płatki owsiane,0.210,0.082,0.201,0.959
48,płatki owsiane,0.210,banany,0.389,0.067,0.319,0.820
49,jabłka,0.407,ser żółty,0.418,0.163,0.400,0.958
50,oliwa z oliwek,0.196,mleko,0.434,0.075,0.383,0.882
51,chleb pełnoziarnisty,0.414,kurczak,0.192,0.076,0.184,0.956
52,chleb pełnoziarnisty,0.414,makaron pełnoziarnisty,0.183,0.070,0.169,0.924
53,pomidory,0.196,jogurt naturalny,0.434,0.074,0.378,0.870
54,chleb pełnoziarnisty,0.414,ogórki,0.396,0.163,0.394,0.994
55,jogurt naturalny,0.434,kurczak,0.192,0.076,0.175,0.912
56,jogurt naturalny,0.434,makaron pełnoziarnisty,0.183,0.057,0.131,0.718
57,jogurt naturalny,0.434,ogórki,0.396,0.162,0.373,0.943
58,płatki owsiane,0.210,jajka,0.432,0.080,0.381,0.882
59,ryż brązowy,0.412,mleko,0.434,0.181,0.439,1.012
60,ziemniaki,0.401,ogórki,0.396,0.153,0.382,0.964
61,jajka,0.432,banany,0.389,0.157,0.363,0.934
62,jajka,0.432,kurczak,0.192,0.080,0.185,0.965
63,jajka,0.432,makaron pełnoziarnisty,0.183,0.067,0.155,0.848
64,ser żółty,0.418,chleb pełnoziarnisty,0.414,0.160,0.383,0.925
65,oliwa z oliwek,0.196,ryż brązowy,0.412,0.070,0.357,0.867
66,jogurt naturalny,0.434,banany,0.389,0.156,0.359,0.924
67,ziemniaki,0.401,makaron pełnoziarnisty,0.183,0.062,0.155,0.845
68,ziemniaki,0.401,kurczak,0.192,0.065,0.162,0.844
69,ziemniaki,0.401,jogurt naturalny,0.434,0.165,0.411,0.948
70,pomidory,0.196,ser żółty,0.418,0.065,0.332,0.793
71,ogórki,0.396,kurczak,0.192,0.065,0.164,0.855
72,ogórki,0.396,makaron pełnoziarnisty,0.183,0.070,0.177,0.966
73,ser żółty,0.418,mleko,0.434,0.194,0.464,1.069
74,jabłka,0.407,mleko,0.434,0.170,0.418,0.962
75,płatki owsiane,0.210,makaron pełnoziarnisty,0.183,0.046,0.219,1.197
76,płatki owsiane,0.210,kurczak,0.192,0.046,0.219,1.141
