id,basket
1,Jogurt naturalny;Ser żółty;Pomidory;Mleko
2,Banany;Płatki owsiane;Makaron pełnoziarnisty;Jabłka
3,Ogórki;Makaron pełnoziarnisty;Oliwa z oliwek;Pomidory;Chleb pełnoziarnisty;Ziemniaki;Jogurt naturalny;Mleko
4,Ser żółty;Ogórki;Mleko;Makaron pełnoziarnisty
5,Jabłka;Ziemniaki;Płatki owsiane
6,Jogurt naturalny;Chleb pełnoziarnisty;Ziemniaki
7,Ser żółty;Ryż brązowy;Jabłka;Jajka;Chleb pełnoziarnisty
8,Banany;Jabłka;Ser żółty;Ziemniaki;Mleko
9,Oliwa z oliwek;Jajka;Pomidory;Chleb pełnoziarnisty
10,Ziemniaki;Płatki owsiane;Banany;Ser żółty;Oliwa z oliwek;Jabłka;Pomidory
11,Ryż brązowy;Mleko;Chleb pełnoziarnisty
12,Ziemniaki;Banany;Ser żółty;Jabłka;Mleko
13,Chleb pełnoziarnisty;Jogurt naturalny;Banany;Mleko;Makaron pełnoziarnisty;Ser żółty
14,Jogurt naturalny;Ser żółty;Mleko;Ryż brązowy
15,Chleb pełnoziarnisty;Jogurt naturalny;Banany;Jajka;Pomidory
16,Makaron pełnoziarnisty;Jabłka;Mleko;Chleb pełnoziarnisty;Pomidory;Ryż brązowy
17,Jajka;Płatki owsiane;Jogurt naturalny
18,Ser żółty;Ogórki;Jajka;Banany;Mleko
19,Jabłka;Kurczak;Chleb pełnoziarnisty;Jajka;Banany
20,Pomidory;Jajka;Chleb pełnoziarnisty
21,Pomidory;Jajka;Jabłka;Ogórki
22,Mleko;Ziemniaki;Oliwa z oliwek;Jogurt naturalny;Pomidory;Płatki owsiane
23,Pomidory;Jajka;Oliwa z oliwek;Chleb pełnoziarnisty;Ziemniaki
24,Jabłka;Jajka;Jogurt naturalny;Kurczak;Banany;Makaron pełnoziarnisty
25,Pomidory;Ogórki;Ziemniaki
26,Ziemniaki;Jogurt naturalny;Jajka;Makaron pełnoziarnisty;Kurczak;Pomidory;Oliwa z oliwek
27,Jogurt naturalny;Mleko;Pomidory;Płatki owsiane
28,Banany;Kurczak;Ziemniaki
29,Jajka;Ziemniaki;Ryż brązowy
30,Jogurt naturalny;Ziemniaki;Ser żółty
31,Jogurt naturalny;Ser żółty;Ogórki;Jabłka;Banany
32,Ziemniaki;Kurczak;Chleb pełnoziarnisty;Ryż brązowy
33,Jabłka;Banany;Ryż brązowy;Mleko;Jajka
34,Ogórki;Banany;Mleko;Ryż brązowy
35,Jogurt naturalny;Mleko;Banany;Ryż brązowy;Chleb pełnoziarnisty;Ogórki
36,Mleko;Chleb pełnoziarnisty;Banany;Ziemniaki;Jajka;Jabłka;Jogurt naturalny
37,Chleb pełnoziarnisty;Ogórki;Banany;Płatki owsiane
38,Mleko;Jogurt naturalny;Ser żółty
39,Pomidory;Mleko;Jabłka;Ryż brązowy;Banany
40,Jogurt naturalny;Banany;Oliwa z oliwek;Ryż brązowy
41,Ogórki;Mleko;Ryż brązowy;Banany
42,Oliwa z oliwek;Mleko;Ryż brązowy;Jogurt naturalny;Jabłka;Ogórki
43,Kurczak;Ziemniaki;Mleko;Jajka
44,Ogórki;Jajka;Ser żółty;Kurczak;Chleb pełnoziarnisty
45,Banany;Chleb pełnoziarnisty;Oliwa z oliwek;Ser żółty;Jogurt naturalny;Ziemniaki
46,Jajka;Ogórki;Jabłka;Ziemniaki;Ser żółty;Ryż brązowy
47,Oliwa z oliwek;Ser żółty;Banany;Jajka;Chleb pełnoziarnisty
48,Ogórki;Chleb pełnoziarnisty;Makaron pełnoziarnisty;Kurczak;Jogurt naturalny
49,Banany;Chleb pełnoziarnisty;Jabłka;Jajka;Kurczak
50,Jajka;Kurczak;Ziemniaki;Jabłka;Jogurt naturalny;Chleb pełnoziarnisty
