id,support,pattern
0,0.026,ser żółty;chleb pełnoziarnisty;mleko;banany
1,0.024,jabłka;jajka;ryż brązowy;mleko
2,0.021,ryż brązowy;jogurt naturalny;mleko;banany
3,0.021,ziemniaki;ryż brązowy;jogurt naturalny;mleko
4,0.029,ser żółty;ogórki;mleko;banany
5,0.028,ziemniaki;ryż brązowy;chleb pełnoziarnisty;mleko
6,0.028,ryż brązowy;chleb pełnoziarnisty;ogórki;banany
7,0.027,ser żółty;jabłka;ryż brązowy;chleb pełnoziarnisty
8,0.021,jabłka;jajka;ogórki;banany
9,0.023,ser żółty;chleb pełnoziarnisty;jogurt naturalny;banany
10,0.026,ziemniaki;jajka;ryż brązowy;jogurt naturalny
11,0.026,ziemniaki;jabłka;jajka;chleb pełnoziarnisty
12,0.030,ser żółty;jajka;jogurt naturalny;mleko
13,0.036,ser żółty;jabłka;jogurt naturalny;mleko
14,0.026,ser żółty;jajka;chleb pełnoziarnisty;mleko
15,0.039,ziemniaki;ser żółty;jabłka;mleko
16,0.021,ziemniaki;jabłka;ryż brązowy;jogurt naturalny
17,0.030,ryż brązowy;chleb pełnoziarnisty;ogórki;jogurt naturalny
18,0.025,ziemniaki;ser żółty;jabłka;ryż brązowy
19,0.030,ziemniaki;ser żółty;chleb pełnoziarnisty;mleko
20,0.023,ziemniaki;jabłka;ryż brązowy;mleko
21,0.030,ziemniaki;jajka;ryż brązowy;banany
22,0.030,jajka;ryż brązowy;chleb pełnoziarnisty;ogórki
23,0.023,ser żółty;ryż brązowy;jogurt naturalny;banany
24,0.025,ziemniaki;ser żółty;jabłka;jogurt naturalny
25,0.032,ziemniaki;jajka;ryż brązowy;mleko
26,0.025,ziemniaki;jabłka;ogórki;banany
27,0.025,ziemniaki;ser żółty;ryż brązowy;chleb pełnoziarnisty
28,0.021,ziemniaki;jabłka;ryż brązowy;banany
29,0.027,ziemniaki;jajka;chleb pełnoziarnisty;ogórki
30,0.031,ziemniaki;jabłka;jajka;jogurt naturalny
31,0.021,jabłka;jajka;ryż brązowy;jogurt naturalny
