id,support,pattern
0,0.401,ziemniaki
1,0.196,pomidory
2,0.196,oliwa z oliwek
3,0.407,jabłka
4,0.210,płatki owsiane
5,0.412,ryż brązowy
6,0.432,jajka
7,0.414,chleb pełnoziarnisty
8,0.183,makaron pełnoziarnisty
9,0.434,jogurt naturalny
10,0.396,ogórki
11,0.389,banany
12,0.418,ser żółty
13,0.434,mleko
14,0.192,kurczak
15,0.040,kurczak;makaron pełnoziarnisty
16,0.184,jogurt naturalny;mleko
17,0.071,ziemniaki;oliwa z oliwek
18,0.167,jabłka;jajka
19,0.172,ser żółty;ogórki
20,0.156,ziemniaki;ryż brązowy
21,0.047,oliwa z oliwek;kurczak
22,0.036,oliwa z oliwek;makaron pełnoziarnisty
23,0.164,ziemniaki;chleb pełnoziarnisty
24,0.180,jajka;jogurt naturalny
25,0.080,ziemniaki;płatki owsiane
26,0.162,jabłka;chleb pełnoziarnisty
27,0.160,jabłka;banany
28,0.067,ryż brązowy;makaron pełnoziarnisty
29,0.066,oliwa z oliwek;jabłka
30,0.060,ryż brązowy;kurczak
31,0.172,ryż brązowy;jogurt naturalny
32,0.066,pomidory;banany
33,0.071,oliwa z oliwek;jajka
34,0.066,banany;kurczak
35,0.057,banany;makaron pełnoziarnisty
36,0.163,ser żółty;banany
37,0.076,pomidory;chleb pełnoziarnisty
38,0.079,płatki owsiane;jogurt naturalny
39,0.177,ziemniaki;jajka
40,0.075,ziemniaki;pomidory
41,0.068,pomidory;ogórki
42,0.176,ser żółty;jajka
43,0.042,pomidory;makaron pełnoziarnisty
44,0.073,płatki owsiane;chleb pełnoziarnisty
45,0.171,jajka;mleko
46,0.160,ziemniaki;jabłka
47,0.155,jajka;ogórki
48,0.169,ryż brązowy;ogórki
49,0.078,ser żółty;płatki owsiane
50,0.071,mleko;makaron pełnoziarnisty
51,0.171,ser żółty;ryż brązowy
52,0.175,jabłka;ryż brązowy
53,0.175,ser żółty;jogurt naturalny
54,0.177,jabłka;jogurt naturalny
55,0.178,ziemniaki;mleko
56,0.065,ser żółty;kurczak
57,0.177,chleb pełnoziarnisty;mleko
58,0.063,oliwa z oliwek;ogórki
59,0.066,jabłka;kurczak
60,0.156,ogórki;banany
61,0.165,banany;mleko
62,0.082,jabłka;płatki owsiane
63,0.067,płatki owsiane;banany
64,0.163,jabłka;ser żółty
65,0.075,oliwa z oliwek;mleko
66,0.076,chleb pełnoziarnisty;kurczak
67,0.070,chleb pełnoziarnisty;makaron pełnoziarnisty
68,0.074,pomidory;jogurt naturalny
69,0.163,chleb pełnoziarnisty;ogórki
70,0.076,jogurt naturalny;kurczak
71,0.057,jogurt naturalny;makaron pełnoziarnisty
72,0.162,jogurt naturalny;ogórki
73,0.080,płatki owsiane;jajka
74,0.181,ryż brązowy;mleko
75,0.153,ziemniaki;ogórki
76,0.157,jajka;banany
77,0.080,jajka;kurczak
78,0.067,jajka;makaron pełnoziarnisty
79,0.160,ser żółty;chleb pełnoziarnisty
80,0.070,oliwa z oliwek;ryż brązowy
81,0.156,jogurt naturalny;banany
82,0.062,ziemniaki;makaron pełnoziarnisty
83,0.065,ziemniaki;kurczak
84,0.165,ziemniaki;jogurt naturalny
85,0.065,pomidory;ser żółty
86,0.065,ogórki;kurczak
87,0.070,ogórki;makaron pełnoziarnisty
88,0.194,ser żółty;mleko
