id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
0,ser żółty;chleb pełnoziarnisty,0.160,banany;mleko,0.165,0.026,0.162,0.985
1,ser żółty;mleko,0.194,chleb pełnoziarnisty;banany,0.158,0.026,0.134,0.848
2,ser żółty;banany,0.163,chleb pełnoziarnisty;mleko,0.177,0.026,0.160,0.901
3,chleb pełnoziarnisty;mleko,0.177,ser żółty;banany,0.163,0.026,0.147,0.901
4,chleb pełnoziarnisty;banany,0.158,ser żółty;mleko,0.194,0.026,0.165,0.848
5,banany;mleko,0.165,ser żółty;chleb pełnoziarnisty,0.160,0.026,0.158,0.985
6,ser żółty;chleb pełnoziarnisty;mleko,0.073,banany,0.389,0.026,0.356,0.916
7,ser żółty;chleb pełnoziarnisty;banany,0.061,mleko,0.434,0.026,0.426,0.982
8,ser żółty;mleko;banany,0.073,chleb pełnoziarnisty,0.414,0.026,0.356,0.860
9,chleb pełnoziarnisty;mleko;banany,0.070,ser żółty,0.418,0.026,0.371,0.889
10,jabłka;jajka,0.167,ryż brązowy;mleko,0.181,0.024,0.144,0.794
11,jabłka;ryż brązowy,0.175,jajka;mleko,0.171,0.024,0.137,0.802
12,jabłka;mleko,0.170,jajka;ryż brązowy,0.171,0.024,0.141,0.826
13,jajka;ryż brązowy,0.171,jabłka;mleko,0.170,0.024,0.140,0.826
14,jajka;mleko,0.171,jabłka;ryż brązowy,0.175,0.024,0.140,0.802
15,ryż brązowy;mleko,0.181,jabłka;jajka,0.167,0.024,0.133,0.794
16,jabłka;jajka;ryż brązowy,0.068,mleko,0.434,0.024,0.353,0.813
17,jabłka;jajka;mleko,0.059,ryż brązowy,0.412,0.024,0.407,0.987
18,jabłka;ryż brązowy;mleko,0.070,jajka,0.432,0.024,0.343,0.794
19,jajka;ryż brązowy;mleko,0.072,jabłka,0.407,0.024,0.333,0.819
20,ryż brązowy;jogurt naturalny,0.172,banany;mleko,0.165,0.021,0.122,0.740
21,ryż brązowy;mleko,0.181,jogurt naturalny;banany,0.156,0.021,0.116,0.744
22,ryż brązowy;banany,0.149,jogurt naturalny;mleko,0.184,0.021,0.141,0.766
23,jogurt naturalny;mleko,0.184,ryż brązowy;banany,0.149,0.021,0.114,0.766
24,jogurt naturalny;banany,0.156,ryż brązowy;mleko,0.181,0.021,0.135,0.744
25,banany;mleko,0.165,ryż brązowy;jogurt naturalny,0.172,0.021,0.127,0.740
26,ryż brązowy;jogurt naturalny;mleko,0.075,banany,0.389,0.021,0.280,0.720
27,ryż brązowy;jogurt naturalny;banany,0.057,mleko,0.434,0.021,0.368,0.849
28,ryż brązowy;mleko;banany,0.063,jogurt naturalny,0.434,0.021,0.333,0.768
29,jogurt naturalny;mleko;banany,0.063,ryż brązowy,0.412,0.021,0.333,0.809
30,ziemniaki;ryż brązowy,0.156,jogurt naturalny;mleko,0.184,0.021,0.135,0.732
31,ziemniaki;jogurt naturalny,0.165,ryż brązowy;mleko,0.181,0.021,0.127,0.703
32,ziemniaki;mleko,0.178,ryż brązowy;jogurt naturalny,0.172,0.021,0.118,0.686
33,ryż brązowy;jogurt naturalny,0.172,ziemniaki;mleko,0.178,0.021,0.122,0.686
34,ryż brązowy;mleko,0.181,ziemniaki;jogurt naturalny,0.165,0.021,0.116,0.703
35,jogurt naturalny;mleko,0.184,ziemniaki;ryż brązowy,0.156,0.021,0.114,0.732
36,ziemniaki;ryż brązowy;jogurt naturalny,0.056,mleko,0.434,0.021,0.375,0.864
37,ziemniaki;ryż brązowy;mleko,0.063,jogurt naturalny,0.434,0.021,0.333,0.768
38,ziemniaki;jogurt naturalny;mleko,0.075,ryż brązowy,0.412,0.021,0.280,0.680
39,ryż brązowy;jogurt naturalny;mleko,0.075,ziemniaki,0.401,0.021,0.280,0.698
40,ser żółty;ogórki,0.172,banany;mleko,0.165,0.029,0.169,1.022
41,ser żółty;mleko,0.194,ogórki;banany,0.156,0.029,0.149,0.958
42,ser żółty;banany,0.163,ogórki;mleko,0.162,0.029,0.178,1.098
43,ogórki;mleko,0.162,ser żółty;banany,0.163,0.029,0.179,1.098
44,ogórki;banany,0.156,ser żółty;mleko,0.194,0.029,0.186,0.958
45,banany;mleko,0.165,ser żółty;ogórki,0.172,0.029,0.176,1.022
46,ser żółty;ogórki;mleko,0.076,banany,0.389,0.029,0.382,0.981
47,ser żółty;ogórki;banany,0.071,mleko,0.434,0.029,0.408,0.941
48,ser żółty;mleko;banany,0.073,ogórki,0.396,0.029,0.397,1.003
49,ogórki;mleko;banany,0.062,ser żółty,0.418,0.029,0.468,1.119
50,ziemniaki;ryż brązowy,0.156,chleb pełnoziarnisty;mleko,0.177,0.028,0.179,1.014
51,ziemniaki;chleb pełnoziarnisty,0.164,ryż brązowy;mleko,0.181,0.028,0.171,0.943
52,ziemniaki;mleko,0.178,ryż brązowy;chleb pełnoziarnisty,0.176,0.028,0.157,0.894
53,ryż brązowy;chleb pełnoziarnisty,0.176,ziemniaki;mleko,0.178,0.028,0.159,0.894
54,ryż brązowy;mleko,0.181,ziemniaki;chleb pełnoziarnisty,0.164,0.028,0.155,0.943
55,chleb pełnoziarnisty;mleko,0.177,ziemniaki;ryż brązowy,0.156,0.028,0.158,1.014
56,ziemniaki;ryż brązowy;chleb pełnoziarnisty,0.068,mleko,0.434,0.028,0.412,0.949
57,ziemniaki;ryż brązowy;mleko,0.063,chleb pełnoziarnisty,0.414,0.028,0.444,1.074
58,ziemniaki;chleb pełnoziarnisty;mleko,0.073,ryż brązowy,0.412,0.028,0.384,0.931
59,ryż brązowy;chleb pełnoziarnisty;mleko,0.078,ziemniaki,0.401,0.028,0.359,0.895
60,ryż brązowy;chleb pełnoziarnisty,0.176,ogórki;banany,0.156,0.028,0.159,1.020
61,ryż brązowy;ogórki,0.169,chleb pełnoziarnisty;banany,0.158,0.028,0.166,1.049
62,ryż brązowy;banany,0.149,chleb pełnoziarnisty;ogórki,0.163,0.028,0.188,1.153
63,chleb pełnoziarnisty;ogórki,0.163,ryż brązowy;banany,0.149,0.028,0.172,1.153
64,chleb pełnoziarnisty;banany,0.158,ryż brązowy;ogórki,0.169,0.028,0.177,1.049
65,ogórki;banany,0.156,ryż brązowy;chleb pełnoziarnisty,0.176,0.028,0.179,1.020
66,ryż brązowy;chleb pełnoziarnisty;ogórki,0.073,banany,0.389,0.028,0.384,0.986
67,ryż brązowy;chleb pełnoziarnisty;banany,0.061,ogórki,0.396,0.028,0.459,1.159
68,ryż brązowy;ogórki;banany,0.068,chleb pełnoziarnisty,0.414,0.028,0.412,0.995
69,chleb pełnoziarnisty;ogórki;banany,0.059,ryż brązowy,0.412,0.028,0.475,1.152
70,jabłka;ser żółty,0.163,ryż brązowy;chleb pełnoziarnisty,0.176,0.027,0.166,0.941
71,ser żółty;ryż brązowy,0.171,jabłka;chleb pełnoziarnisty,0.162,0.027,0.158,0.975
72,ser żółty;chleb pełnoziarnisty,0.160,jabłka;ryż brązowy,0.175,0.027,0.169,0.964
73,jabłka;ryż brązowy,0.175,ser żółty;chleb pełnoziarnisty,0.160,0.027,0.154,0.964
74,jabłka;chleb pełnoziarnisty,0.162,ser żółty;ryż brązowy,0.171,0.027,0.167,0.975
75,ryż brązowy;chleb pełnoziarnisty,0.176,jabłka;ser żółty,0.163,0.027,0.153,0.941
76,jabłka;ser żółty;ryż brązowy,0.068,chleb pełnoziarnisty,0.414,0.027,0.397,0.959
77,jabłka;ser żółty;chleb pełnoziarnisty,0.059,ryż brązowy,0.412,0.027,0.458,1.111
78,ser żółty;ryż brązowy;chleb pełnoziarnisty,0.071,jabłka,0.407,0.027,0.380,0.934
79,jabłka;ryż brązowy;chleb pełnoziarnisty,0.079,ser żółty,0.418,0.027,0.342,0.818
80,jabłka;jajka,0.167,ogórki;banany,0.156,0.021,0.126,0.806
81,jabłka;ogórki,0.150,jajka;banany,0.157,0.021,0.140,0.892
82,jabłka;banany,0.160,jajka;ogórki,0.155,0.021,0.131,0.847
83,jajka;ogórki,0.155,jabłka;banany,0.160,0.021,0.135,0.847
84,jajka;banany,0.157,jabłka;ogórki,0.150,0.021,0.134,0.892
85,ogórki;banany,0.156,jabłka;jajka,0.167,0.021,0.135,0.806
86,jabłka;jajka;ogórki,0.051,banany,0.389,0.021,0.412,1.059
87,jabłka;jajka;banany,0.056,ogórki,0.396,0.021,0.375,0.947
88,jabłka;ogórki;banany,0.065,jajka,0.432,0.021,0.323,0.748
89,jajka;ogórki;banany,0.064,jabłka,0.407,0.021,0.328,0.806
90,ser żółty;chleb pełnoziarnisty,0.160,jogurt naturalny;banany,0.156,0.023,0.144,0.921
91,ser żółty;jogurt naturalny,0.175,chleb pełnoziarnisty;banany,0.158,0.023,0.131,0.832
92,ser żółty;banany,0.163,chleb pełnoziarnisty;jogurt naturalny,0.169,0.023,0.141,0.835
93,chleb pełnoziarnisty;jogurt naturalny,0.169,ser żółty;banany,0.163,0.023,0.136,0.835
94,chleb pełnoziarnisty;banany,0.158,ser żółty;jogurt naturalny,0.175,0.023,0.146,0.832
95,jogurt naturalny;banany,0.156,ser żółty;chleb pełnoziarnisty,0.160,0.023,0.147,0.921
96,ser żółty;chleb pełnoziarnisty;jogurt naturalny,0.061,banany,0.389,0.023,0.377,0.969
97,ser żółty;chleb pełnoziarnisty;banany,0.061,jogurt naturalny,0.434,0.023,0.377,0.869
98,ser żółty;jogurt naturalny;banany,0.061,chleb pełnoziarnisty,0.414,0.023,0.377,0.911
99,chleb pełnoziarnisty;jogurt naturalny;banany,0.059,ser żółty,0.418,0.023,0.390,0.933
100,ziemniaki;jajka,0.177,ryż brązowy;jogurt naturalny,0.172,0.026,0.147,0.854
101,ziemniaki;ryż brązowy,0.156,jajka;jogurt naturalny,0.180,0.026,0.167,0.926
102,ziemniaki;jogurt naturalny,0.165,jajka;ryż brązowy,0.171,0.026,0.158,0.921
103,jajka;ryż brązowy,0.171,ziemniaki;jogurt naturalny,0.165,0.026,0.152,0.921
104,jajka;jogurt naturalny,0.180,ziemniaki;ryż brązowy,0.156,0.026,0.144,0.926
105,ryż brązowy;jogurt naturalny,0.172,ziemniaki;jajka,0.177,0.026,0.151,0.854
106,ziemniaki;jajka;ryż brązowy,0.071,jogurt naturalny,0.434,0.026,0.366,0.844
107,ziemniaki;jajka;jogurt naturalny,0.076,ryż brązowy,0.412,0.026,0.342,0.830
108,ziemniaki;ryż brązowy;jogurt naturalny,0.056,jajka,0.432,0.026,0.464,1.075
109,jajka;ryż brązowy;jogurt naturalny,0.067,ziemniaki,0.401,0.026,0.388,0.968
110,ziemniaki;jabłka,0.160,jajka;chleb pełnoziarnisty,0.180,0.026,0.162,0.903
111,ziemniaki;jajka,0.177,jabłka;chleb pełnoziarnisty,0.162,0.026,0.147,0.907
112,ziemniaki;chleb pełnoziarnisty,0.164,jabłka;jajka,0.167,0.026,0.159,0.949
113,jabłka;jajka,0.167,ziemniaki;chleb pełnoziarnisty,0.164,0.026,0.156,0.949
114,jabłka;chleb pełnoziarnisty,0.162,ziemniaki;jajka,0.177,0.026,0.160,0.907
115,jajka;chleb pełnoziarnisty,0.180,ziemniaki;jabłka,0.160,0.026,0.144,0.903
116,ziemniaki;jabłka;jajka,0.065,chleb pełnoziarnisty,0.414,0.026,0.400,0.966
117,ziemniaki;jabłka;chleb pełnoziarnisty,0.067,jajka,0.432,0.026,0.388,0.898
118,ziemniaki;jajka;chleb pełnoziarnisty,0.074,jabłka,0.407,0.026,0.351,0.863
119,jabłka;jajka;chleb pełnoziarnisty,0.059,ziemniaki,0.401,0.026,0.441,1.099
120,ser żółty;jajka,0.176,jogurt naturalny;mleko,0.184,0.030,0.170,0.926
121,ser żółty;jogurt naturalny,0.175,jajka;mleko,0.171,0.030,0.171,1.003
122,ser żółty;mleko,0.194,jajka;jogurt naturalny,0.180,0.030,0.155,0.859
123,jajka;jogurt naturalny,0.180,ser żółty;mleko,0.194,0.030,0.167,0.859
124,jajka;mleko,0.171,ser żółty;jogurt naturalny,0.175,0.030,0.175,1.003
125,jogurt naturalny;mleko,0.184,ser żółty;jajka,0.176,0.030,0.163,0.926
126,ser żółty;jajka;jogurt naturalny,0.077,mleko,0.434,0.030,0.390,0.898
