id,basket
1,Jogurt naturalny;Kasza jaglana;Płatki owsiane;Cebula;Chleb;Banany;Papryka czerwona
2,Płatki owsiane;Gruszki;Ser żółty;Gruszki;Herbata;Mleko;Pomidory;Gruszki
3,Mleko;Banany;Papryka czerwona;Jogurt naturalny;Płatki owsiane;Chleb
4,Mleko;Kasza jaglana;Ogórki;Płatki owsiane
5,Jabłka;Ziemniaki;Masło;Marchew;Jogurt naturalny;Chleb;Płatki owsiane
6,Kawa;Banany;Papryka czerwona;Herbata;Jogurt naturalny;Banany;Ryż
7,Banany;Ser żółty;Cytryny;Marchew
8,Płatki owsiane;Płatki owsiane;Winogrona;Mleko;Ciasteczka owsiane
9,Płatki owsiane;Makaron pełnoziarnisty;Kawa;Gruszki;Jajka
10,Jajka;Mleko;Jajka;Mleko;Gruszki;Jajka
11,Jogurt naturalny;Chleb;Jabłka;Mleko;Ryż;Ser żółty
12,Marchew;Mleko;Cebula;Kawa;Banany;Ziemniaki;Jogurt naturalny
13,Banany;Winogrona;Ryż;Mleko;Gruszki;Chleb;Pomidory
14,Pomidory;Kasza jaglana;Chleb;Sok pomarańczowy;Mleko;Marchew;Jogurt naturalny;Cebula;Mleko
15,Marchew;Papryka czerwona;Płatki owsiane;Mleko;Kasza jaglana;Masło;Sok pomarańczowy
16,Mleko;Kasza jaglana;Papryka czerwona;Mleko;Pomidory
17,Kasza jaglana;Mleko;Marchew;Chleb;Płatki owsiane;Ser żółty;Masło;Banany
18,Marchew;Makaron pełnoziarnisty;Jabłka;Mleko;Jajka;Pomidory
19,Ziemniaki;Banany;Jogurt naturalny;Cukier
20,Ogórki;Ryż;Chleb;Jajka;Masło;Papryka czerwona;Winogrona
21,Ziemniaki;Jogurt naturalny;Jogurt naturalny;Winogrona;Kasza jaglana;Mleko;Gruszki;Jogurt naturalny
22,Mąka;Mleko;Chleb;Czekolada gorzka;Ogórki;Ziemniaki
23,Ogórki;Jogurt naturalny;Ryż;Winogrona;Jogurt naturalny;Chleb;Cukier;Ser żółty
24,Sok pomarańczowy;Mleko;Czekolada gorzka;Ser żółty
25,Ser żółty;Ziemniaki;Płatki owsiane;Masło;Chleb;Jajka;Marchew
26,Ryż;Sok pomarańczowy;Mleko;Mleko;Gruszki;Cebula;Jajka;Ogórki;Cebula
27,Chleb;Płatki owsiane;Mleko;Pomidory;Ogórki
28,Masło;Mleko;Banany;Olej rzepakowy;Mleko;Winogrona;Chleb
29,Chleb;Płatki owsiane;Cukier;Winogrona;Herbata;Jajka;Banany;Mąka;Ser żółty
30,Ser żółty;Czekolada gorzka;Gruszki;Pomidory;Makaron pełnoziarnisty;Mleko;Chleb
31,Kasza jaglana;Mleko;Winogrona;Mleko;Kasza jaglana;Chleb;Cytryny
32,Pomidory;Kasza jaglana;Sok pomarańczowy;Mleko;Kawa;Chleb
33,Pomidory;Marchew;Mleko;Ziemniaki;Chleb;Ziemniaki
34,Cukierki;Masło;Winogrona;Chleb;Mleko;Jajka;Banany;Herbata;Ciasteczka owsiane
35,Jajka;Kawa;Marchew;Banany;Chleb;Czekolada gorzka
36,Jajka;Jogurt naturalny;Jabłka;Ziemniaki
37,Winogrona;Chleb;Makaron pełnoziarnisty;Ogórki;Papryka czerwona;Pomidory;Jajka
38,Mleko;Marchew;Czekolada gorzka;Pomidory;Banany;Ogórki
39,Makaron pełnoziarnisty;Mleko;Chleb;Kasza jaglana;Płatki owsiane;Chleb;Mleko;Chleb
40,Czekolada gorzka;Ogórki;Sok pomarańczowy;Mleko;Pomidory;Kasza jaglana
41,Ciasteczka owsiane;Jogurt naturalny;Jogurt naturalny;Chleb
