id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
0,jajka,0.207,marchew,0.216,0.039,0.186,0.861
1,cytryny,0.084,papryka czerwona,0.181,0.016,0.191,1.054
2,ogórki,0.294,gruszki,0.223,0.052,0.177,0.794
3,winogrona,0.209,ser żółty,0.331,0.055,0.263,0.796
4,winogrona,0.209,gruszki,0.223,0.037,0.176,0.789
5,ciasteczka owsiane,0.081,banany,0.258,0.016,0.203,0.789
6,winogrona,0.209,marchew,0.216,0.033,0.160,0.741
7,cukierki,0.081,kawa,0.121,0.013,0.160,1.326
8,jajka,0.207,gruszki,0.223,0.033,0.162,0.724
9,winogrona,0.209,pomidory,0.296,0.048,0.229,0.774
10,jabłka,0.253,cebula,0.220,0.045,0.177,0.805
11,kasza jaglana,0.134,marchew,0.216,0.023,0.169,0.781
12,kasza jaglana,0.134,pomidory,0.296,0.031,0.231,0.781
13,ziemniaki,0.217,papryka czerwona,0.181,0.033,0.152,0.840
14,kawa,0.121,ziemniaki,0.217,0.022,0.185,0.855
15,olej rzepakowy,0.122,jogurt naturalny,0.427,0.037,0.299,0.701
16,pomidory,0.296,marchew,0.216,0.045,0.152,0.705
17,kasza jaglana,0.134,ryż,0.170,0.017,0.129,0.760
18,banany,0.258,gruszki,0.223,0.041,0.160,0.716
19,kasza jaglana,0.134,makaron pełnoziarnisty,0.168,0.017,0.127,0.755
20,ogórki,0.294,ser żółty,0.331,0.070,0.239,0.724
21,jabłka,0.253,ziemniaki,0.217,0.041,0.161,0.744
22,ogórki,0.294,jajka,0.207,0.044,0.150,0.725
23,cukierki,0.081,jogurt naturalny,0.427,0.026,0.320,0.749
24,winogrona,0.209,jajka,0.207,0.032,0.155,0.749
25,cebula,0.220,masło,0.131,0.025,0.114,0.870
26,olej rzepakowy,0.122,makaron pełnoziarnisty,0.168,0.015,0.121,0.716
27,jajka,0.207,makaron pełnoziarnisty,0.168,0.030,0.144,0.857
28,płatki owsiane,0.175,sok pomarańczowy,0.176,0.025,0.143,0.816
29,cytryny,0.084,mąka,0.120,0.009,0.103,0.862
30,cukierki,0.081,jabłka,0.253,0.016,0.197,0.779
31,cebula,0.220,papryka czerwona,0.181,0.030,0.136,0.751
32,jabłka,0.253,ogórki,0.294,0.058,0.228,0.777
33,cukierki,0.081,banany,0.258,0.018,0.216,0.840
34,ciasteczka owsiane,0.081,jogurt naturalny,0.427,0.028,0.341,0.798
35,kasza jaglana,0.134,olej rzepakowy,0.122,0.014,0.108,0.886
36,cukierki,0.081,sok pomarańczowy,0.176,0.012,0.147,0.839
37,pomidory,0.296,jajka,0.207,0.044,0.147,0.710
38,olej rzepakowy,0.122,ser żółty,0.331,0.031,0.252,0.760
39,płatki owsiane,0.175,ogórki,0.294,0.038,0.214,0.730
40,sok pomarańczowy,0.176,banany,0.258,0.032,0.184,0.713
41,herbata,0.136,banany,0.258,0.026,0.194,0.753
42,cytryny,0.084,jajka,0.207,0.013,0.152,0.731
43,ciasteczka owsiane,0.081,papryka czerwona,0.181,0.011,0.131,0.724
44,winogrona,0.209,ziemniaki,0.217,0.033,0.158,0.728
45,ryż,0.170,banany,0.258,0.034,0.200,0.778
46,cytryny,0.084,banany,0.258,0.017,0.206,0.800
47,ryż,0.170,ziemniaki,0.217,0.029,0.172,0.793
48,ryż,0.170,herbata,0.136,0.020,0.117,0.857
49,cukierki,0.081,ogórki,0.294,0.018,0.223,0.758
50,pomidory,0.296,makaron pełnoziarnisty,0.168,0.036,0.120,0.711
51,mąka,0.120,makaron pełnoziarnisty,0.168,0.015,0.127,0.756
52,olej rzepakowy,0.122,gruszki,0.223,0.024,0.200,0.895
53,ciasteczka owsiane,0.081,gruszki,0.223,0.015,0.188,0.841
54,banany,0.258,mąka,0.120,0.026,0.100,0.841
55,winogrona,0.209,sok pomarańczowy,0.176,0.030,0.144,0.822
56,kawa,0.121,ser żółty,0.331,0.029,0.240,0.725
57,ser żółty,0.331,papryka czerwona,0.181,0.044,0.132,0.728
58,jabłka,0.253,płatki owsiane,0.175,0.037,0.144,0.822
59,jabłka,0.253,ser żółty,0.331,0.060,0.238,0.720
60,ogórki,0.294,papryka czerwona,0.181,0.040,0.137,0.754
61,marchew,0.216,papryka czerwona,0.181,0.028,0.130,0.719
62,mleko,0.636,gruszki,0.223,0.100,0.157,0.703
63,winogrona,0.209,banany,0.258,0.044,0.209,0.810
64,herbata,0.136,papryka czerwona,0.181,0.019,0.140,0.772
65,mąka,0.120,gruszki,0.223,0.019,0.161,0.723
66,olej rzepakowy,0.122,papryka czerwona,0.181,0.017,0.141,0.780
67,pomidory,0.296,gruszki,0.223,0.047,0.160,0.718
68,cytryny,0.084,mleko,0.636,0.039,0.461,0.724
69,ser żółty,0.331,marchew,0.216,0.053,0.161,0.745
70,ogórki,0.294,makaron pełnoziarnisty,0.168,0.042,0.142,0.841
71,cytryny,0.084,pomidory,0.296,0.019,0.224,0.757
72,ryż,0.170,papryka czerwona,0.181,0.025,0.146,0.809
73,masło,0.131,ser żółty,0.331,0.032,0.242,0.731
74,ziemniaki,0.217,ser żółty,0.331,0.057,0.261,0.789
75,cebula,0.220,ser żółty,0.331,0.053,0.240,0.725
76,winogrona,0.209,makaron pełnoziarnisty,0.168,0.028,0.133,0.792
77,cytryny,0.084,ogórki,0.294,0.017,0.206,0.702
78,olej rzepakowy,0.122,masło,0.131,0.014,0.116,0.887
79,olej rzepakowy,0.122,ziemniaki,0.217,0.024,0.193,0.892
80,ser żółty,0.331,makaron pełnoziarnisty,0.168,0.041,0.123,0.728
81,herbata,0.136,masło,0.131,0.014,0.101,0.768
82,herbata,0.136,ziemniaki,0.217,0.022,0.162,0.749
83,kasza jaglana,0.134,płatki owsiane,0.175,0.021,0.156,0.887
84,płatki owsiane,0.175,mąka,0.120,0.019,0.109,0.908
85,masło,0.131,mąka,0.120,0.016,0.120,1.003
86,herbata,0.136,olej rzepakowy,0.122,0.014,0.103,0.841
87,kawa,0.121,masło,0.131,0.012,0.101,0.770
88,kawa,0.121,jogurt naturalny,0.427,0.042,0.345,0.808
89,płatki owsiane,0.175,ryż,0.170,0.026,0.151,0.887
90,cukierki,0.081,mleko,0.636,0.037,0.455,0.714
91,ryż,0.170,ser żółty,0.331,0.045,0.263,0.795
92,ryż,0.170,gruszki,0.223,0.028,0.163,0.730
93,cebula,0.220,jajka,0.207,0.035,0.157,0.757
94,sok pomarańczowy,0.176,gruszki,0.223,0.029,0.163,0.732
95,cebula,0.220,pomidory,0.296,0.047,0.216,0.728
96,kawa,0.121,banany,0.258,0.025,0.211,0.817
97,cebula,0.220,gruszki,0.223,0.037,0.167,0.750
98,cukier,0.089,jogurt naturalny,0.427,0.029,0.325,0.761
99,płatki owsiane,0.175,olej rzepakowy,0.122,0.020,0.111,0.913
100,herbata,0.136,gruszki,0.223,0.022,0.160,0.719
101,herbata,0.136,pomidory,0.296,0.030,0.224,0.755
102,marchew,0.216,makaron pełnoziarnisty,0.168,0.027,0.124,0.738
103,herbata,0.136,mleko,0.636,0.064,0.468,0.736
104,ryż,0.170,makaron pełnoziarnisty,0.168,0.022,0.127,0.754
105,płatki owsiane,0.175,ser żółty,0.331,0.043,0.247,0.748
106,jabłka,0.253,pomidory,0.296,0.053,0.208,0.703
107,kasza jaglana,0.134,cebula,0.220,0.021,0.156,0.707
108,winogrona,0.209,papryka czerwona,0.181,0.030,0.144,0.797
109,cytryny,0.084,ser żółty,0.331,0.022,0.261,0.788
110,sok pomarańczowy,0.176,makaron pełnoziarnisty,0.168,0.022,0.127,0.755
111,płatki owsiane,0.175,jajka,0.207,0.028,0.158,0.761
112,cukierki,0.081,ryż,0.170,0.013,0.160,0.942
113,ciasteczka owsiane,0.081,marchew,0.216,0.013,0.166,0.766
114,cukierki,0.081,ser żółty,0.331,0.020,0.245,0.739
115,jajka,0.207,banany,0.258,0.042,0.203,0.789
116,cukierki,0.081,winogrona,0.209,0.012,0.154,0.735
117,cytryny,0.084,ryż,0.170,0.011,0.133,0.785
118,cukierki,0.081,pomidory,0.296,0.018,0.216,0.730
119,masło,0.131,papryka czerwona,0.181,0.022,0.170,0.940
120,cukierki,0.081,marchew,0.216,0.014,0.169,0.783
121,banany,0.258,papryka czerwona,0.181,0.036,0.141,0.778
122,cytryny,0.084,marchew,0.216,0.015,0.185,0.855
123,kasza jaglana,0.134,masło,0.131,0.016,0.118,0.897
124,winogrona,0.209,ogórki,0.294,0.047,0.223,0.761
125,jabłka,0.253,kasza jaglana,0.134,0.025,0.100,0.749
126,kawa,0.121,herbata,0.136,0.013,0.112,0.820
127,herbata,0.136,makaron pełnoziarnisty,0.168,0.018,0.134,0.797
128,cebula,0.220,ziemniaki,0.217,0.034,0.156,0.719
129,sok pomarańczowy,0.176,ser żółty,0.331,0.041,0.236,0.712
130,sok pomarańczowy,0.176,ryż,0.170,0.024,0.139,0.817
131,herbata,0.136,ser żółty,0.331,0.033,0.243,0.733
132,kasza jaglana,0.134,papryka czerwona,0.181,0.019,0.144,0.796
133,ogórki,0.294,kawa,0.121,0.031,0.105,0.868
134,cytryny,0.084,makaron pełnoziarnisty,0.168,0.011,0.136,0.809
135,herbata,0.136,marchew,0.216,0.024,0.179,0.828
136,ryż,0.170,jogurt naturalny,0.427,0.052,0.308,0.721
137,sok pomarańczowy,0.176,marchew,0.216,0.028,0.160,0.742
138,płatki owsiane,0.175,herbata,0.136,0.018,0.104,0.766
139,jabłka,0.253,jajka,0.207,0.043,0.168,0.811
140,olej rzepakowy,0.122,marchew,0.216,0.019,0.158,0.731
141,herbata,0.136,jogurt naturalny,0.427,0.044,0.325,0.760
142,kawa,0.121,chleb,0.637,0.054,0.451,0.708
143,kasza jaglana,0.134,herbata,0.136,0.016,0.121,0.893
144,kawa,0.121,makaron pełnoziarnisty,0.168,0.016,0.135,0.800
145,kawa,0.121,ryż,0.170,0.017,0.139,0.819
146,papryka czerwona,0.181,makaron pełnoziarnisty,0.168,0.025,0.137,0.815
147,ziemniaki,0.217,jajka,0.207,0.033,0.152,0.734
148,kawa,0.121,marchew,0.216,0.020,0.166,0.769
149,masło,0.131,gruszki,0.223,0.024,0.180,0.807
150,ziemniaki,0.217,pomidory,0.296,0.051,0.235,0.794
151,cebula,0.220,herbata,0.136,0.025,0.112,0.823
152,masło,0.131,jajka,0.207,0.021,0.162,0.784
153,cukierki,0.081,makaron pełnoziarnisty,0.168,0.014,0.169,1.005
154,herbata,0.136,mąka,0.120,0.014,0.104,0.874
155,sok pomarańczowy,0.176,herbata,0.136,0.020,0.111,0.818
156,cukier,0.089,marchew,0.216,0.016,0.179,0.830
157,olej rzepakowy,0.122,pomidory,0.296,0.030,0.247,0.835
158,cukierki,0.081,herbata,0.136,0.009,0.110,0.807
159,herbata,0.136,jajka,0.207,0.023,0.172,0.828
160,olej rzepakowy,0.122,mleko,0.636,0.055,0.447,0.702
161,cebula,0.220,makaron pełnoziarnisty,0.168,0.026,0.119,0.705
162,jabłka,0.253,sok pomarańczowy,0.176,0.037,0.144,0.821
163,cukier,0.089,banany,0.258,0.019,0.211,0.819
164,papryka czerwona,0.181,gruszki,0.223,0.031,0.172,0.772
165,płatki owsiane,0.175,ziemniaki,0.217,0.031,0.177,0.815
166,płatki owsiane,0.175,masło,0.131,0.023,0.132,1.004
167,olej rzepakowy,0.122,jajka,0.207,0.021,0.173,0.832
168,płatki owsiane,0.175,banany,0.258,0.036,0.207,0.804
169,kasza jaglana,0.134,banany,0.258,0.027,0.201,0.781
170,jabłka,0.253,gruszki,0.223,0.043,0.171,0.767
171,kasza jaglana,0.134,sok pomarańczowy,0.176,0.019,0.144,0.821
172,cukierki,0.081,kasza jaglana,0.134,0.009,0.107,0.797
173,jogurt naturalny,0.427,makaron pełnoziarnisty,0.168,0.053,0.123,0.730
174,cukier,0.089,makaron pełnoziarnisty,0.168,0.011,0.125,0.744
175,jajka,0.207,papryka czerwona,0.181,0.029,0.141,0.777
176,kasza jaglana,0.134,ogórki,0.294,0.034,0.254,0.866
177,jabłka,0.253,ryż,0.170,0.032,0.127,0.749
178,jabłka,0.253,herbata,0.136,0.029,0.113,0.832
179,cebula,0.220,sok pomarańczowy,0.176,0.030,0.136,0.775
180,cukierki,0.081,masło,0.131,0.009,0.113,0.860
181,cukierki,0.081,gruszki,0.223,0.014,0.169,0.759
182,kasza jaglana,0.134,jajka,0.207,0.022,0.161,0.778
183,cukierki,0.081,ziemniaki,0.217,0.014,0.169,0.781
184,ziemniaki,0.217,makaron pełnoziarnisty,0.168,0.028,0.128,0.758
185,ziemniaki,0.217,jogurt naturalny,0.427,0.071,0.328,0.768
186,ryż,0.170,mąka,0.120,0.018,0.106,0.888
187,płatki owsiane,0.175,papryka czerwona,0.181,0.029,0.165,0.911
188,sok pomarańczowy,0.176,papryka czerwona,0.181,0.026,0.147,0.814
189,masło,0.131,jogurt naturalny,0.427,0.041,0.315,0.738
190,masło,0.131,makaron pełnoziarnisty,0.168,0.019,0.143,0.850
191,cytryny,0.084,ziemniaki,0.217,0.016,0.188,0.867
192,jabłka,0.253,marchew,0.216,0.040,0.157,0.727
193,sok pomarańczowy,0.176,ziemniaki,0.217,0.029,0.166,0.767
194,cebula,0.220,jogurt naturalny,0.427,0.069,0.315,0.737
195,cytryny,0.084,kawa,0.121,0.009,0.112,0.930
196,kawa,0.121,jajka,0.207,0.019,0.156,0.751
197,masło,0.131,banany,0.258,0.029,0.219,0.849
198,ziemniaki,0.217,banany,0.258,0.041,0.190,0.737
199,kawa,0.121,pomidory,0.296,0.031,0.255,0.860
200,cukierki,0.081,papryka czerwona,0.181,0.011,0.132,0.727
201,gruszki,0.223,makaron pełnoziarnisty,0.168,0.032,0.143,0.851
202,ziemniaki,0.217,marchew,0.216,0.040,0.186,0.861
203,jabłka,0.253,makaron pełnoziarnisty,0.168,0.035,0.138,0.820
204,masło,0.131,marchew,0.216,0.024,0.184,0.850
205,płatki owsiane,0.175,gruszki,0.223,0.030,0.172,0.772
206,sok pomarańczowy;olej rzepakowy,0.015,ser żółty,0.331,0.005,0.295,0.892
207,sok pomarańczowy;ser żółty,0.041,olej rzepakowy,0.122,0.005,0.110,0.905
208,olej rzepakowy;ser żółty,0.031,sok pomarańczowy,0.176,0.005,0.149,0.847
209,jogurt naturalny;mleko,0.167,gruszki,0.223,0.031,0.185,0.831
210,jogurt naturalny;gruszki,0.063,mleko,0.636,0.031,0.494,0.776
211,mleko;gruszki,0.100,jogurt naturalny,0.427,0.031,0.310,0.727
212,sok pomarańczowy;ryż,0.024,banany,0.258,0.005,0.188,0.728
213,sok pomarańczowy;banany,0.032,ryż,0.170,0.005,0.142,0.835
214,ryż;banany,0.034,sok pomarańczowy,0.176,0.005,0.134,0.765
215,cebula;papryka czerwona,0.030,masło,0.131,0.003,0.102,0.775
216,płatki owsiane;ciasteczka owsiane,0.010,pomidory,0.296,0.003,0.317,1.070
217,pomidory;ciasteczka owsiane,0.019,płatki owsiane,0.175,0.003,0.178,1.016
218,herbata;jogurt naturalny,0.044,mleko,0.636,0.021,0.483,0.759
219,herbata;mleko,0.064,jogurt naturalny,0.427,0.021,0.335,0.784
220,jogurt naturalny;mleko,0.167,herbata,0.136,0.021,0.128,0.939
221,cukierki;pomidory,0.018,banany,0.258,0.004,0.246,0.957
222,cukierki;banany,0.018,pomidory,0.296,0.004,0.246,0.831
223,jabłka;masło,0.023,mąka,0.120,0.003,0.111,0.930
224,jabłka;mąka,0.021,masło,0.131,0.003,0.120,0.918
225,ziemniaki;ser żółty,0.057,makaron pełnoziarnisty,0.168,0.007,0.126,0.745
226,ziemniaki;makaron pełnoziarnisty,0.028,ser żółty,0.331,0.007,0.257,0.776
227,ser żółty;makaron pełnoziarnisty,0.041,ziemniaki,0.217,0.007,0.175,0.808
228,ziemniaki;gruszki,0.033,makaron pełnoziarnisty,0.168,0.005,0.137,0.816
229,ziemniaki;makaron pełnoziarnisty,0.028,gruszki,0.223,0.005,0.165,0.740
230,jabłka;czekolada gorzka,0.015,banany,0.258,0.003,0.197,0.764
231,banany;czekolada gorzka,0.015,jabłka,0.253,0.003,0.200,0.789
232,ogórki;ser żółty,0.070,jajka,0.207,0.011,0.162,0.784
233,ogórki;jajka,0.044,ser żółty,0.331,0.011,0.259,0.782
234,ser żółty;jajka,0.047,ogórki,0.294,0.011,0.243,0.829
235,cytryny;kawa,0.009,ser żółty,0.331,0.003,0.297,0.899
236,cytryny;ser żółty,0.022,kawa,0.121,0.003,0.128,1.061
237,masło;jajka,0.021,makaron pełnoziarnisty,0.168,0.003,0.119,0.707
238,kawa;mleko,0.053,banany,0.258,0.010,0.184,0.713
239,cebula;chleb,0.087,gruszki,0.223,0.015,0.170,0.760
240,chleb;gruszki,0.092,cebula,0.220,0.015,0.160,0.726
241,kasza jaglana;marchew,0.023,mąka,0.120,0.003,0.135,1.128
242,kasza jaglana;mąka,0.013,marchew,0.216,0.003,0.240,1.110
243,marchew;mąka,0.019,kasza jaglana,0.134,0.003,0.160,1.197
244,jajka;ciasteczka owsiane,0.012,mleko,0.636,0.006,0.449,0.706
245,ciasteczka owsiane;mleko,0.033,jajka,0.207,0.006,0.167,0.804
246,ryż;cukier,0.014,marchew,0.216,0.003,0.182,0.841
247,cukier;marchew,0.016,ryż,0.170,0.003,0.159,0.935
248,kawa;ryż,0.017,jogurt naturalny,0.427,0.006,0.348,0.816
249,kawa;jogurt naturalny,0.042,ryż,0.170,0.006,0.140,0.826
250,ryż;jogurt naturalny,0.052,kawa,0.121,0.006,0.112,0.926
251,cukier;gruszki,0.013,jogurt naturalny,0.427,0.004,0.333,0.781
252,kawa;herbata,0.013,banany,0.258,0.003,0.245,0.952
253,kawa;banany,0.025,herbata,0.136,0.003,0.130,0.956
254,herbata;banany,0.026,kawa,0.121,0.003,0.125,1.037
255,cukierki;sok pomarańczowy,0.012,gruszki,0.223,0.004,0.298,1.336
256,cukierki;gruszki,0.014,sok pomarańczowy,0.176,0.004,0.259,1.477
257,sok pomarańczowy;gruszki,0.029,cukierki,0.081,0.004,0.124,1.531
258,jabłka;płatki owsiane,0.037,ser żółty,0.331,0.009,0.243,0.735
259,jabłka;ser żółty,0.060,płatki owsiane,0.175,0.009,0.147,0.839
