id,support,pattern
0,0.637,chleb
1,0.217,ziemniaki
2,0.296,pomidory
3,0.131,masło
4,0.207,jajka
5,0.121,kawa
6,0.089,cukier
7,0.168,makaron pełnoziarnisty
8,0.427,jogurt naturalny
9,0.081,ciasteczka owsiane
10,0.216,marchew
11,0.120,mąka
12,0.258,banany
13,0.181,papryka czerwona
14,0.331,ser żółty
15,0.636,mleko
16,0.090,czekolada gorzka
17,0.223,gruszki
18,0.134,kasza jaglana
19,0.209,winogrona
20,0.081,cukierki
21,0.220,cebula
22,0.253,jabłka
23,0.175,płatki owsiane
24,0.176,sok pomarańczowy
25,0.294,ogórki
26,0.084,cytryny
27,0.170,ryż
28,0.136,herbata
29,0.122,olej rzepakowy
30,0.070,mleko;papryka czerwona
31,0.039,jajka;marchew
32,0.058,ogórki;pomidory
33,0.016,cebula;cukier
34,0.016,cytryny;papryka czerwona
35,0.052,ogórki;gruszki
36,0.022,cebula;kawa
37,0.008,cukier;mąka
38,0.071,ryż;chleb
39,0.032,jogurt naturalny;mąka
40,0.021,ziemniaki;mąka
41,0.035,ogórki;ryż
42,0.020,ser żółty;ciasteczka owsiane
43,0.055,winogrona;ser żółty
44,0.010,sok pomarańczowy;cukier
45,0.037,winogrona;gruszki
46,0.016,ciasteczka owsiane;banany
47,0.024,ogórki;olej rzepakowy
48,0.033,winogrona;marchew
49,0.013,cukierki;kawa
50,0.033,jajka;gruszki
51,0.048,winogrona;pomidory
52,0.005,cukierki;cukier
53,0.014,sok pomarańczowy;kawa
54,0.045,jabłka;cebula
55,0.029,kasza jaglana;ser żółty
56,0.018,cebula;czekolada gorzka
57,0.021,kasza jaglana;gruszki
58,0.041,chleb;czekolada gorzka
59,0.019,winogrona;olej rzepakowy
60,0.013,marchew;czekolada gorzka
61,0.030,banany;makaron pełnoziarnisty
62,0.023,kasza jaglana;marchew
63,0.058,kasza jaglana;mleko
64,0.031,kasza jaglana;pomidory
65,0.009,mąka;czekolada gorzka
66,0.033,ziemniaki;papryka czerwona
67,0.011,kasza jaglana;cytryny
68,0.019,kasza jaglana;winogrona
69,0.047,ser żółty;jajka
70,0.022,kawa;ziemniaki
71,0.037,olej rzepakowy;jogurt naturalny
72,0.051,mleko;mąka
73,0.077,płatki owsiane;chleb
74,0.045,pomidory;marchew
75,0.017,kasza jaglana;ryż
76,0.010,cukier;papryka czerwona
77,0.084,winogrona;mleko
78,0.083,jajka;mleko
79,0.041,banany;gruszki
80,0.041,ogórki;marchew
81,0.012,płatki owsiane;czekolada gorzka
82,0.103,banany;mleko
83,0.017,kasza jaglana;makaron pełnoziarnisty
84,0.032,jabłka;papryka czerwona
85,0.070,ogórki;ser żółty
86,0.041,jabłka;ziemniaki
87,0.087,ziemniaki;chleb
88,0.044,ogórki;jajka
89,0.022,olej rzepakowy;banany
90,0.026,cukierki;jogurt naturalny
91,0.032,winogrona;jajka
92,0.025,cebula;masło
93,0.015,olej rzepakowy;makaron pełnoziarnisty
94,0.016,ziemniaki;ciasteczka owsiane
95,0.076,chleb;papryka czerwona
96,0.030,jajka;makaron pełnoziarnisty
97,0.036,marchew;banany
98,0.015,jabłka;czekolada gorzka
99,0.012,winogrona;ciasteczka owsiane
100,0.025,płatki owsiane;sok pomarańczowy
101,0.009,cytryny;mąka
102,0.064,pomidory;ser żółty
103,0.131,ser żółty;mleko
104,0.087,cebula;chleb
105,0.019,pomidory;ciasteczka owsiane
106,0.010,cukierki;płatki owsiane
107,0.016,cukierki;jabłka
108,0.121,ogórki;mleko
109,0.053,jogurt naturalny;papryka czerwona
110,0.030,cebula;papryka czerwona
111,0.099,jabłka;chleb
112,0.016,płatki owsiane;kawa
113,0.058,jabłka;ogórki
114,0.120,pomidory;mleko
115,0.013,makaron pełnoziarnisty;czekolada gorzka
116,0.018,cukierki;banany
117,0.028,ciasteczka owsiane;jogurt naturalny
118,0.022,jabłka;kawa
119,0.037,chleb;cukier
120,0.018,jabłka;ciasteczka owsiane
121,0.014,kasza jaglana;olej rzepakowy
122,0.012,cukierki;sok pomarańczowy
123,0.012,ziemniaki;czekolada gorzka
124,0.044,pomidory;jajka
125,0.031,olej rzepakowy;ser żółty
126,0.038,płatki owsiane;ogórki
127,0.010,kawa;mąka
128,0.032,sok pomarańczowy;banany
129,0.026,herbata;banany
130,0.019,kawa;gruszki
131,0.023,ogórki;ciasteczka owsiane
132,0.043,ogórki;ziemniaki
133,0.013,cytryny;jajka
134,0.019,winogrona;herbata
135,0.015,sok pomarańczowy;mąka
136,0.025,ogórki;herbata
137,0.010,masło;cukier
138,0.007,ciasteczka owsiane;makaron pełnoziarnisty
139,0.020,cebula;mąka
140,0.016,ziemniaki;cukier
141,0.011,ciasteczka owsiane;papryka czerwona
142,0.033,winogrona;ziemniaki
143,0.062,jajka;jogurt naturalny
144,0.013,kasza jaglana;mąka
145,0.013,ryż;ciasteczka owsiane
146,0.034,ryż;banany
147,0.017,cytryny;banany
148,0.083,ogórki;jogurt naturalny
149,0.029,ryż;ziemniaki
150,0.015,ryż;masło
151,0.019,kasza jaglana;ziemniaki
152,0.028,ogórki;masło
153,0.007,cytryny;cukier
154,0.020,ryż;herbata
155,0.018,cukierki;ogórki
156,0.051,sok pomarańczowy;jogurt naturalny
157,0.014,kawa;papryka czerwona
158,0.036,pomidory;makaron pełnoziarnisty
159,0.035,chleb;ciasteczka owsiane
160,0.015,mąka;makaron pełnoziarnisty
161,0.007,cukierki;mąka
162,0.018,jabłka;cukier
163,0.006,herbata;ciasteczka owsiane
164,0.016,jajka;mąka
165,0.054,chleb;mąka
166,0.024,olej rzepakowy;gruszki
167,0.015,ciasteczka owsiane;gruszki
168,0.007,cukier;czekolada gorzka
169,0.056,winogrona;jogurt naturalny
170,0.026,banany;mąka
171,0.024,cytryny;jogurt naturalny
172,0.018,papryka czerwona;mąka
173,0.030,winogrona;sok pomarańczowy
174,0.029,kawa;ser żółty
175,0.050,ogórki;banany
176,0.044,ser żółty;papryka czerwona
177,0.037,jabłka;płatki owsiane
178,0.060,jabłka;ser żółty
179,0.007,cukierki;olej rzepakowy
180,0.040,ogórki;papryka czerwona
181,0.073,sok pomarańczowy;chleb
182,0.028,marchew;papryka czerwona
183,0.008,olej rzepakowy;ciasteczka owsiane
184,0.100,mleko;gruszki
185,0.033,sok pomarańczowy;ogórki
186,0.044,winogrona;banany
187,0.017,cebula;ciasteczka owsiane
188,0.005,cytryny;czekolada gorzka
189,0.019,herbata;papryka czerwona
190,0.019,mąka;gruszki
191,0.008,kasza jaglana;ciasteczka owsiane
192,0.017,olej rzepakowy;papryka czerwona
193,0.047,pomidory;gruszki
194,0.015,sok pomarańczowy;olej rzepakowy
195,0.039,cytryny;mleko
196,0.053,ser żółty;marchew
197,0.042,ogórki;makaron pełnoziarnisty
198,0.019,cytryny;pomidory
199,0.035,cukierki;chleb
200,0.025,ryż;papryka czerwona
201,0.032,masło;ser żółty
202,0.050,ser żółty;gruszki
203,0.005,cukierki;czekolada gorzka
204,0.016,jajka;cukier
205,0.057,ziemniaki;ser żółty
206,0.013,płatki owsiane;cukier
207,0.021,jabłka;mąka
208,0.016,winogrona;cytryny
209,0.037,cytryny;chleb
210,0.053,cebula;ser żółty
211,0.028,winogrona;makaron pełnoziarnisty
212,0.017,cytryny;ogórki
213,0.037,pomidory;papryka czerwona
214,0.011,sok pomarańczowy;czekolada gorzka
215,0.027,cebula;płatki owsiane
216,0.014,olej rzepakowy;masło
217,0.024,olej rzepakowy;ziemniaki
218,0.041,ser żółty;makaron pełnoziarnisty
219,0.014,herbata;masło
220,0.022,herbata;ziemniaki
