id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
0,ziemniaki,0.401,oliwa z oliwek,0.196,0.071,0.177,0.903
1,oliwa z oliwek,0.196,makaron pełnoziarnisty,0.183,0.036,0.184,1.004
2,ziemniaki,0.401,płatki owsiane,0.210,0.080,0.200,0.950
3,ryż brązowy,0.412,makaron pełnoziarnisty,0.183,0.067,0.163,0.889
4,ryż brązowy,0.412,kurczak,0.192,0.060,0.146,0.758
5,banany,0.389,kurczak,0.192,0.066,0.170,0.884
6,banany,0.389,makaron pełnoziarnisty,0.183,0.057,0.147,0.801
7,ziemniaki,0.401,pomidory,0.196,0.075,0.187,0.954
8,ser żółty,0.418,płatki owsiane,0.210,0.078,0.187,0.889
9,mleko,0.434,makaron pełnoziarnisty,0.183,0.071,0.164,0.894
10,ser żółty,0.418,kurczak,0.192,0.065,0.156,0.810
11,jabłka,0.407,kurczak,0.192,0.066,0.162,0.845
12,chleb pełnoziarnisty,0.414,kurczak,0.192,0.076,0.184,0.956
13,chleb pełnoziarnisty,0.414,makaron pełnoziarnisty,0.183,0.070,0.169,0.924
14,jogurt naturalny,0.434,kurczak,0.192,0.076,0.175,0.912
15,jogurt naturalny,0.434,makaron pełnoziarnisty,0.183,0.057,0.131,0.718
16,jajka,0.432,kurczak,0.192,0.080,0.185,0.965
17,jajka,0.432,makaron pełnoziarnisty,0.183,0.067,0.155,0.848
18,ziemniaki,0.401,makaron pełnoziarnisty,0.183,0.062,0.155,0.845
19,ziemniaki,0.401,kurczak,0.192,0.065,0.162,0.844
20,ogórki,0.396,kurczak,0.192,0.065,0.164,0.855
21,ogórki,0.396,makaron pełnoziarnisty,0.183,0.070,0.177,0.966
22,mleko,0.434,kurczak,0.192,0.068,0.157,0.816
23,ser żółty,0.418,makaron pełnoziarnisty,0.183,0.063,0.151,0.824
24,jabłka,0.407,makaron pełnoziarnisty,0.183,0.066,0.162,0.886
25,oliwa z oliwek;płatki owsiane,0.045,jajka,0.432,0.013,0.289,0.669
26,oliwa z oliwek;jajka,0.071,płatki owsiane,0.210,0.013,0.183,0.872
27,płatki owsiane;jajka,0.080,oliwa z oliwek,0.196,0.013,0.162,0.829
28,pomidory;jajka,0.070,ryż brązowy,0.412,0.021,0.300,0.728
29,pomidory;ryż brązowy,0.063,jajka,0.432,0.021,0.333,0.772
30,jajka;ryż brązowy,0.171,pomidory,0.196,0.021,0.123,0.627
31,oliwa z oliwek;ryż brązowy,0.070,mleko,0.434,0.026,0.371,0.856
32,oliwa z oliwek;mleko,0.075,ryż brązowy,0.412,0.026,0.347,0.841
33,ryż brązowy;mleko,0.181,oliwa z oliwek,0.196,0.026,0.144,0.733
34,ser żółty;ryż brązowy,0.171,kurczak,0.192,0.023,0.135,0.701
35,ser żółty;kurczak,0.065,ryż brązowy,0.412,0.023,0.354,0.859
36,ryż brązowy;kurczak,0.060,ser żółty,0.418,0.023,0.383,0.917
37,jajka;ryż brązowy,0.171,makaron pełnoziarnisty,0.183,0.026,0.152,0.831
