id,support,pattern
0,0.434,jogurt naturalny
1,0.434,mleko
2,0.432,jajka
3,0.418,ser żółty
4,0.414,chleb pełnoziarnisty
5,0.412,ryż brązowy
6,0.407,jabłka
7,0.401,ziemniaki
8,0.396,ogórki
9,0.389,banany
10,0.21,płatki owsiane
11,0.196,pomidory
12,0.196,oliwa z oliwek
13,0.194,ser żółty;mleko
14,0.192,kurczak
15,0.184,jogurt naturalny;mleko
16,0.183,makaron pełnoziarnisty
17,0.181,ryż brązowy;mleko
18,0.18,jajka;jogurt naturalny
19,0.18,jajka;chleb pełnoziarnisty
20,0.178,ziemniaki;mleko
21,0.177,ziemniaki;jajka
22,0.177,jabłka;jogurt naturalny
23,0.177,chleb pełnoziarnisty;mleko
24,0.176,ser żółty;jajka
25,0.176,ryż brązowy;chleb pełnoziarnisty
26,0.175,jabłka;ryż brązowy
27,0.175,ser żółty;jogurt naturalny
28,0.172,ser żółty;ogórki
29,0.172,ryż brązowy;jogurt naturalny
30,0.171,jajka;mleko
31,0.171,ser żółty;ryż brązowy
32,0.171,jajka;ryż brązowy
33,0.17,jabłka;mleko
34,0.169,ryż brązowy;ogórki
35,0.169,chleb pełnoziarnisty;jogurt naturalny
36,0.167,jabłka;jajka
37,0.165,banany;mleko
38,0.165,ziemniaki;jogurt naturalny
39,0.164,ziemniaki;chleb pełnoziarnisty
40,0.163,ser żółty;banany
41,0.163,jabłka;ser żółty
42,0.163,chleb pełnoziarnisty;ogórki
43,0.162,jabłka;chleb pełnoziarnisty
44,0.162,jogurt naturalny;ogórki
45,0.162,ogórki;mleko
46,0.16,jabłka;banany
47,0.16,ziemniaki;jabłka
48,0.16,ser żółty;chleb pełnoziarnisty
49,0.159,ziemniaki;ser żółty
50,0.158,chleb pełnoziarnisty;banany
51,0.157,jajka;banany
52,0.156,ziemniaki;ryż brązowy
53,0.156,ogórki;banany
54,0.156,jogurt naturalny;banany
55,0.155,jajka;ogórki
56,0.153,ziemniaki;ogórki
57,0.15,jabłka;ogórki
58,0.149,ryż brązowy;banany
59,0.146,ziemniaki;banany
60,0.085,oliwa z oliwek;jogurt naturalny
61,0.084,ziemniaki;jajka;mleko
62,0.082,jabłka;płatki owsiane
63,0.082,pomidory;mleko
64,0.081,ziemniaki;ser żółty;mleko
65,0.08,ziemniaki;płatki owsiane
66,0.08,płatki owsiane;jajka
67,0.08,jajka;kurczak
68,0.08,ser żółty;jogurt naturalny;mleko
69,0.079,płatki owsiane;jogurt naturalny
70,0.079,płatki owsiane;mleko
71,0.079,ser żółty;ryż brązowy;ogórki
72,0.079,jabłka;jogurt naturalny;mleko
73,0.079,jabłka;ryż brązowy;chleb pełnoziarnisty
74,0.078,ser żółty;płatki owsiane
75,0.078,ryż brązowy;chleb pełnoziarnisty;mleko
76,0.078,jabłka;ser żółty;mleko
77,0.077,ser żółty;jajka;jogurt naturalny
78,0.077,ziemniaki;jabłka;mleko
79,0.076,pomidory;chleb pełnoziarnisty
80,0.076,chleb pełnoziarnisty;kurczak
81,0.076,jogurt naturalny;kurczak
82,0.076,ziemniaki;jajka;jogurt naturalny
83,0.076,ser żółty;ryż brązowy;mleko
84,0.076,ser żółty;ogórki;mleko
85,0.076,ser żółty;jajka;ryż brązowy
86,0.075,ziemniaki;pomidory
87,0.075,oliwa z oliwek;mleko
88,0.075,oliwa z oliwek;ser żółty
89,0.075,oliwa z oliwek;chleb pełnoziarnisty
90,0.075,ryż brązowy;jogurt naturalny;mleko
91,0.075,ziemniaki;jogurt naturalny;mleko
92,0.075,jajka;ryż brązowy;chleb pełnoziarnisty
93,0.075,jabłka;chleb pełnoziarnisty;mleko
94,0.074,pomidory;jogurt naturalny
95,0.074,płatki owsiane;ogórki
96,0.074,jabłka;chleb pełnoziarnisty;jogurt naturalny
97,0.074,ryż brązowy;ogórki;mleko
98,0.074,ziemniaki;jajka;chleb pełnoziarnisty
99,0.074,ziemniaki;ryż brązowy;ogórki
100,0.074,chleb pełnoziarnisty;jogurt naturalny;mleko
101,0.073,płatki owsiane;chleb pełnoziarnisty
102,0.073,ziemniaki;chleb pełnoziarnisty;mleko
103,0.073,ser żółty;chleb pełnoziarnisty;mleko
104,0.073,ser żółty;mleko;banany
105,0.073,ryż brązowy;chleb pełnoziarnisty;ogórki
106,0.072,jajka;ryż brązowy;mleko
107,0.072,ser żółty;jajka;chleb pełnoziarnisty
108,0.071,ziemniaki;oliwa z oliwek
109,0.071,oliwa z oliwek;jajka
110,0.071,mleko;makaron pełnoziarnisty
111,0.071,ser żółty;ogórki;banany
112,0.071,jabłka;jajka;jogurt naturalny
113,0.071,ziemniaki;jajka;ryż brązowy
114,0.071,ryż brązowy;chleb pełnoziarnisty;jogurt naturalny
115,0.071,jajka;chleb pełnoziarnisty;mleko
116,0.071,ser żółty;ryż brązowy;chleb pełnoziarnisty
117,0.07,chleb pełnoziarnisty;makaron pełnoziarnisty
118,0.07,oliwa z oliwek;ryż brązowy
119,0.07,ogórki;makaron pełnoziarnisty
120,0.07,płatki owsiane;ryż brązowy
121,0.07,pomidory;jajka
122,0.07,jabłka;ser żółty;jogurt naturalny
123,0.07,jabłka;ryż brązowy;mleko
124,0.07,ziemniaki;jabłka;jogurt naturalny
125,0.07,chleb pełnoziarnisty;mleko;banany
126,0.07,jajka;jogurt naturalny;mleko
127,0.07,ser żółty;jajka;mleko
128,0.069,oliwa z oliwek;banany
129,0.069,ser żółty;chleb pełnoziarnisty;ogórki
130,0.069,ser żółty;ryż brązowy;jogurt naturalny
131,0.069,jabłka;ryż brązowy;jogurt naturalny
132,0.068,pomidory;ogórki
133,0.068,mleko;kurczak
134,0.068,ser żółty;jajka;banany
135,0.068,ziemniaki;ryż brązowy;chleb pełnoziarnisty
136,0.068,ryż brązowy;ogórki;banany
137,0.068,jabłka;jajka;ryż brązowy
138,0.068,jabłka;ser żółty;ryż brązowy
139,0.067,ryż brązowy;makaron pełnoziarnisty
140,0.067,płatki owsiane;banany
141,0.067,jajka;makaron pełnoziarnisty
142,0.067,jabłka;ser żółty;banany
143,0.067,jajka;chleb pełnoziarnisty;banany
144,0.067,ziemniaki;jabłka;chleb pełnoziarnisty
145,0.067,jajka;ryż brązowy;jogurt naturalny
146,0.067,ziemniaki;ser żółty;ogórki
147,0.067,jabłka;ser żółty;ogórki
148,0.066,oliwa z oliwek;jabłka
149,0.066,pomidory;banany
150,0.066,banany;kurczak
151,0.066,jabłka;kurczak
152,0.066,jabłka;makaron pełnoziarnisty
153,0.066,jajka;ryż brązowy;banany
154,0.066,ziemniaki;chleb pełnoziarnisty;jogurt naturalny
155,0.066,ryż brązowy;jogurt naturalny;ogórki
156,0.066,jajka;chleb pełnoziarnisty;ogórki
157,0.066,jabłka;ser żółty;jajka
158,0.065,ser żółty;kurczak
159,0.065,ziemniaki;kurczak
160,0.065,pomidory;ser żółty
161,0.065,ogórki;kurczak
162,0.065,ziemniaki;jabłka;jajka
163,0.065,chleb pełnoziarnisty;jogurt naturalny;ogórki
164,0.065,jajka;ryż brązowy;ogórki
165,0.065,ziemniaki;ser żółty;banany
166,0.065,ziemniaki;jabłka;ser żółty
167,0.065,jabłka;ogórki;banany
168,0.065,jabłka;mleko;banany
169,0.064,jajka;chleb pełnoziarnisty;jogurt naturalny
170,0.064,chleb pełnoziarnisty;ogórki;mleko
171,0.064,ziemniaki;ser żółty;jajka
172,0.064,jajka;ogórki;banany
173,0.064,ser żółty;jajka;ogórki
174,0.063,oliwa z oliwek;ogórki
175,0.063,ser żółty;makaron pełnoziarnisty
176,0.063,pomidory;ryż brązowy
177,0.063,jogurt naturalny;mleko;banany
178,0.063,jogurt naturalny;ogórki;mleko
179,0.063,ser żółty;jogurt naturalny;ogórki
180,0.063,ryż brązowy;mleko;banany
181,0.063,ziemniaki;ryż brązowy;mleko
182,0.063,jabłka;chleb pełnoziarnisty;banany
183,0.062,ziemniaki;makaron pełnoziarnisty
184,0.062,jogurt naturalny;ogórki;banany
185,0.062,ziemniaki;jabłka;ryż brązowy
186,0.062,ziemniaki;ogórki;banany
187,0.062,ziemniaki;jajka;banany
188,0.062,jabłka;ryż brązowy;banany
189,0.062,ziemniaki;ser żółty;ryż brązowy
190,0.062,ziemniaki;jajka;ogórki
191,0.062,ogórki;mleko;banany
192,0.061,ser żółty;chleb pełnoziarnisty;jogurt naturalny
193,0.061,ser żółty;chleb pełnoziarnisty;banany
194,0.061,ser żółty;jogurt naturalny;banany
195,0.061,ser żółty;ryż brązowy;banany
196,0.061,ryż brązowy;chleb pełnoziarnisty;banany
197,0.061,ziemniaki;jabłka;ogórki
198,0.061,ziemniaki;mleko;banany
199,0.06,ryż brązowy;kurczak
200,0.06,ziemniaki;chleb pełnoziarnisty;ogórki
201,0.06,jabłka;ryż brązowy;ogórki
202,0.06,ziemniaki;ogórki;mleko
203,0.059,jabłka;jajka;chleb pełnoziarnisty
204,0.059,jabłka;ser żółty;chleb pełnoziarnisty
205,0.059,jabłka;jogurt naturalny;ogórki
206,0.059,jabłka;jajka;mleko
207,0.059,ziemniaki;ser żółty;chleb pełnoziarnisty
208,0.059,chleb pełnoziarnisty;ogórki;banany
209,0.059,ziemniaki;chleb pełnoziarnisty;banany
210,0.059,chleb pełnoziarnisty;jogurt naturalny;banany
211,0.058,jabłka;jogurt naturalny;banany
212,0.058,jajka;mleko;banany
213,0.057,banany;makaron pełnoziarnisty
214,0.057,jogurt naturalny;makaron pełnoziarnisty
215,0.057,pomidory;jabłka
216,0.057,ziemniaki;jabłka;banany
217,0.057,ryż brązowy;jogurt naturalny;banany
218,0.057,jajka;jogurt naturalny;banany
219,0.057,jabłka;ogórki;mleko
220,0.056,jabłka;jajka;banany
221,0.056,ziemniaki;ryż brązowy;jogurt naturalny
222,0.056,ziemniaki;ryż brązowy;banany
223,0.055,ziemniaki;jogurt naturalny;banany
224,0.055,jajka;jogurt naturalny;ogórki
225,0.054,jajka;ogórki;mleko
226,0.054,ziemniaki;ser żółty;jogurt naturalny
227,0.053,ziemniaki;jogurt naturalny;ogórki
228,0.053,jabłka;chleb pełnoziarnisty;ogórki
229,0.051,jabłka;jajka;ogórki
