id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
0,ser żółty;jogurt naturalny,0.175,ziemniaki,0.401,0.054,0.309,0.770
1,jabłka;jajka,0.167,ogórki,0.396,0.051,0.305,0.771
2,ogórki;mleko,0.162,jajka,0.432,0.054,0.333,0.772
3,jajka;jogurt naturalny,0.180,ogórki,0.396,0.055,0.306,0.772
4,ziemniaki;ser żółty,0.159,jogurt naturalny,0.434,0.054,0.340,0.783
5,ziemniaki;jogurt naturalny,0.165,ser żółty,0.418,0.054,0.327,0.783
6,jogurt naturalny;ogórki,0.162,jajka,0.432,0.055,0.340,0.786
7,jabłka;ogórki,0.150,jajka,0.432,0.051,0.340,0.787
8,jajka;mleko,0.171,ogórki,0.396,0.054,0.316,0.797
9,ziemniaki;ogórki,0.153,jogurt naturalny,0.434,0.053,0.346,0.798
10,chleb pełnoziarnisty;ogórki,0.163,jabłka,0.407,0.053,0.325,0.799
11,banany,0.389,makaron pełnoziarnisty,0.183,0.057,0.147,0.801
12,jajka;ogórki,0.155,mleko,0.434,0.054,0.348,0.803
13,jabłka;mleko,0.170,jajka,0.432,0.059,0.347,0.803
14,jajka;chleb pełnoziarnisty,0.180,jabłka,0.407,0.059,0.328,0.805
15,jajka;ogórki,0.155,jabłka,0.407,0.051,0.329,0.808
16,ser żółty,0.418,kurczak,0.192,0.065,0.156,0.810
17,jabłka;banany,0.160,jajka,0.432,0.056,0.350,0.810
18,ziemniaki;jogurt naturalny,0.165,ogórki,0.396,0.053,0.321,0.811
19,ryż brązowy;jogurt naturalny,0.172,ziemniaki,0.401,0.056,0.326,0.812
20,banany;mleko,0.165,jajka,0.432,0.058,0.352,0.814
21,jabłka;jajka,0.167,mleko,0.434,0.059,0.353,0.814
22,jajka;jogurt naturalny,0.180,banany,0.389,0.057,0.317,0.814
23,jogurt naturalny;ogórki,0.162,ziemniaki,0.401,0.053,0.327,0.816
24,mleko,0.434,kurczak,0.192,0.068,0.157,0.816
25,jajka;ogórki,0.155,jogurt naturalny,0.434,0.055,0.355,0.818
26,jajka;chleb pełnoziarnisty,0.180,jogurt naturalny,0.434,0.064,0.356,0.819
27,ser żółty,0.418,makaron pełnoziarnisty,0.183,0.063,0.151,0.824
28,ziemniaki;jogurt naturalny,0.165,ryż brązowy,0.412,0.056,0.339,0.824
29,jabłka;chleb pełnoziarnisty,0.162,ogórki,0.396,0.053,0.327,0.826
30,ziemniaki;ryż brązowy,0.156,jogurt naturalny,0.434,0.056,0.359,0.827
31,ser żółty;mleko,0.194,jajka,0.432,0.070,0.361,0.835
32,jabłka;banany,0.160,jogurt naturalny,0.434,0.058,0.363,0.835
33,jajka;banany,0.157,jogurt naturalny,0.434,0.057,0.363,0.837
34,jabłka;jogurt naturalny,0.177,ogórki,0.396,0.059,0.333,0.842
