id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
0,pomidory;płatki owsiane,0.045,kurczak,0.192,0.014,0.311,1.620
1,pomidory;chleb pełnoziarnisty,0.076,kurczak,0.192,0.023,0.303,1.576
2,ogórki;kurczak,0.065,pomidory,0.196,0.020,0.308,1.570
3,płatki owsiane;kurczak,0.046,pomidory,0.196,0.014,0.304,1.553
4,chleb pełnoziarnisty;kurczak,0.076,pomidory,0.196,0.023,0.303,1.544
5,pomidory;ogórki,0.068,kurczak,0.192,0.020,0.294,1.532
6,mleko;kurczak,0.068,oliwa z oliwek,0.196,0.020,0.294,1.501
7,ogórki;kurczak,0.065,makaron pełnoziarnisty,0.183,0.017,0.262,1.429
8,mleko;kurczak,0.068,pomidory,0.196,0.019,0.279,1.426
9,płatki owsiane;chleb pełnoziarnisty,0.073,makaron pełnoziarnisty,0.183,0.019,0.260,1.422
10,oliwa z oliwek;jabłka,0.066,kurczak,0.192,0.018,0.273,1.420
11,chleb pełnoziarnisty;makaron pełnoziarnisty,0.070,kurczak,0.192,0.019,0.271,1.414
12,pomidory;jogurt naturalny,0.074,kurczak,0.192,0.020,0.270,1.408
13,jajka;makaron pełnoziarnisty,0.067,kurczak,0.192,0.018,0.269,1.399
14,płatki owsiane;chleb pełnoziarnisty,0.073,oliwa z oliwek,0.196,0.020,0.274,1.398
15,oliwa z oliwek;jajka,0.071,kurczak,0.192,0.019,0.268,1.394
16,jabłka;kurczak,0.066,oliwa z oliwek,0.196,0.018,0.273,1.391
17,oliwa z oliwek;mleko,0.075,kurczak,0.192,0.020,0.267,1.389
18,chleb pełnoziarnisty;kurczak,0.076,makaron pełnoziarnisty,0.183,0.019,0.250,1.366
19,pomidory;kurczak,0.049,płatki owsiane,0.210,0.014,0.286,1.361
20,jogurt naturalny;kurczak,0.076,pomidory,0.196,0.020,0.263,1.343
21,jogurt naturalny;kurczak,0.076,oliwa z oliwek,0.196,0.020,0.263,1.343
22,jogurt naturalny;makaron pełnoziarnisty,0.057,pomidory,0.196,0.015,0.263,1.343
23,pomidory;jajka,0.070,makaron pełnoziarnisty,0.183,0.017,0.243,1.327
24,oliwa z oliwek;makaron pełnoziarnisty,0.036,płatki owsiane,0.210,0.010,0.278,1.323
25,pomidory;ryż brązowy,0.063,makaron pełnoziarnisty,0.183,0.015,0.238,1.301
26,oliwa z oliwek;ogórki,0.063,makaron pełnoziarnisty,0.183,0.015,0.238,1.301
27,oliwa z oliwek;jabłka,0.066,płatki owsiane,0.210,0.018,0.273,1.299
28,jajka;makaron pełnoziarnisty,0.067,pomidory,0.196,0.017,0.254,1.295
29,chleb pełnoziarnisty;makaron pełnoziarnisty,0.070,płatki owsiane,0.210,0.019,0.271,1.293
30,jogurt naturalny;makaron pełnoziarnisty,0.057,kurczak,0.192,0.014,0.246,1.279
31,oliwa z oliwek;chleb pełnoziarnisty,0.075,płatki owsiane,0.210,0.020,0.267,1.270
32,ogórki;makaron pełnoziarnisty,0.070,kurczak,0.192,0.017,0.243,1.265
