id,support,pattern
0,0.409,whole milk
1,0.045,hard cheese
2,0.003,organic products
3,0.002,decalcifier
4,0.007,skin care
5,0.037,beverages
6,0.002,cream
7,0.065,canned beer
8,0.199,root vegetables
9,0.005,syrup
10,0.044,frozen meals
11,0.004,snack products
12,0.005,nuts/prunes
13,0.098,bottled beer
14,0.007,abrasive cleaner
15,0.004,ready soups
16,0.021,packaged fruit/vegetables
17,0.107,brown bread
18,0.001,toilet cleaner
19,0.130,pip fruit
20,0.016,specialty cheese
21,0.004,tidbits
22,0.010,finished products
23,0.008,ketchup
24,0.028,red/blush wine
25,0.026,canned fish
26,0.049,butter milk
27,0.234,yogurt
28,0.020,canned vegetables
29,0.048,candy
30,0.004,pudding powder
31,0.011,dental care
32,0.005,bathroom cleaner
33,0.074,white bread
34,0.031,soft cheese
35,0.007,tea
36,0.010,jam
37,0.034,flour
38,0.021,seasonal products
39,0.000,sound storage medium
40,0.006,light bulbs
41,0.002,rubbing alcohol
42,0.039,misc. beverages
43,0.056,onions
44,0.019,salt
45,0.018,flower (seeds)
46,0.063,long life bakery product
47,0.004,specialty vegetables
48,0.028,dishes
49,0.059,hamburger meat
50,0.121,newspapers
51,0.333,other vegetables
52,0.014,frozen potato products
53,0.010,cereals
54,0.115,domestic eggs
55,0.022,white wine
56,0.105,margarine
57,0.138,pastry
58,0.184,tropical fruit
59,0.046,sliced cheese
60,0.004,cocoa drinks
61,0.015,turkey
62,0.005,potato products
63,0.019,roll products
64,0.000,preservation products
65,0.058,uht-milk
66,0.002,salad dressing
67,0.078,chocolate
68,0.041,specialty chocolate
69,0.004,fish
70,0.004,cooking chocolate
71,0.001,liqueur
72,0.005,brandy
73,0.008,curd cheese
74,0.008,sparkling wine
75,0.009,female sanitary products
76,0.012,liquor
77,0.094,curd
78,0.090,beef
79,0.126,whipped/sour cream
80,0.007,specialty fat
81,0.001,whisky
82,0.008,photo/film
83,0.036,specialty bar
84,0.025,potted plants
85,0.004,organic sausage
86,0.018,dish cleaner
87,0.166,shopping bags
88,0.012,liquor (appetizer)
89,0.016,sweet spreads
90,0.005,artif. sweetener
91,0.012,vinegar
92,0.003,cookware
93,0.033,baking powder
94,0.092,napkins
95,0.146,citrus fruit
96,0.039,grapes
97,0.000,baby food
98,0.006,canned fruit
99,0.064,dessert
100,0.020,cling film/bags
101,0.061,salty snack
102,0.098,frankfurter
103,0.002,flower soil/fertilizer
104,0.015,dog food
105,0.004,soap
106,0.010,zwieback
107,0.098,pork
108,0.073,chicken
109,0.000,bags
110,0.071,cream cheese
111,0.007,rum
112,0.020,spread cheese
113,0.018,condensed milk
114,0.153,sausage
115,0.059,berries
116,0.029,herbs
117,0.014,pet care
118,0.040,cat food
119,0.048,ham
120,0.014,house keeping products
121,0.063,waffles
122,0.003,honey
123,0.031,chewing gum
124,0.020,frozen fish
125,0.034,pickled vegetables
126,0.009,cleaner
127,0.009,softener
128,0.001,hair spray
129,0.084,frozen vegetables
130,0.057,hygiene articles
131,0.124,fruit/vegetable juice
132,0.030,processed cheese
133,0.009,liver loaf
134,0.023,cake bar
135,0.239,soda
136,0.015,rice
137,0.087,coffee
138,0.019,frozen dessert
139,0.259,rolls/buns
140,0.045,meat
141,0.001,make up remover
142,0.010,spices
143,0.005,nut snack
144,0.060,sugar
145,0.010,sauces
146,0.013,popcorn
147,0.168,bottled water
148,0.018,mayonnaise
149,0.014,candles
150,0.007,male cosmetics
151,0.001,frozen chicken
152,0.001,kitchen utensil
153,0.012,kitchen towels
154,0.014,instant food products
155,0.007,meat spreads
156,0.048,oil
157,0.022,mustard
158,0.033,ice cream
159,0.011,instant coffee
160,0.012,soups
161,0.002,frozen fruits
162,0.034,detergent
163,0.027,pasta
164,0.003,prosecco
165,0.001,baby cosmetics
166,0.014,chocolate marshmallow
167,0.028,semi-finished bread
168,0.102,butter
