id,basket
1,white bread;instant food;pet care;frozen vegetables;domestic eggs;baby food;detergent;bottled beer;tea;candy;cream cheese;pork;organic products;yogurt;chewing gum
2,yogurt;curd;pip fruit;rolls/buns;pet care;other vegetables;domestic eggs;sausage;white bread;chicken;frozen dessert;waffles;chewing gum;shopping bags
3,meat spreads;rolls/buns;pork;waffles;white bread;long life bakery product;candy;cream cheese;frozen fish;root vegetables;brown bread;curd;frozen dessert;tropical fruit
4,meat spreads;white bread;pip fruit;sausage;margarine;coffee;frozen dessert;other vegetables;ready soups;magazines;curd;yogurt;citrus fruit;bottled beer;fruit/vegetable juice;rolls/buns;shopping bags
5,chocolate;semi-finished bread;magazines;cream cheese;whole milk;organic products;chicken;pip fruit;long life bakery product;candy;meat spreads;frozen vegetables;tea;other vegetables
6,frozen meals;margarine;citrus fruit;cream cheese;brown bread;rolls/buns
7,bottled beer;baby food;rolls/buns;ice cream;pastry;chicken;margarine;detergent;white bread;citrus fruit;sugar;waffles;fruit/vegetable juice;liquor;chewing gum;other vegetables;beef;frozen dessert;newspapers
8,waffles;sausage;ice cream;fruit/vegetable juice;tea;organic products;whole milk;rolls/buns;beef;softener;bottled beer;white bread;semi-finished bread;margarine;butter
9,tropical fruit;bottled beer;baby food;soda;ready soups;margarine;magazines;chicken;frozen fish;newspapers;pastry;waffles;domestic eggs;coffee
10,frozen dessert;sugar;magazines;frozen vegetables;tropical fruit;softener;yogurt;baby food;instant food;other vegetables;fruit/vegetable juice;chocolate;chicken
11,instant food;chewing gum;brown bread;rolls/buns;detergent;pip fruit;soda;bottled beer;coffee;frozen dessert;fruit/vegetable juice
12,whole milk;long life bakery product;yogurt;frozen dessert;chicken;chocolate;tea;soda;beef;coffee;fruit/vegetable juice;waffles;ready soups
13,root vegetables;pet care;pastry;chocolate;detergent;tea;softener;shopping bags
14,softener;detergent;bottled beer;ready soups;frozen vegetables;frozen meals;shopping bags;chocolate;bottled water;baby food;sausage;ice cream;other vegetables
15,baby food;meat spreads;fruit/vegetable juice;tropical fruit;chocolate;pork;softener
16,other vegetables;magazines;pastry;brown bread;shopping bags;pip fruit;ice cream;frozen dessert
17,bottled water;frozen meals;pet care;frozen vegetables;butter;long life bakery product;white bread;ready soups;pastry;bottled beer;citrus fruit;whole milk;instant food;chocolate;waffles;pip fruit;chicken;semi-finished bread
18,liquor;frozen meals;citrus fruit;tropical fruit;ice cream;pet care;butter;white bread;pip fruit;candy;instant food;domestic eggs
19,frozen dessert;curd;white bread;bottled beer;pork;fruit/vegetable juice;beef;frozen fish;long life bakery product;shopping bags;magazines;tropical fruit;frozen meals;coffee
20,frozen dessert;shopping bags;chewing gum;tropical fruit;cream cheese;margarine;newspapers;frozen fish;domestic eggs;citrus fruit;coffee;softener
21,curd;softener;white bread;organic products;whole milk;beef;brown bread;yogurt;sausage
22,rolls/buns;domestic eggs;root vegetables;bottled water;pastry;magazines;frozen dessert;shopping bags;curd;whole milk;white bread;pet care
23,brown bread;bottled beer;cream cheese;waffles;frozen fish;rolls/buns;ice cream;meat spreads;root vegetables;pastry;other vegetables
24,white bread;ready soups;shopping bags;soda;fruit/vegetable juice;meat spreads;beef;instant food;chewing gum;candy;other vegetables;yogurt;frozen vegetables;tropical fruit
25,soda;brown bread;instant food;tropical fruit;meat spreads;sausage;pet care;semi-finished bread;cream cheese
26,yogurt;shopping bags;tea;baby food;detergent;frozen meals;meat spreads;pastry;newspapers;sugar;chicken
27,cream cheese;shopping bags;frozen fish;pip fruit;bottled beer;soda;whole milk;baby food;softener;pork;coffee;frozen meals;chewing gum;butter
28,ice cream;fruit/vegetable juice;detergent;butter;whole milk;waffles;chewing gum;brown bread;magazines;sausage;semi-finished bread;pip fruit;domestic eggs
29,chewing gum;pork;rolls/buns;fruit/vegetable juice;beef;ready soups;citrus fruit;root vegetables
