id,basket
1,curd;tropical fruit;candy;frozen fish;pastry;softener
2,frozen fish;softener;whole milk;frozen vegetables
3,pet care;pip fruit;frozen fish;semi-finished bread;margarine
4,citrus fruit;frozen meals;cream cheese;ice cream;white bread
5,ready soups;brown bread;white bread;meat spreads
6,long life bakery product;bottled beer;magazines;whole milk;curd;cream cheese
7,sugar;chewing gum;other vegetables;softener;frozen vegetables
8,liquor;chocolate;semi-finished bread;bottled water
9,liquor;bottled water;other vegetables;beef;instant food
10,magazines;long life bakery product;domestic eggs;rolls/buns
11,instant food;newspapers;frozen dessert;chewing gum;white bread
12,butter;bottled beer;root vegetables;bottled water
13,shopping bags;frozen meals;candy;ready soups
14,pastry;bottled beer;organic products;semi-finished bread
15,rolls/buns;other vegetables;butter;semi-finished bread;sugar
16,candy;bottled water;frozen vegetables;citrus fruit;fruit/vegetable juice
17,tropical fruit;chicken;curd;ice cream;root vegetables;coffee
18,frozen fish;waffles;bottled water;frozen dessert;margarine;newspapers;instant food
19,waffles;frozen dessert;pip fruit;organic products
20,tea;whole milk;liquor;waffles;frozen fish;newspapers
21,softener;cream cheese;ice cream;frozen dessert;candy;liquor
22,tea;meat spreads;domestic eggs;liquor
23,pork;frozen meals;long life bakery product;bottled beer
24,ready soups;pork;organic products
25,pet care;bottled water;meat spreads;instant food;long life bakery product;chicken
26,margarine;frozen vegetables;semi-finished bread;candy;chewing gum;ice cream
27,ice cream;waffles;bottled water;coffee;frozen dessert;citrus fruit;other vegetables
28,newspapers;tea;butter;instant food;sugar;soda
29,white bread;fruit/vegetable juice;baby food;organic products;softener
30,pastry;chewing gum;bottled beer;root vegetables;ice cream;curd
31,organic products;frozen fish;coffee;ready soups;cream cheese;yogurt;pork
32,yogurt;citrus fruit;newspapers;butter;frozen fish;cream cheese
33,long life bakery product;bottled beer;tropical fruit;pip fruit;waffles
34,frozen vegetables;candy;tea;organic products;meat spreads
35,pork;organic products;frozen fish;tropical fruit
36,yogurt;fruit/vegetable juice;liquor;semi-finished bread
37,shopping bags;pastry;candy;coffee
38,brown bread;frozen meals;candy
39,root vegetables;long life bakery product;bottled beer;organic products;candy
40,detergent;magazines;candy;semi-finished bread;coffee;tea;instant food
41,ice cream;ready soups;semi-finished bread;beef
42,bottled beer;bottled water;brown bread;sausage;frozen fish;chicken
43,candy;pork;tropical fruit;margarine;instant food;meat spreads
44,soda;detergent;domestic eggs;long life bakery product
45,white bread;frozen dessert;shopping bags;margarine
46,magazines;frozen dessert;fruit/vegetable juice;yogurt;baby food
47,domestic eggs;pet care;candy;rolls/buns
48,fruit/vegetable juice;softener;frozen vegetables;ready soups;sugar
49,curd;organic products;whole milk;sausage;tropical fruit;yogurt
50,beef;candy;organic products;yogurt;liquor
51,magazines;waffles;pet care;beef;tea;fruit/vegetable juice
52,root vegetables;sausage;pork;waffles;long life bakery product
53,pastry;soda;beef;chicken
54,shopping bags;whole milk;frozen meals;detergent;liquor
55,frozen vegetables;margarine;pork;long life bakery product;domestic eggs
56,waffles;citrus fruit;chicken;bottled beer;softener;margarine
57,curd;fruit/vegetable juice;candy;domestic eggs;semi-finished bread
58,candy;tropical fruit;other vegetables;frozen fish;rolls/buns
59,margarine;sausage;soda
60,yogurt;white bread;pastry;fruit/vegetable juice;butter
61,domestic eggs;liquor;semi-finished bread
62,tropical fruit;citrus fruit;frozen vegetables;bottled water
63,yogurt;semi-finished bread;root vegetables;candy;pastry
64,newspapers;sugar;pip fruit;root vegetables;coffee;citrus fruit;long life bakery product
65,newspapers;frozen meals;sausage;candy
66,rolls/buns;cream cheese;magazines;bottled water;chicken;margarine
67,pet care;curd;coffee;yogurt;waffles
68,shopping bags;pip fruit;tea;chocolate
69,brown bread;chewing gum;liquor;beef;bottled water;newspapers
70,domestic eggs;semi-finished bread;chicken;white bread
71,meat spreads;frozen fish;coffee;detergent
72,chocolate;shopping bags;frozen meals;frozen fish
73,frozen fish;brown bread;detergent;other vegetables
74,magazines;frozen vegetables;ice cream;meat spreads;bottled beer;baby food
75,domestic eggs;candy;magazines;chocolate;beef;pastry
76,ice cream;frozen vegetables;citrus fruit;chewing gum
77,tropical fruit;sugar;pip fruit;frozen vegetables
78,white bread;ready soups;pastry;organic products;detergent;sausage
79,frozen meals;curd;frozen vegetables;organic products;beef
80,softener;brown bread;pip fruit;tropical fruit;pastry
81,waffles;brown bread;curd;sugar;yogurt;whole milk
82,detergent;bottled beer;chicken;other vegetables;citrus fruit;newspapers
83,candy;organic products;detergent;softener
84,frozen dessert;soda;coffee;instant food;white bread;beef
85,brown bread;sausage;pork;chewing gum;waffles
86,domestic eggs;curd;margarine;pork;other vegetables
87,tropical fruit;cream cheese;meat spreads;beef
88,detergent;frozen fish;soda;frozen meals
89,butter;domestic eggs;yogurt;bottled water;detergent
90,newspapers;frozen dessert;tea;pip fruit;tropical fruit;chocolate
91,chewing gum;chocolate;beef;other vegetables
92,frozen meals;pip fruit;margarine;other vegetables
93,brown bread;ready soups;coffee;meat spreads;shopping bags
94,semi-finished bread;frozen dessert;white bread;bottled beer;magazines;ready soups
95,magazines;brown bread;semi-finished bread;detergent;candy
96,pip fruit;tea;root vegetables;frozen meals;magazines;tropical fruit
97,tea;citrus fruit;white bread;sugar;domestic eggs
98,ready soups;tropical fruit;softener;long life bakery product
99,ice cream;organic products;frozen fish;curd;soda
100,pet care;fruit/vegetable juice;organic products;chocolate
101,magazines;frozen dessert;waffles;coffee;instant food
102,ice cream;waffles;beef;candy;pip fruit;brown bread;margarine
103,waffles;bottled beer;brown bread;chicken;cream cheese;ice cream
104,tea;meat spreads;margarine;candy;whole milk;butter
105,butter;ready soups;domestic eggs;bottled beer
106,frozen dessert;frozen fish;ready soups;chewing gum
107,other vegetables;curd;domestic eggs;fruit/vegetable juice;chewing gum
108,chewing gum;beef;meat spreads;citrus fruit
109,pork;tropical fruit;softener;ice cream
110,meat spreads;newspapers;margarine;root vegetables;ready soups;candy
111,organic products;chicken;pip fruit;tropical fruit;yogurt;fruit/vegetable juice;margarine
112,pork;citrus fruit;brown bread;ice cream;root vegetables;rolls/buns
113,curd;chewing gum;bottled water;semi-finished bread;coffee;citrus fruit
