id,support,pattern
0,0.458,whole milk
1,0.053,hard cheese
2,0.003,organic products
3,0.005,skin care
4,0.062,beverages
5,0.003,cream
6,0.165,canned beer
7,0.231,root vegetables
8,0.005,syrup
9,0.063,frozen meals
10,0.007,snack products
11,0.008,nuts/prunes
12,0.159,bottled beer
13,0.006,abrasive cleaner
14,0.004,ready soups
15,0.136,brown bread
16,0.032,packaged fruit/vegetables
17,0.171,pip fruit
18,0.018,specialty cheese
19,0.006,tidbits
20,0.016,finished products
21,0.008,ketchup
22,0.040,red/blush wine
23,0.030,canned fish
24,0.065,butter milk
25,0.283,yogurt
26,0.021,canned vegetables
27,0.054,candy
28,0.004,pudding powder
29,0.008,dental care
30,0.004,bathroom cleaner
31,0.089,white bread
32,0.038,soft cheese
33,0.007,tea
34,0.009,jam
35,0.036,flour
36,0.026,seasonal products
37,0.007,light bulbs
38,0.059,misc. beverages
39,0.076,onions
40,0.023,salt
41,0.017,flower (seeds)
42,0.065,long life bakery product
43,0.003,specialty vegetables
44,0.034,dishes
45,0.080,hamburger meat
46,0.140,newspapers
47,0.377,other vegetables
48,0.018,frozen potato products
49,0.133,domestic eggs
50,0.011,cereals
51,0.044,white wine
52,0.117,margarine
53,0.052,sliced cheese
54,0.234,tropical fruit
55,0.178,pastry
56,0.004,cocoa drinks
57,0.020,turkey
58,0.021,roll products
59,0.006,potato products
60,0.079,uht-milk
61,0.058,specialty chocolate
62,0.086,chocolate
63,0.007,fish
64,0.004,cooking chocolate
65,0.010,brandy
66,0.012,curd cheese
67,0.012,sparkling wine
68,0.010,female sanitary products
69,0.030,pot plants
70,0.026,liquor
71,0.120,beef
72,0.121,curd
73,0.155,whipped/sour cream
74,0.007,specialty fat
75,0.020,photo/film
76,0.053,specialty bar
77,0.006,organic sausage
78,0.019,dish cleaner
79,0.168,shopping bags
80,0.017,liquor (appetizer)
81,0.017,sweet spreads
82,0.007,artif. sweetener
83,0.013,vinegar
84,0.004,cookware
85,0.031,baking powder
86,0.081,napkins
87,0.055,grapes
88,0.185,citrus fruit
89,0.005,canned fruit
90,0.086,dessert
91,0.019,cling film/bags
92,0.069,salty snack
93,0.138,frankfurter
94,0.004,flower soil/fertilizer
95,0.017,dog food
96,0.005,soap
97,0.015,zwieback
98,0.101,chicken
99,0.132,pork
100,0.089,cream cheese
101,0.008,rum
102,0.025,spread cheese
103,0.080,berries
104,0.206,sausage
105,0.024,condensed milk
106,0.039,herbs
107,0.022,pet care
108,0.063,ham
109,0.044,cat food
110,0.012,house keeping products
111,0.069,waffles
112,0.003,honey
113,0.045,chewing gum
114,0.026,frozen fish
115,0.033,pickled vegetables
116,0.008,cleaner
117,0.011,softener
118,0.103,frozen vegetables
119,0.052,hygiene articles
120,0.125,fruit/vegetable juice
121,0.038,processed cheese
122,0.012,liver loaf
123,0.023,cake bar
124,0.313,soda
125,0.013,rice
126,0.115,coffee
127,0.023,frozen dessert
128,0.350,rolls/buns
129,0.064,meat
130,0.010,spices
131,0.006,nut snack
132,0.066,sugar
133,0.011,sauces
134,0.012,popcorn
135,0.214,bottled water
136,0.019,mayonnaise
137,0.017,candles
138,0.009,male cosmetics
139,0.008,kitchen towels
140,0.015,instant food products
141,0.056,oil
142,0.009,meat spreads
143,0.023,mustard
144,0.056,ice cream
145,0.015,instant coffee
146,0.003,frozen fruits
147,0.012,soups
148,0.033,detergent
149,0.030,pasta
150,0.005,prosecco
151,0.015,chocolate marshmallow
152,0.126,butter
153,0.036,semi-finished bread
154,0.004,cream cheese;semi-finished bread
155,0.006,newspapers;red/blush wine
156,0.006,hamburger meat;napkins
157,0.018,butter;coffee
158,0.007,chicken;specialty chocolate
159,0.003,other vegetables;rum
160,0.045,bottled water;citrus fruit
161,0.018,red/blush wine;rolls/buns
162,0.031,other vegetables;waffles
163,0.006,canned fish;pastry
164,0.004,frozen potato products;tropical fruit
165,0.006,butter;pickled vegetables
166,0.015,canned beer;meat
167,0.007,frankfurter;processed cheese
168,0.003,frozen fish;margarine
169,0.011,frankfurter;sugar
170,0.004,beverages;long life bakery product
171,0.003,house keeping products;root vegetables
172,0.003,coffee;frozen dessert
173,0.003,pork;sweet spreads
174,0.005,domestic eggs;pickled vegetables
175,0.009,misc. beverages;shopping bags
176,0.012,hard cheese;shopping bags
177,0.025,beef;pip fruit
178,0.005,brown bread;semi-finished bread
179,0.009,specialty cheese;whole milk
180,0.006,soda;specialty cheese
181,0.003,canned vegetables;margarine
182,0.004,dishes;uht-milk
183,0.005,brown bread;pet care
184,0.026,butter;pastry
185,0.008,berries;napkins
186,0.016,butter milk;tropical fruit
187,0.012,canned fish;other vegetables
188,0.006,specialty bar;white bread
189,0.016,berries;fruit/vegetable juice
