id,basket
1,soda;canned beer;sausage;sausage;whole milk;whole milk;pickled vegetables;misc. beverages;semi-finished bread;hygiene articles;yogurt;pastry;salty snack
2,frankfurter;frankfurter;beef;sausage;whole milk;soda;curd;white bread;whole milk;soda;whipped/sour cream;rolls/buns
3,tropical fruit;butter milk;butter;frozen vegetables;sugar;specialty chocolate;whole milk;other vegetables
4,sausage;root vegetables;rolls/buns;detergent;frozen meals;rolls/buns;dental care;rolls/buns
5,other vegetables;pip fruit;root vegetables;canned beer;rolls/buns;whole milk;other vegetables;hygiene articles;whole milk;whole milk;frozen fish;red/blush wine;chocolate;shopping bags;dish cleaner;packaged fruit/vegetables;tropical fruit;rolls/buns;cling film/bags;chocolate;pastry
6,whipped/sour cream;rolls/buns;margarine;rolls/buns
7,whole milk;frankfurter;chicken;frankfurter;whole milk;bottled water;flour;chocolate;bottled beer;rolls/buns;rice;softener;shopping bags;rolls/buns;skin care
8,hamburger meat;tropical fruit;soda;liquor (appetizer);yogurt;liver loaf;root vegetables;yogurt;dessert;domestic eggs;white wine;photo/film
9,herbs;pastry;tropical fruit;yogurt;ketchup;yogurt;canned fish;newspapers;cocoa drinks
10,pip fruit;frankfurter;pip fruit;bottled water;candles;bottled water;coffee;specialty bar;kitchen towels;rolls/buns;UHT-milk;sliced cheese
11,whole milk;frankfurter;candles;citrus fruit;curd cheese;grapes;herbs;other vegetables;candy;pastry;bottled water;yogurt;rolls/buns
12,frankfurter;processed cheese;tropical fruit;root vegetables;yogurt;whole milk;rolls/buns;onions;frozen vegetables;shopping bags;brown bread
13,frozen meals;white bread;meat;whole milk;tropical fruit;mustard;hard cheese;root vegetables;other vegetables;whole milk;domestic eggs;roll products ;candy;frozen vegetables;whipped/sour cream;napkins;mayonnaise;mustard;bottled water
14,whole milk;canned beer;sausage;hamburger meat;whole milk;bottled beer;cookware;yogurt;butter milk;rolls/buns
15,citrus fruit;salty snack;fruit/vegetable juice;whole milk;beef;rolls/buns;chocolate
16,UHT-milk;soft cheese;rolls/buns;chicken;frankfurter;bottled beer;pip fruit;oil;red/blush wine;pip fruit;mayonnaise
17,soda;other vegetables;yogurt;other vegetables;dessert;rolls/buns;beef;root vegetables;brown bread;shopping bags;pet care
18,butter milk;curd;berries;beverages;root vegetables;long life bakery product;cake bar;domestic eggs
19,hamburger meat;red/blush wine
20,canned beer;canned beer;frozen meals;spices;rolls/buns;shopping bags;butter;frozen fish;newspapers;yogurt
21,rolls/buns;liquor;curd;sliced cheese;baking powder;yogurt;tropical fruit;butter
22,sausage;beef;whole milk;fruit/vegetable juice;napkins;whipped/sour cream
23,white bread;whipped/sour cream;bottled beer;root vegetables;sausage;domestic eggs;chicken;male cosmetics;yogurt;rolls/buns;berries;packaged fruit/vegetables;whipped/sour cream;soda;frozen meals;curd;specialty bar
24,fish;root vegetables;tropical fruit;other vegetables
25,canned beer;ham;coffee;UHT-milk;cream cheese ;shopping bags
26,fruit/vegetable juice;root vegetables;salty snack;whipped/sour cream;citrus fruit;sausage;root vegetables;candy;root vegetables;dental care;canned beer;yogurt;dessert;long life bakery product;rolls/buns;butter;pickled vegetables
27,pork;rolls/buns;softener;hamburger meat;red/blush wine;salt;rolls/buns;whole milk;bottled water
28,specialty chocolate;onions;soda;rolls/buns;rolls/buns;root vegetables;canned beer;butter;baking powder;sugar;onions;flower (seeds);bottled water
29,dessert;ham
30,beverages;other vegetables;ice cream;cream cheese ;other vegetables;pot plants;berries
31,berries;yogurt;ice cream;soda;butter;white bread;whipped/sour cream;other vegetables;root vegetables;whipped/sour cream;white bread;cream cheese ;whole milk;newspapers;pastry;shopping bags
32,tropical fruit;chicken;sausage;frankfurter;fruit/vegetable juice;soda;waffles;snack products;pastry;dessert;rolls/buns;rolls/buns
33,pip fruit;bottled water;tropical fruit;cling film/bags;domestic eggs;newspapers;yogurt;cat food;frozen meals
34,whole milk;whole milk;sausage;yogurt;pip fruit;whole milk;newspapers;yogurt;frozen vegetables;rolls/buns;white wine;frozen vegetables;white bread;salt
35,fruit/vegetable juice;vinegar
36,frankfurter;citrus fruit;tropical fruit;yogurt;shopping bags;white bread;rolls/buns;chewing gum;cake bar;canned beer
37,other vegetables;pip fruit;whole milk;sausage;Instant food products;pork;margarine;whipped/sour cream;specialty chocolate;herbs;pip fruit;butter;butter;whole milk;napkins;cake bar;whipped/sour cream;frozen meals;fruit/vegetable juice
38,salty snack;rolls/buns
39,tropical fruit;chicken;yogurt;whole milk;root vegetables;onions;packaged fruit/vegetables;rolls/buns;pasta;white bread;rolls/buns
40,hamburger meat;chicken;tropical fruit;prosecco;yogurt;frozen vegetables;brown bread;dessert;candy;whole milk
41,beef;citrus fruit;whole milk;dessert;bottled water;other vegetables
42,citrus fruit;tropical fruit;napkins;rolls/buns;sliced cheese;whole milk;whole milk;chocolate marshmallow
43,tropical fruit;root vegetables;other vegetables;curd
44,chicken;fruit/vegetable juice;root vegetables;onions;specialty chocolate;yogurt;butter;yogurt;Instant food products
45,whole milk;pork;pastry;bottled water
46,sweet spreads;curd;pip fruit;butter;soda;soda
47,rolls/buns;rolls/buns;condensed milk;tropical fruit;whole milk;soda
48,butter;frankfurter;white bread;specialty bar;whole milk;herbs;candy;margarine
49,meat;UHT-milk;whipped/sour cream;house keeping products;pasta;waffles;whole milk;other vegetables;hygiene articles;yogurt;yogurt;beverages;dishes;cat food
50,fish;tropical fruit;other vegetables;tropical fruit;other vegetables;pork;hamburger meat;soda;red/blush wine;hamburger meat;rolls/buns;cream cheese ;popcorn;coffee;bottled beer;dishes;shopping bags;frozen vegetables;female sanitary products;shopping bags
51,butter milk;pork;frankfurter;other vegetables;yogurt;butter;bottled water;chicken;soda;soda;beef;root vegetables;yogurt;yogurt;whipped/sour cream;shopping bags;margarine;dog food;chewing gum;beverages;hamburger meat;whole milk;shopping bags;grapes;coffee;soft cheese;detergent
52,hamburger meat;chicken;waffles;soda;whole milk;other vegetables;pastry;frozen vegetables;rolls/buns;soda;sugar;whole milk
53,frankfurter;photo/film;bottled beer;citrus fruit;other vegetables;oil;margarine;soda;fruit/vegetable juice
54,bottled water;yogurt;pork;newspapers;soda;white wine
55,pip fruit;whipped/sour cream;ham;other vegetables;meat spreads;whole milk
56,soda;tropical fruit;domestic eggs;UHT-milk;salty snack;sliced cheese;soda;pickled vegetables
57,root vegetables;sausage;yogurt;chicken;other vegetables;bottled water;root vegetables;other vegetables
