id,support,pattern
0,0.241,whole milk
1,0.020,hard cheese
2,0.001,organic products
3,0.001,decalcifier
4,0.003,skin care
5,0.025,beverages
6,0.078,canned beer
7,0.097,root vegetables
8,0.003,syrup
9,0.025,frozen meals
10,0.003,snack products
11,0.003,nuts/prunes
12,0.078,bottled beer
13,0.003,abrasive cleaner
14,0.001,ready soups
15,0.012,packaged fruit/vegetables
16,0.060,brown bread
17,0.067,pip fruit
18,0.007,specialty cheese
19,0.002,tidbits
20,0.005,finished products
21,0.003,ketchup
22,0.018,red/blush wine
23,0.012,canned fish
24,0.024,butter milk
25,0.126,yogurt
26,0.009,canned vegetables
27,0.026,candy
28,0.002,pudding powder
29,0.005,dental care
30,0.002,bathroom cleaner
31,0.036,white bread
32,0.013,soft cheese
33,0.004,tea
34,0.004,jam
35,0.015,flour
36,0.013,seasonal products
37,0.004,light bulbs
38,0.026,misc. beverages
39,0.009,salt
40,0.026,onions
41,0.010,flower (seeds)
42,0.033,long life bakery product
43,0.001,specialty vegetables
44,0.017,dishes
45,0.029,hamburger meat
46,0.077,newspapers
47,0.177,other vegetables
48,0.007,frozen potato products
49,0.004,cereals
50,0.055,domestic eggs
51,0.019,white wine
52,0.053,margarine
53,0.094,tropical fruit
54,0.081,pastry
55,0.020,sliced cheese
56,0.002,cocoa drinks
57,0.006,turkey
58,0.002,potato products
59,0.008,roll products
60,0.032,uht-milk
61,0.043,chocolate
62,0.028,specialty chocolate
63,0.003,fish
64,0.002,cooking chocolate
65,0.004,brandy
66,0.004,curd cheese
67,0.005,sparkling wine
68,0.005,female sanitary products
69,0.011,liquor
70,0.048,curd
71,0.046,beef
72,0.062,whipped/sour cream
73,0.003,specialty fat
74,0.009,photo/film
75,0.016,potted plants
76,0.025,specialty bar
77,0.002,organic sausage
78,0.009,dish cleaner
79,0.094,shopping bags
80,0.007,liquor (appetizer)
81,0.008,sweet spreads
82,0.003,artif. sweetener
83,0.006,vinegar
84,0.002,cookware
85,0.014,baking powder
86,0.046,napkins
87,0.075,citrus fruit
88,0.019,grapes
89,0.003,canned fruit
90,0.032,dessert
91,0.010,cling film/bags
92,0.033,salty snack
93,0.055,frankfurter
94,0.002,flower soil/fertilizer
95,0.008,dog food
96,0.002,soap
97,0.007,zwieback
98,0.037,chicken
99,0.053,pork
100,0.035,cream cheese
101,0.004,rum
102,0.010,spread cheese
103,0.009,condensed milk
104,0.087,sausage
105,0.029,berries
106,0.014,herbs
107,0.009,pet care
108,0.020,cat food
109,0.022,ham
110,0.007,house keeping products
111,0.034,waffles
112,0.001,honey
113,0.021,chewing gum
114,0.010,frozen fish
115,0.015,pickled vegetables
116,0.005,softener
117,0.004,cleaner
118,0.001,hair spray
119,0.041,frozen vegetables
120,0.029,hygiene articles
121,0.064,fruit/vegetable juice
122,0.014,processed cheese
123,0.004,liver loaf
124,0.011,cake bar
125,0.005,rice
126,0.167,soda
127,0.053,coffee
128,0.009,frozen dessert
129,0.179,rolls/buns
130,0.024,meat
131,0.004,spices
132,0.003,nut snack
133,0.030,sugar
134,0.005,sauces
135,0.006,popcorn
136,0.105,bottled water
137,0.007,mayonnaise
138,0.008,candles
139,0.004,male cosmetics
140,0.005,kitchen towels
141,0.007,instant food products
142,0.004,meat spreads
143,0.024,oil
144,0.010,mustard
145,0.023,ice cream
146,0.005,soups
147,0.007,instant coffee
148,0.017,detergent
149,0.013,pasta
150,0.002,prosecco
151,0.008,chocolate marshmallow
152,0.015,semi-finished bread
153,0.047,butter
154,0.002,newspapers;red/blush wine
155,0.007,brown bread;bottled water
156,0.001,pastry;misc. beverages
157,0.003,pip fruit;berries
158,0.002,hamburger meat;napkins
159,0.003,butter;coffee
160,0.001,domestic eggs;chocolate marshmallow
161,0.002,shopping bags;hard cheese
162,0.002,pet care;other vegetables
163,0.001,other vegetables;rum
164,0.007,other vegetables;waffles
165,0.002,white wine;sausage
166,0.001,canned fish;pastry
167,0.001,canned beer;meat
168,0.002,frozen fish;margarine
169,0.002,frankfurter;sugar
170,0.001,beverages;long life bakery product
171,0.002,domestic eggs;pickled vegetables
172,0.003,beef;pip fruit
173,0.001,frozen vegetables;canned beer
174,0.003,sausage;oil
175,0.001,brown bread;semi-finished bread
176,0.004,yogurt;cat food
177,0.001,citrus fruit;candles
178,0.003,specialty cheese;whole milk
179,0.001,shopping bags;dishes
180,0.001,pip fruit;candy
181,0.003,pip fruit;hygiene articles
182,0.002,oil;coffee
183,0.004,yogurt;canned beer
184,0.002,pip fruit;meat
185,0.004,butter milk;tropical fruit
186,0.003,canned fish;other vegetables
187,0.002,waffles;napkins
188,0.001,condensed milk;fruit/vegetable juice
189,0.005,white bread;rolls/buns
190,0.022,yogurt;soda
191,0.003,ham;bottled water
192,0.001,detergent;coffee
193,0.005,yogurt;sliced cheese
194,0.002,flour;bottled water
195,0.001,frozen vegetables;sliced cheese
196,0.003,margarine;cream cheese
197,0.003,other vegetables;specialty cheese
198,0.006,frozen vegetables;soda
199,0.003,domestic eggs;coffee
200,0.001,processed cheese;margarine
201,0.001,liquor;other vegetables
202,0.002,ice cream;bottled water
203,0.001,white bread;salty snack
204,0.001,white wine;chicken
205,0.001,yogurt;cake bar
206,0.003,waffles;fruit/vegetable juice
207,0.001,curd;beverages
208,0.002,root vegetables;sweet spreads
209,0.001,tropical fruit;candles
210,0.001,abrasive cleaner;whole milk
211,0.001,pickled vegetables;margarine
212,0.001,mustard;newspapers
213,0.004,pastry;sugar
214,0.011,sausage;root vegetables
215,0.002,salty snack;coffee
216,0.001,curd cheese;tropical fruit
217,0.001,soft cheese;whipped/sour cream
218,0.003,cat food;tropical fruit
219,0.002,candy;butter
220,0.001,rolls/buns;spices
221,0.001,salty snack;grapes
222,0.001,dish cleaner;napkins
223,0.003,long life bakery product;bottled water
224,0.001,roll products;whipped/sour cream
225,0.003,chocolate;whipped/sour cream
226,0.001,liquor (appetizer);whole milk
227,0.001,beverages;butter milk
228,0.001,frozen vegetables;baking powder
229,0.004,hygiene articles;bottled water
230,0.001,frozen vegetables;frozen fish
231,0.001,salt;newspapers
232,0.007,newspapers;margarine
233,0.002,sugar;oil
234,0.002,curd;uht-milk
235,0.002,bottled beer;meat
236,0.016,other vegetables;newspapers
237,0.009,pastry;tropical fruit
238,0.003,fruit/vegetable juice;meat
239,0.002,beef;meat
240,0.001,dishes;sausage
241,0.034,yogurt;other vegetables
242,0.009,napkins;soda
243,0.001,domestic eggs;grapes
244,0.003,hygiene articles;newspapers
245,0.001,potted plants;whipped/sour cream
246,0.002,sliced cheese;whipped/sour cream
247,0.020,other vegetables;bottled water
248,0.005,onions;rolls/buns
249,0.002,frozen vegetables;pickled vegetables
250,0.002,sausage;mustard
251,0.002,fruit/vegetable juice;berries
252,0.003,napkins;butter
253,0.001,pastry;spread cheese
254,0.003,frozen vegetables;pastry
255,0.002,waffles;cream cheese
256,0.002,hard cheese;tropical fruit
257,0.002,instant coffee;rolls/buns
258,0.002,shopping bags;herbs
259,0.002,hamburger meat;fruit/vegetable juice
260,0.001,yogurt;roll products
261,0.002,flower (seeds);root vegetables
262,0.004,shopping bags;frozen meals
263,0.002,chicken;meat
264,0.003,beef;berries
265,0.001,canned vegetables;citrus fruit
266,0.001,uht-milk;hamburger meat
267,0.003,yogurt;grapes
268,0.005,tropical fruit;hygiene articles
269,0.002,onions;napkins
270,0.001,beef;ham
271,0.002,spread cheese;whole milk
272,0.001,shopping bags;mustard
273,0.001,whipped/sour cream;chewing gum
274,0.001,packaged fruit/vegetables;citrus fruit
275,0.002,curd;sugar
276,0.003,whipped/sour cream;salty snack
277,0.005,pip fruit;bottled beer
278,0.002,canned beer;hygiene articles
279,0.002,beef;hygiene articles
280,0.003,yogurt;pickled vegetables
281,0.002,canned beer;frankfurter
282,0.001,uht-milk;butter
283,0.003,newspapers;dessert
284,0.005,shopping bags;cream cheese
285,0.003,shopping bags;onions
286,0.001,uht-milk;chocolate
287,0.001,margarine;herbs
288,0.001,brown bread;waffles
289,0.001,domestic eggs;ice cream
290,0.003,domestic eggs;oil
291,0.008,butter;root vegetables
292,0.007,yogurt;coffee
293,0.003,newspapers;salty snack
294,0.001,roll products;bottled beer
295,0.005,tropical fruit;berries
296,0.003,yogurt;baking powder
297,0.001,chicken;pasta
298,0.001,flour;sausage
299,0.003,white bread;dessert
300,0.001,beverages;cream cheese
301,0.004,onions;citrus fruit
302,0.002,bottled beer;specialty chocolate
303,0.002,potted plants;tropical fruit
304,0.003,tropical fruit;meat
305,0.003,long life bakery product;chocolate
306,0.001,flour;newspapers
307,0.001,baking powder;cream cheese
308,0.002,cake bar;dessert
309,0.002,citrus fruit;ham
310,0.003,onions;fruit/vegetable juice
311,0.002,citrus fruit;candy
312,0.002,sugar;cream cheese
313,0.003,oil;soda
314,0.004,white wine;bottled water
315,0.003,brown bread;chicken
316,0.003,cereals;whole milk
317,0.001,processed cheese;brown bread
318,0.010,yogurt;butter
319,0.001,salt;soda
320,0.001,salty snack;oil
321,0.002,beverages;fruit/vegetable juice
322,0.001,yogurt;photo/film
323,0.002,long life bakery product;chicken
324,0.002,frozen fish;rolls/buns
325,0.002,liquor;soda
326,0.003,beef;frankfurter
327,0.001,roll products;tropical fruit
328,0.001,pip fruit;pasta
329,0.004,tropical fruit;ham
330,0.016,citrus fruit;tropical fruit
331,0.003,sausage;pickled vegetables
332,0.002,white bread;long life bakery product
333,0.005,whipped/sour cream;napkins
334,0.002,potted plants;shopping bags
335,0.001,chocolate;berries
336,0.006,candy;soda
337,0.003,cream cheese;butter
338,0.005,whipped/sour cream;margarine
339,0.003,other vegetables;semi-finished bread
340,0.003,margarine;oil
341,0.009,domestic eggs;soda
342,0.001,pip fruit;specialty chocolate
343,0.001,cat food;sugar
344,0.002,canned fish;soda
345,0.024,pip fruit;whole milk
346,0.006,shopping bags;napkins
347,0.002,sliced cheese;pip fruit
348,0.001,chocolate;hygiene articles
349,0.001,domestic eggs;mustard
350,0.007,hamburger meat;rolls/buns
351,0.001,flour;chicken
352,0.005,pip fruit;frankfurter
353,0.003,frozen vegetables;coffee
354,0.003,pickled vegetables;rolls/buns
355,0.007,brown bread;newspapers
356,0.001,hard cheese;sugar
357,0.004,napkins;newspapers
358,0.001,canned vegetables;domestic eggs
359,0.003,shopping bags;butter milk
360,0.001,canned beer;specialty chocolate
361,0.004,other vegetables;frozen fish
362,0.005,pickled vegetables;whole milk
363,0.001,beverages;napkins
364,0.008,curd;tropical fruit
365,0.001,turkey;tropical fruit
366,0.002,yogurt;white wine
367,0.003,frozen meals;pip fruit
368,0.010,shopping bags;root vegetables
369,0.009,shopping bags;fruit/vegetable juice
370,0.001,sausage;ice cream
371,0.004,beef;shopping bags
372,0.003,beef;bottled beer
373,0.004,beef;whipped/sour cream
374,0.001,potted plants;bottled beer
375,0.001,pip fruit;sweet spreads
376,0.002,hygiene articles;butter
377,0.003,shopping bags;liquor
378,0.001,soft cheese;pip fruit
379,0.004,sugar;coffee
380,0.002,bottled beer;ham
381,0.005,sausage;coffee
382,0.007,napkins;bottled water
383,0.002,uht-milk;waffles
384,0.003,uht-milk;sausage
385,0.004,oil;root vegetables
386,0.001,frozen vegetables;oil
387,0.003,bottled water;red/blush wine
388,0.005,yogurt;onions
389,0.004,bottled beer;frankfurter
390,0.002,sausage;grapes
391,0.004,rolls/buns;misc. beverages
392,0.002,pip fruit;ham
393,0.007,waffles;rolls/buns
394,0.001,shopping bags;finished products
395,0.006,curd;sausage
396,0.001,yogurt;condensed milk
397,0.004,whipped/sour cream;cream cheese
398,0.002,whipped/sour cream;herbs
399,0.002,chicken;berries
400,0.002,canned vegetables;rolls/buns
401,0.002,brown bread;chocolate
402,0.001,canned fish;canned beer
403,0.003,long life bakery product;newspapers
404,0.002,packaged fruit/vegetables;rolls/buns
405,0.003,whipped/sour cream;onions
406,0.002,ham;butter
407,0.001,rolls/buns;cling film/bags
408,0.001,popcorn;shopping bags
409,0.001,white bread;flour
410,0.001,napkins;baking powder
411,0.003,white bread;citrus fruit
412,0.002,margarine;salty snack
413,0.005,berries;root vegetables
414,0.007,domestic eggs;butter
415,0.003,chocolate;frankfurter
416,0.002,shopping bags;cake bar
417,0.001,cream cheese;spread cheese
418,0.017,shopping bags;rolls/buns
419,0.005,soft cheese;whole milk
420,0.007,rolls/buns;chicken
421,0.001,salt;sausage
422,0.001,frozen vegetables;hard cheese
423,0.013,whipped/sour cream;root vegetables
424,0.001,yogurt;mustard
425,0.003,margarine;coffee
426,0.001,yogurt;female sanitary products
427,0.011,shopping bags;canned beer
428,0.001,processed cheese;frankfurter
429,0.030,bottled water;whole milk
430,0.001,soups;root vegetables
431,0.002,hamburger meat;margarine
432,0.002,salty snack;cream cheese
433,0.006,other vegetables;grapes
434,0.003,citrus fruit;sugar
435,0.002,shopping bags;grapes
436,0.002,hard cheese;ham
437,0.015,whole milk;coffee
438,0.002,pork;meat
439,0.003,grapes;root vegetables
440,0.001,condensed milk;citrus fruit
441,0.002,bottled water;pasta
442,0.007,onions;root vegetables
443,0.001,margarine;red/blush wine
444,0.002,white bread;specialty bar
445,0.002,uht-milk;canned beer
446,0.006,hygiene articles;soda
447,0.001,fruit/vegetable juice;cling film/bags
448,0.005,bottled water;cream cheese
449,0.001,soft cheese;domestic eggs
450,0.001,flour;baking powder
451,0.001,soft cheese;tropical fruit
452,0.004,domestic eggs;napkins
453,0.001,beverages;dessert
454,0.020,shopping bags;other vegetables
455,0.002,citrus fruit;specialty chocolate
456,0.020,fruit/vegetable juice;whole milk
457,0.002,coffee;meat
458,0.002,shopping bags;detergent
459,0.006,beef;pork
460,0.009,yogurt;frozen vegetables
461,0.001,instant food products;pastry
462,0.001,cat food;bottled beer
463,0.003,curd;frozen vegetables
464,0.013,white bread;whole milk
465,0.003,white bread;brown bread
466,0.001,newspapers;dog food
467,0.002,fruit/vegetable juice;pasta
468,0.004,frozen fish;whole milk
469,0.002,beverages;root vegetables
470,0.002,yogurt;specialty cheese
471,0.002,pastry;candles
472,0.001,white wine;newspapers
473,0.001,pip fruit;specialty bar
474,0.002,frozen vegetables;onions
475,0.002,dog food;soda
476,0.001,hard cheese;meat
477,0.005,white bread;fruit/vegetable juice
478,0.005,citrus fruit;frankfurter
479,0.008,other vegetables;canned beer
480,0.002,detergent;butter
481,0.002,chocolate;specialty chocolate
482,0.004,beef;domestic eggs
483,0.004,white bread;domestic eggs
484,0.001,domestic eggs;herbs
485,0.003,waffles;salty snack
486,0.001,dishes;newspapers
487,0.007,uht-milk;other vegetables
488,0.002,processed cheese;fruit/vegetable juice
489,0.001,finished products;other vegetables
490,0.001,hamburger meat;salty snack
491,0.021,sausage;soda
492,0.005,rolls/buns;berries
493,0.021,other vegetables;sausage
494,0.002,canned beer;tropical fruit
495,0.008,frozen vegetables;root vegetables
496,0.003,canned vegetables;whole milk
497,0.005,semi-finished bread;whole milk
498,0.001,curd;semi-finished bread
499,0.002,bottled beer;misc. beverages
500,0.002,candy;coffee
501,0.015,pip fruit;tropical fruit
502,0.019,yogurt;root vegetables
503,0.002,brown bread;grapes
504,0.002,canned beer;dessert
505,0.001,onions;oil
506,0.003,packaged fruit/vegetables;whole milk
507,0.008,citrus fruit;domestic eggs
508,0.001,shopping bags;condensed milk
509,0.001,long life bakery product;sugar
510,0.002,condensed milk;soda
511,0.002,domestic eggs;waffles
512,0.001,canned vegetables;fruit/vegetable juice
513,0.010,shopping bags;pastry
514,0.001,grapes;oil
515,0.001,pork;ham
516,0.001,long life bakery product;misc. beverages
517,0.005,other vegetables;baking powder
518,0.008,shopping bags;citrus fruit
519,0.001,canned fish;napkins
520,0.001,onions;dishes
521,0.002,frankfurter;chicken
522,0.003,frozen vegetables;frozen meals
523,0.001,curd;chocolate
524,0.005,long life bakery product;soda
525,0.003,citrus fruit;meat
526,0.002,tropical fruit;specialty bar
527,0.002,tropical fruit;frozen dessert
528,0.002,curd;hamburger meat
529,0.008,canned beer;whole milk
530,0.003,pip fruit;dessert
531,0.001,rolls/buns;candles
532,0.003,shopping bags;seasonal products
533,0.002,sausage;cake bar
534,0.001,tea;other vegetables
535,0.002,beverages;citrus fruit
536,0.002,ice cream;newspapers
537,0.001,citrus fruit;cling film/bags
538,0.003,seasonal products;whole milk
539,0.003,pastry;ham
540,0.002,chocolate;misc. beverages
541,0.003,pastry;hygiene articles
542,0.001,beverages;specialty bar
543,0.002,hard cheese;frankfurter
544,0.034,whole milk;soda
545,0.001,salt;bottled water
546,0.003,whipped/sour cream;dessert
547,0.003,pork;sugar
548,0.019,yogurt;bottled water
549,0.034,tropical fruit;whole milk
550,0.002,condensed milk;rolls/buns
551,0.001,candy;oil
552,0.003,waffles;margarine
553,0.002,curd;misc. beverages
554,0.001,chocolate;sugar
555,0.001,shopping bags;frozen fish
556,0.001,photo/film;soda
557,0.001,canned beer;specialty bar
558,0.001,instant food products;root vegetables
559,0.005,yogurt;waffles
560,0.003,pastry;chicken
561,0.003,citrus fruit;hygiene articles
562,0.006,pip fruit;whipped/sour cream
563,0.001,ham;coffee
564,0.002,ham;newspapers
565,0.002,pastry;meat
566,0.003,yogurt;ice cream
567,0.003,beverages;pastry
568,0.001,beverages;domestic eggs
569,0.009,brown bread;sausage
570,0.001,frozen meals;whipped/sour cream
571,0.003,soups;whole milk
572,0.022,rolls/buns;bottled water
573,0.001,beef;packaged fruit/vegetables
574,0.001,condensed milk;root vegetables
575,0.006,herbs;whole milk
576,0.006,beverages;whole milk
577,0.002,hamburger meat;canned beer
578,0.001,canned fish;bottled water
579,0.001,specialty chocolate;napkins
580,0.001,domestic eggs;frozen fish
581,0.002,salt;root vegetables
582,0.005,whipped/sour cream;pastry
583,0.007,whipped/sour cream;domestic eggs
584,0.004,canned beer;citrus fruit
585,0.001,pudding powder;whole milk
586,0.003,frankfurter;meat
587,0.001,beef;soft cheese
588,0.002,beef;specialty chocolate
589,0.004,tropical fruit;candy
590,0.007,whipped/sour cream;citrus fruit
591,0.005,shopping bags;margarine
592,0.006,domestic eggs;bottled water
593,0.001,detergent;bottled water
594,0.002,chocolate;ham
595,0.001,specialty chocolate;frankfurter
596,0.003,pastry;berries
597,0.001,sliced cheese;ham
598,0.002,dish cleaner;rolls/buns
599,0.004,uht-milk;newspapers
600,0.008,brown bread;tropical fruit
601,0.001,chicken;candy
602,0.005,flour;other vegetables
603,0.001,beef;dessert
604,0.003,long life bakery product;butter
605,0.002,dish cleaner;whole milk
606,0.002,beef;sugar
607,0.001,ice cream;coffee
608,0.003,shopping bags;ice cream
609,0.001,hard cheese;misc. beverages
610,0.005,sausage;butter
611,0.001,long life bakery product;pickled vegetables
612,0.004,pip fruit;pork
613,0.002,beverages;brown bread
614,0.002,jam;whole milk
615,0.002,long life bakery product;coffee
616,0.001,other vegetables;zwieback
617,0.002,canned beer;chewing gum
618,0.004,citrus fruit;berries
619,0.001,cream cheese;misc. beverages
620,0.001,canned fish;root vegetables
621,0.001,whipped/sour cream;ice cream
622,0.001,hard cheese;bottled beer
623,0.002,onions;coffee
624,0.005,pork;frankfurter
625,0.011,hamburger meat;other vegetables
626,0.002,detergent;soda
627,0.015,brown bread;other vegetables
628,0.002,hygiene articles;coffee
629,0.002,house keeping products;other vegetables
630,0.012,whipped/sour cream;rolls/buns
631,0.002,potted plants;pip fruit
632,0.010,domestic eggs;root vegetables
633,0.003,detergent;root vegetables
634,0.002,chewing gum;newspapers
635,0.003,newspapers;oil
636,0.006,pip fruit;domestic eggs
637,0.002,pastry;specialty chocolate
638,0.005,sausage;napkins
639,0.002,soft cheese;shopping bags
640,0.001,flower (seeds);butter
641,0.002,instant food products;rolls/buns
642,0.006,frankfurter;bottled water
643,0.002,chewing gum;fruit/vegetable juice
644,0.004,brown bread;canned beer
645,0.004,frozen vegetables;bottled water
646,0.002,yogurt;meat spreads
647,0.001,soft cheese;brown bread
648,0.001,sliced cheese;bottled beer
649,0.002,bottled beer;liquor (appetizer)
650,0.001,tropical fruit;cling film/bags
651,0.013,yogurt;pastry
652,0.001,napkins;ice cream
653,0.001,dog food;root vegetables
654,0.002,hamburger meat;cream cheese
655,0.004,frozen meals;tropical fruit
656,0.005,curd;pip fruit
657,0.002,frozen vegetables;herbs
658,0.004,yogurt;frozen meals
659,0.004,frozen vegetables;butter
660,0.002,other vegetables;spread cheese
661,0.002,softener;whole milk
662,0.001,onions;hard cheese
663,0.004,brown bread;uht-milk
664,0.003,canned beer;domestic eggs
665,0.002,brown bread;hamburger meat
666,0.007,frozen meals;whole milk
667,0.001,pickled vegetables;fruit/vegetable juice
668,0.005,yogurt;chicken
669,0.001,pip fruit;seasonal products
670,0.005,curd;newspapers
671,0.004,shopping bags;salty snack
672,0.001,sparkling wine;other vegetables
673,0.001,flower (seeds);soda
674,0.007,pastry;bottled water
675,0.002,white bread;cream cheese
676,0.002,frozen meals;sausage
677,0.002,hygiene articles;oil
678,0.001,hygiene articles;misc. beverages
679,0.002,canned beer;candy
680,0.011,pip fruit;citrus fruit
681,0.001,sliced cheese;frankfurter
682,0.010,canned beer;rolls/buns
683,0.001,napkins;grapes
684,0.003,fruit/vegetable juice;candy
685,0.010,sausage;bottled water
686,0.006,rolls/buns;meat
687,0.001,domestic eggs;cake bar
688,0.002,yogurt;mayonnaise
689,0.006,rolls/buns;sugar
690,0.001,brown bread;spread cheese
691,0.003,white bread;margarine
