id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
0,red/blush wine,0.018,newspapers,0.077,0.002,0.106,1.374
1,brown bread,0.060,bottled water,0.105,0.007,0.116,1.101
2,chocolate marshmallow,0.008,domestic eggs,0.055,0.001,0.176,3.174
3,hard cheese,0.020,shopping bags,0.094,0.002,0.103,1.092
4,rum,0.004,other vegetables,0.177,0.001,0.308,1.737
5,waffles,0.034,other vegetables,0.177,0.007,0.212,1.199
6,white wine,0.019,sausage,0.087,0.002,0.126,1.455
7,canned fish,0.012,pastry,0.081,0.001,0.110,1.355
8,frozen fish,0.010,margarine,0.053,0.002,0.167,3.142
9,pickled vegetables,0.015,domestic eggs,0.055,0.002,0.104,1.882
10,oil,0.024,sausage,0.087,0.003,0.115,1.324
11,cat food,0.020,yogurt,0.126,0.004,0.219,1.734
12,candles,0.008,citrus fruit,0.075,0.001,0.154,2.049
13,specialty cheese,0.007,whole milk,0.241,0.003,0.394,1.639
14,hygiene articles,0.029,pip fruit,0.067,0.003,0.107,1.590
15,butter milk,0.024,tropical fruit,0.094,0.004,0.169,1.799
16,canned fish,0.012,other vegetables,0.177,0.003,0.263,1.483
17,condensed milk,0.009,fruit/vegetable juice,0.064,0.001,0.157,2.470
18,yogurt,0.126,soda,0.167,0.022,0.176,1.054
19,soda,0.167,yogurt,0.126,0.022,0.133,1.054
20,ham,0.022,bottled water,0.105,0.003,0.113,1.077
21,sliced cheese,0.020,yogurt,0.126,0.005,0.270,2.134
22,flour,0.015,bottled water,0.105,0.002,0.142,1.349
23,specialty cheese,0.007,other vegetables,0.177,0.003,0.465,2.624
24,processed cheese,0.014,margarine,0.053,0.001,0.105,1.985
25,sweet spreads,0.008,root vegetables,0.097,0.002,0.219,2.257
26,candles,0.008,tropical fruit,0.094,0.001,0.141,1.503
27,abrasive cleaner,0.003,whole milk,0.241,0.001,0.417,1.732
28,mustard,0.010,newspapers,0.077,0.001,0.121,1.568
29,sugar,0.030,pastry,0.081,0.004,0.136,1.669
30,sausage,0.087,root vegetables,0.097,0.011,0.130,1.337
31,root vegetables,0.097,sausage,0.087,0.011,0.116,1.337
32,curd cheese,0.004,tropical fruit,0.094,0.001,0.262,2.791
33,cat food,0.020,tropical fruit,0.094,0.003,0.150,1.596
34,spices,0.004,rolls/buns,0.179,0.001,0.250,1.400
35,dish cleaner,0.009,napkins,0.046,0.001,0.133,2.903
36,roll products,0.008,whipped/sour cream,0.062,0.001,0.150,2.428
