id,support,pattern
0,0.312,whole milk
1,0.031,hard cheese
2,0.002,organic products
3,0.002,decalcifier
4,0.005,skin care
5,0.030,beverages
6,0.002,cream
7,0.066,canned beer
8,0.136,root vegetables
9,0.004,syrup
10,0.034,frozen meals
11,0.004,snack products
12,0.004,nuts/prunes
13,0.088,bottled beer
14,0.004,abrasive cleaner
15,0.002,ready soups
16,0.081,brown bread
17,0.016,packaged fruit/vegetables
18,0.093,pip fruit
19,0.011,specialty cheese
20,0.003,tidbits
21,0.008,finished products
22,0.005,ketchup
23,0.023,red/blush wine
24,0.019,canned fish
25,0.035,butter milk
26,0.174,yogurt
27,0.013,canned vegetables
28,0.037,candy
29,0.003,pudding powder
30,0.007,dental care
31,0.003,bathroom cleaner
32,0.053,white bread
33,0.022,soft cheese
34,0.005,tea
35,0.007,jam
36,0.022,flour
37,0.017,seasonal products
38,0.005,light bulbs
39,0.001,rubbing alcohol
40,0.032,misc. beverages
41,0.014,salt
42,0.039,onions
43,0.013,flower (seeds)
44,0.047,long life bakery product
45,0.002,specialty vegetables
46,0.021,dishes
47,0.041,hamburger meat
48,0.095,newspapers
49,0.240,other vegetables
50,0.010,frozen potato products
51,0.007,cereals
52,0.080,domestic eggs
53,0.022,white wine
54,0.074,margarine
55,0.131,tropical fruit
56,0.109,pastry
57,0.031,sliced cheese
58,0.003,cocoa drinks
59,0.010,turkey
60,0.003,potato products
61,0.013,roll products
62,0.042,uht-milk
63,0.001,salad dressing
64,0.059,chocolate
65,0.036,specialty chocolate
66,0.004,fish
67,0.003,cooking chocolate
68,0.005,brandy
69,0.006,curd cheese
70,0.006,sparkling wine
71,0.007,female sanitary products
72,0.013,liquor
73,0.067,curd
74,0.064,beef
75,0.088,whipped/sour cream
76,0.005,specialty fat
77,0.008,photo/film
78,0.032,specialty bar
79,0.021,potted plants
80,0.003,organic sausage
81,0.013,dish cleaner
82,0.120,shopping bags
83,0.010,liquor (appetizer)
84,0.011,sweet spreads
85,0.004,artif. sweetener
86,0.008,vinegar
87,0.003,cookware
88,0.022,baking powder
89,0.065,napkins
90,0.104,citrus fruit
91,0.028,grapes
92,0.004,canned fruit
93,0.047,dessert
94,0.014,cling film/bags
95,0.045,salty snack
96,0.074,frankfurter
97,0.002,flower soil/fertilizer
98,0.011,dog food
99,0.003,soap
100,0.008,zwieback
101,0.053,chicken
102,0.070,pork
103,0.050,cream cheese
104,0.005,rum
105,0.014,spread cheese
106,0.013,condensed milk
107,0.117,sausage
