id,support,pattern
0,0.241,whole milk
1,0.020,hard cheese
2,0.025,beverages
3,0.078,canned beer
4,0.097,root vegetables
5,0.025,frozen meals
6,0.078,bottled beer
7,0.012,packaged fruit/vegetables
8,0.060,brown bread
9,0.067,pip fruit
10,0.007,specialty cheese
11,0.005,finished products
12,0.018,red/blush wine
13,0.012,canned fish
14,0.024,butter milk
15,0.126,yogurt
16,0.009,canned vegetables
17,0.026,candy
18,0.036,white bread
19,0.013,soft cheese
20,0.015,flour
21,0.013,seasonal products
22,0.026,misc. beverages
23,0.009,salt
24,0.026,onions
25,0.010,flower (seeds)
26,0.033,long life bakery product
27,0.017,dishes
28,0.029,hamburger meat
29,0.077,newspapers
30,0.177,other vegetables
31,0.007,frozen potato products
32,0.055,domestic eggs
33,0.019,white wine
34,0.053,margarine
35,0.094,tropical fruit
36,0.081,pastry
37,0.020,sliced cheese
38,0.006,turkey
39,0.008,roll products
40,0.032,uht-milk
41,0.043,chocolate
42,0.028,specialty chocolate
43,0.005,sparkling wine
44,0.005,female sanitary products
45,0.011,liquor
46,0.048,curd
47,0.046,beef
48,0.062,whipped/sour cream
49,0.009,photo/film
50,0.016,potted plants
51,0.025,specialty bar
52,0.009,dish cleaner
53,0.094,shopping bags
54,0.007,liquor (appetizer)
55,0.008,sweet spreads
56,0.006,vinegar
57,0.014,baking powder
58,0.046,napkins
59,0.075,citrus fruit
60,0.019,grapes
61,0.032,dessert
62,0.010,cling film/bags
63,0.033,salty snack
64,0.055,frankfurter
65,0.008,dog food
66,0.007,zwieback
67,0.037,chicken
68,0.053,pork
69,0.035,cream cheese
70,0.010,spread cheese
71,0.009,condensed milk
72,0.087,sausage
73,0.029,berries
74,0.014,herbs
75,0.009,pet care
76,0.020,cat food
77,0.022,ham
78,0.007,house keeping products
79,0.034,waffles
80,0.021,chewing gum
81,0.010,frozen fish
82,0.015,pickled vegetables
83,0.041,frozen vegetables
84,0.029,hygiene articles
85,0.064,fruit/vegetable juice
86,0.014,processed cheese
87,0.011,cake bar
88,0.167,soda
89,0.053,coffee
90,0.009,frozen dessert
91,0.179,rolls/buns
92,0.024,meat
93,0.030,sugar
94,0.006,popcorn
95,0.105,bottled water
96,0.007,mayonnaise
97,0.008,candles
98,0.007,instant food products
99,0.024,oil
100,0.010,mustard
101,0.023,ice cream
102,0.005,soups
103,0.007,instant coffee
104,0.017,detergent
105,0.013,pasta
106,0.008,chocolate marshmallow
107,0.015,semi-finished bread
108,0.047,butter
109,0.007,brown bread;bottled water
110,0.007,other vegetables;waffles
111,0.013,canned beer;soda
112,0.009,rolls/buns;cream cheese
113,0.010,pip fruit;soda
114,0.008,yogurt;beef
115,0.022,yogurt;soda
116,0.005,yogurt;sliced cheese
117,0.015,beef;other vegetables
118,0.006,frozen vegetables;soda
119,0.011,shopping bags;tropical fruit
120,0.008,curd;rolls/buns
121,0.011,sausage;root vegetables
122,0.006,pastry;fruit/vegetable juice
123,0.020,pip fruit;other vegetables
124,0.007,newspapers;margarine
125,0.009,yogurt;berries
126,0.016,bottled beer;soda
127,0.015,fruit/vegetable juice;soda
128,0.009,hygiene articles;whole milk
129,0.016,other vegetables;newspapers
130,0.009,pastry;tropical fruit
131,0.006,chicken;soda
132,0.005,white bread;sausage
133,0.034,yogurt;other vegetables
134,0.005,beef;soda
135,0.009,napkins;soda
136,0.062,other vegetables;whole milk
137,0.020,other vegetables;bottled water
138,0.015,tropical fruit;root vegetables
139,0.005,chocolate;pastry
140,0.007,yogurt;bottled beer
141,0.013,yogurt;pip fruit
142,0.008,butter;root vegetables
143,0.007,yogurt;coffee
144,0.005,sliced cheese;other vegetables
145,0.020,rolls/buns;root vegetables
146,0.013,cream cheese;whole milk
147,0.018,frankfurter;rolls/buns
148,0.005,brown bread;domestic eggs
149,0.008,ham;whole milk
150,0.010,yogurt;butter
151,0.006,brown bread;citrus fruit
152,0.017,tropical fruit;soda
153,0.009,yogurt;frankfurter
154,0.016,citrus fruit;tropical fruit
155,0.010,newspapers;bottled water
156,0.007,fruit/vegetable juice;root vegetables
157,0.006,candy;soda
158,0.008,soda;dessert
159,0.018,pork;other vegetables
160,0.009,domestic eggs;soda
161,0.024,pip fruit;whole milk
162,0.006,shopping bags;napkins
163,0.046,yogurt;whole milk
164,0.007,hamburger meat;rolls/buns
165,0.009,chocolate;other vegetables
166,0.005,pip fruit;frankfurter
167,0.023,other vegetables;citrus fruit
168,0.007,brown bread;newspapers
169,0.005,pickled vegetables;whole milk
170,0.008,curd;tropical fruit
171,0.006,domestic eggs;frankfurter
172,0.010,shopping bags;root vegetables
173,0.009,shopping bags;fruit/vegetable juice
174,0.008,domestic eggs;tropical fruit
175,0.006,candy;whole milk
176,0.005,sausage;coffee
177,0.007,napkins;bottled water
178,0.011,pork;root vegetables
179,0.007,shopping bags;pip fruit
180,0.007,waffles;rolls/buns
181,0.006,curd;sausage
182,0.018,pastry;rolls/buns
183,0.017,other vegetables;domestic eggs
184,0.006,hard cheese;other vegetables
185,0.011,whole milk;dessert
186,0.007,domestic eggs;butter
187,0.037,other vegetables;rolls/buns
188,0.017,shopping bags;rolls/buns
189,0.007,rolls/buns;chicken
190,0.013,whipped/sour cream;root vegetables
191,0.011,shopping bags;canned beer
192,0.006,whipped/sour cream;bottled water
193,0.030,bottled water;whole milk
194,0.006,other vegetables;grapes
195,0.005,shopping bags;hygiene articles
196,0.015,whole milk;coffee
197,0.011,yogurt;brown bread
198,0.007,onions;root vegetables
199,0.010,pork;soda
200,0.021,butter;whole milk
201,0.024,domestic eggs;whole milk
202,0.005,pastry;coffee
203,0.006,hygiene articles;soda
204,0.006,white bread;shopping bags
205,0.006,bottled beer;fruit/vegetable juice
206,0.007,canned beer;bottled water
207,0.020,shopping bags;other vegetables
208,0.009,sausage;frankfurter
209,0.008,oil;whole milk
210,0.006,citrus fruit;napkins
211,0.020,fruit/vegetable juice;whole milk
212,0.006,beef;pork
213,0.009,yogurt;frozen vegetables
214,0.013,white bread;whole milk
215,0.005,tropical fruit;cream cheese
216,0.005,citrus fruit;frankfurter
217,0.008,other vegetables;canned beer
218,0.006,white bread;tropical fruit
219,0.007,uht-milk;other vegetables
220,0.005,frozen meals;other vegetables
221,0.011,brown bread;rolls/buns
222,0.021,sausage;soda
223,0.021,other vegetables;sausage
224,0.008,frozen vegetables;root vegetables
225,0.008,frankfurter;root vegetables
226,0.022,yogurt;tropical fruit
227,0.005,semi-finished bread;whole milk
228,0.015,pip fruit;tropical fruit
229,0.019,yogurt;root vegetables
230,0.007,citrus fruit;butter
231,0.008,citrus fruit;domestic eggs
232,0.010,shopping bags;pastry
233,0.011,pip fruit;root vegetables
234,0.008,shopping bags;citrus fruit
235,0.005,long life bakery product;soda
236,0.006,yogurt;dessert
237,0.006,brown bread;pip fruit
238,0.010,whipped/sour cream;tropical fruit
239,0.008,canned beer;whole milk
240,0.010,citrus fruit;soda
241,0.011,chocolate;soda
242,0.005,rolls/buns;dessert
243,0.010,rolls/buns;coffee
244,0.012,yogurt;shopping bags
245,0.008,whole milk;meat
246,0.034,whole milk;soda
247,0.019,yogurt;bottled water
248,0.034,tropical fruit;whole milk
249,0.007,pastry;citrus fruit
250,0.008,pip fruit;bottled water
251,0.008,other vegetables;salty snack
252,0.006,whipped/sour cream;sausage
253,0.008,salty snack;whole milk
254,0.005,yogurt;waffles
255,0.006,pip fruit;whipped/sour cream
256,0.015,yogurt;whipped/sour cream
257,0.009,brown bread;sausage
258,0.022,rolls/buns;bottled water
259,0.021,brown bread;whole milk
260,0.006,herbs;whole milk
261,0.006,beverages;whole milk
262,0.007,flour;whole milk
263,0.007,whipped/sour cream;domestic eggs
264,0.009,frankfurter;soda
265,0.007,whipped/sour cream;citrus fruit
266,0.006,domestic eggs;bottled water
267,0.009,napkins;rolls/buns
268,0.008,brown bread;tropical fruit
269,0.016,other vegetables;margarine
270,0.008,pastry;root vegetables
271,0.015,napkins;whole milk
272,0.006,canned beer;sausage
273,0.005,sausage;butter
274,0.007,yogurt;pork
275,0.006,shopping bags;whipped/sour cream
276,0.013,beef;root vegetables
277,0.005,specialty bar;whole milk
278,0.011,hamburger meat;other vegetables
279,0.015,brown bread;other vegetables
280,0.017,pastry;soda
281,0.012,whipped/sour cream;rolls/buns
282,0.010,domestic eggs;root vegetables
283,0.006,pip fruit;domestic eggs
284,0.007,pip fruit;pastry
285,0.006,frankfurter;bottled water
286,0.010,yogurt;domestic eggs
287,0.012,citrus fruit;bottled water
288,0.013,citrus fruit;root vegetables
289,0.021,shopping bags;whole milk
290,0.013,yogurt;pastry
291,0.014,shopping bags;sausage
292,0.005,curd;pip fruit
293,0.010,other vegetables;cream cheese
294,0.007,frozen meals;whole milk
295,0.006,brown bread;margarine
296,0.005,yogurt;chicken
297,0.005,curd;newspapers
298,0.007,pastry;bottled water
299,0.013,fruit/vegetable juice;rolls/buns
300,0.018,yogurt;citrus fruit
301,0.010,rolls/buns;butter
302,0.011,pip fruit;citrus fruit
303,0.010,canned beer;rolls/buns
304,0.020,tropical fruit;rolls/buns
305,0.035,rolls/buns;soda
306,0.010,sausage;bottled water
307,0.006,rolls/buns;meat
308,0.006,misc. beverages;soda
309,0.006,rolls/buns;sugar
310,0.013,chicken;whole milk
311,0.005,herbs;root vegetables
312,0.008,frozen vegetables;rolls/buns
313,0.007,curd;soda
314,0.006,bottled water;coffee
315,0.009,butter milk;whole milk
316,0.051,rolls/buns;whole milk
317,0.008,brown bread;root vegetables
318,0.020,margarine;whole milk
319,0.011,pip fruit;rolls/buns
320,0.007,cat food;whole milk
321,0.010,white bread;other vegetables
322,0.007,tropical fruit;margarine
323,0.008,shopping bags;brown bread
324,0.009,berries;whole milk
325,0.006,citrus fruit;margarine
326,0.010,waffles;whole milk
327,0.028,pastry;whole milk
328,0.030,yogurt;rolls/buns
329,0.007,white bread;soda
330,0.014,soda;root vegetables
331,0.010,tropical fruit;sausage
332,0.007,whipped/sour cream;berries
333,0.006,pastry;domestic eggs
334,0.007,domestic eggs;sausage
335,0.007,bottled beer;sausage
336,0.005,dishes;other vegetables
337,0.013,curd;other vegetables
338,0.017,frankfurter;whole milk
339,0.015,other vegetables;fruit/vegetable juice
340,0.005,sausage;margarine
341,0.037,other vegetables;root vegetables
342,0.011,hamburger meat;whole milk
343,0.013,yogurt;curd
344,0.007,shopping bags;domestic eggs
345,0.007,hard cheese;whole milk
346,0.005,misc. beverages;whole milk
347,0.006,pastry;frankfurter
348,0.007,beef;citrus fruit
349,0.027,other vegetables;tropical fruit
350,0.007,pastry;newspapers
351,0.009,newspapers;root vegetables
352,0.008,pip fruit;sausage
353,0.006,yogurt;butter milk
354,0.016,yogurt;sausage
355,0.007,shopping bags;chocolate
356,0.005,yogurt;white bread
357,0.013,domestic eggs;rolls/buns
358,0.010,onions;other vegetables
359,0.005,beef;margarine
360,0.012,bottled beer;rolls/buns
361,0.009,yogurt;napkins
362,0.014,citrus fruit;rolls/buns
363,0.024,whipped/sour cream;whole milk
364,0.039,whole milk;root vegetables
365,0.006,brown bread;fruit/vegetable juice
366,0.005,shopping bags;dessert
367,0.008,brown bread;pastry
368,0.008,curd;whipped/sour cream
369,0.011,yogurt;margarine
370,0.012,sugar;whole milk
371,0.005,pork;citrus fruit
372,0.006,pip fruit;margarine
373,0.021,whipped/sour cream;other vegetables
374,0.015,tropical fruit;bottled water
375,0.005,white bread;root vegetables
376,0.024,sausage;whole milk
377,0.006,other vegetables;oil
378,0.006,pork;newspapers
379,0.006,shopping bags;newspapers
380,0.010,shopping bags;bottled water
381,0.008,citrus fruit;sausage
382,0.025,citrus fruit;whole milk
383,0.006,shopping bags;pork
384,0.021,curd;whole milk
385,0.006,yogurt;uht-milk
386,0.006,pastry;waffles
387,0.011,fruit/vegetable juice;bottled water
388,0.028,sausage;rolls/buns
389,0.007,napkins;root vegetables
390,0.011,beef;rolls/buns
391,0.008,whipped/sour cream;soda
392,0.006,pork;bottled water
393,0.008,butter milk;other vegetables
394,0.006,domestic eggs;margarine
395,0.006,whipped/sour cream;butter
396,0.006,potted plants;whole milk
397,0.010,yogurt;cream cheese
398,0.013,newspapers;soda
399,0.007,other vegetables;hygiene articles
400,0.007,tropical fruit;napkins
401,0.007,uht-milk;soda
402,0.007,other vegetables;ham
403,0.007,bottled beer;tropical fruit
404,0.005,soda;meat
405,0.005,domestic eggs;fruit/vegetable juice
406,0.006,domestic eggs;newspapers
407,0.017,beef;whole milk
408,0.006,tropical fruit;butter
409,0.008,other vegetables;berries
410,0.017,bottled beer;whole milk
411,0.008,chicken;root vegetables
412,0.005,beef;newspapers
413,0.005,frankfurter;margarine
414,0.007,fruit/vegetable juice;newspapers
415,0.006,uht-milk;rolls/buns
416,0.010,pastry;sausage
417,0.007,bottled water;butter
418,0.017,other vegetables;pastry
419,0.005,cream cheese;soda
420,0.009,pork;rolls/buns
421,0.014,other vegetables;chicken
422,0.006,brown bread;frankfurter
423,0.009,other vegetables;coffee
424,0.006,sugar;soda
425,0.015,frozen vegetables;whole milk
426,0.013,margarine;rolls/buns
427,0.006,long life bakery product;rolls/buns
428,0.005,rolls/buns;candy
429,0.005,fruit/vegetable juice;butter
430,0.007,detergent;whole milk
431,0.005,frozen vegetables;tropical fruit
432,0.005,chewing gum;soda
433,0.013,other vegetables;bottled beer
434,0.025,newspapers;whole milk
435,0.008,margarine;soda
436,0.022,shopping bags;soda
437,0.006,sliced cheese;rolls/buns
438,0.010,tropical fruit;fruit/vegetable juice
439,0.008,long life bakery product;other vegetables
440,0.005,berries;soda
441,0.010,tropical fruit;newspapers
442,0.007,tropical fruit;frankfurter
443,0.008,other vegetables;sugar
444,0.006,whipped/sour cream;newspapers
445,0.007,waffles;soda
446,0.013,bottled water;root vegetables
447,0.008,margarine;bottled water
448,0.008,other vegetables;dessert
449,0.006,pork;margarine
450,0.006,sausage;newspapers
451,0.013,other vegetables;frankfurter
452,0.014,bottled beer;bottled water
453,0.005,whipped/sour cream;fruit/vegetable juice
454,0.007,baking powder;whole milk
455,0.026,bottled water;soda
456,0.008,sausage;fruit/vegetable juice
457,0.005,curd;citrus fruit
458,0.013,yogurt;fruit/vegetable juice
459,0.018,pork;whole milk
460,0.018,newspapers;rolls/buns
461,0.007,pip fruit;fruit/vegetable juice
462,0.006,pip fruit;newspapers
463,0.005,curd;pastry
464,0.005,grapes;whole milk
465,0.008,bottled beer;root vegetables
466,0.013,yogurt;newspapers
467,0.009,chocolate;rolls/buns
468,0.006,pork;whipped/sour cream
469,0.007,shopping bags;frankfurter
470,0.007,citrus fruit;newspapers
471,0.006,specialty chocolate;whole milk
472,0.007,citrus fruit;fruit/vegetable juice
473,0.009,shopping bags;coffee
474,0.006,butter milk;rolls/buns
475,0.006,ham;rolls/buns
476,0.012,chocolate;whole milk
477,0.006,pork;tropical fruit
478,0.006,specialty bar;soda
479,0.007,salty snack;soda
480,0.006,yogurt;long life bakery product
481,0.026,other vegetables;soda
482,0.007,butter;soda
483,0.008,soda;coffee
484,0.008,other vegetables;meat
485,0.013,frozen vegetables;other vegetables
486,0.010,brown bread;soda
487,0.005,shopping bags;bottled beer
488,0.010,other vegetables;napkins
489,0.006,uht-milk;bottled water
490,0.014,other vegetables;butter
491,0.009,onions;whole milk
492,0.008,margarine;root vegetables
493,0.009,curd;root vegetables
494,0.005,pork;sausage
495,0.006,other vegetables;herbs
496,0.010,long life bakery product;whole milk
497,0.006,yogurt;chocolate
498,0.008,sliced cheese;whole milk
499,0.006,whipped/sour cream;whole milk;root vegetables
500,0.008,whipped/sour cream;whole milk;other vegetables
501,0.007,margarine;whole milk;other vegetables
502,0.007,butter;whole milk;other vegetables
503,0.007,yogurt;rolls/buns;soda
504,0.005,rolls/buns;whole milk;citrus fruit
505,0.006,yogurt;pip fruit;whole milk
506,0.006,yogurt;whipped/sour cream;whole milk
507,0.005,whole milk;soda;pastry
508,0.006,shopping bags;whole milk;other vegetables
509,0.006,yogurt;rolls/buns;tropical fruit
510,0.006,other vegetables;citrus fruit;tropical fruit
511,0.005,whole milk;root vegetables;domestic eggs
512,0.009,sausage;rolls/buns;soda
513,0.007,rolls/buns;whole milk;pastry
514,0.005,whole milk;other vegetables;bottled beer
515,0.007,yogurt;other vegetables;tropical fruit
516,0.005,beef;whole milk;root vegetables
517,0.007,other vegetables;root vegetables;tropical fruit
518,0.005,whole milk;citrus fruit;root vegetables
519,0.007,fruit/vegetable juice;whole milk;other vegetables
520,0.008,yogurt;other vegetables;root vegetables
521,0.005,yogurt;sausage;other vegetables
522,0.006,beef;whole milk;other vegetables
523,0.006,rolls/buns;whole milk;soda
524,0.006,rolls/buns;bottled water;other vegetables
525,0.007,pork;whole milk;other vegetables
526,0.015,yogurt;whole milk;other vegetables
527,0.008,sausage;rolls/buns;whole milk
528,0.006,yogurt;fruit/vegetable juice;whole milk
529,0.007,yogurt;bottled water;whole milk
530,0.005,shopping bags;rolls/buns;soda
531,0.006,whole milk;citrus fruit;tropical fruit
532,0.008,bottled water;whole milk;other vegetables
533,0.008,whole milk;other vegetables;domestic eggs
534,0.006,yogurt;sausage;whole milk
535,0.010,whole milk;other vegetables;soda
536,0.009,yogurt;whole milk;root vegetables
537,0.006,yogurt;whole milk;pastry
538,0.005,bottled water;whole milk;root vegetables
539,0.012,yogurt;rolls/buns;whole milk
540,0.005,pip fruit;whole milk;root vegetables
541,0.009,pip fruit;whole milk;other vegetables
542,0.006,margarine;rolls/buns;whole milk
543,0.007,newspapers;whole milk;other vegetables
544,0.007,sausage;rolls/buns;other vegetables
545,0.007,brown bread;whole milk;other vegetables
546,0.005,yogurt;bottled water;other vegetables
547,0.007,rolls/buns;other vegetables;soda
548,0.005,beef;other vegetables;root vegetables
549,0.007,yogurt;whole milk;citrus fruit
550,0.005,rolls/buns;whipped/sour cream;whole milk
551,0.006,other vegetables;citrus fruit;root vegetables
552,0.005,whipped/sour cream;other vegetables;root vegetables
553,0.007,newspapers;rolls/buns;whole milk
554,0.005,whole milk;soda;root vegetables
555,0.011,whole milk;other vegetables;tropical fruit
556,0.007,rolls/buns;bottled water;whole milk
557,0.005,yogurt;rolls/buns;root vegetables
558,0.005,bottled water;whole milk;tropical fruit
559,0.014,rolls/buns;whole milk;other vegetables
560,0.006,yogurt;butter;whole milk
561,0.006,yogurt;whipped/sour cream;other vegetables
562,0.009,yogurt;rolls/buns;other vegetables
563,0.009,rolls/buns;whole milk;root vegetables
564,0.005,yogurt;other vegetables;soda
565,0.005,frankfurter;whole milk;other vegetables
566,0.005,yogurt;newspapers;whole milk
567,0.015,whole milk;other vegetables;root vegetables
568,0.007,yogurt;whole milk;soda
569,0.006,pip fruit;other vegetables;tropical fruit
570,0.006,curd;whole milk;other vegetables
571,0.006,yogurt;rolls/buns;bottled water
572,0.006,rolls/buns;bottled water;soda
573,0.008,rolls/buns;whole milk;tropical fruit
574,0.006,frozen vegetables;whole milk;other vegetables
575,0.007,whole milk;root vegetables;tropical fruit
576,0.005,sausage;shopping bags;rolls/buns
577,0.007,sausage;whole milk;other vegetables
578,0.005,sausage;other vegetables;soda
579,0.007,whole milk;other vegetables;pastry
580,0.005,pip fruit;whole milk;tropical fruit
581,0.010,yogurt;whole milk;tropical fruit
582,0.006,bottled water;whole milk;soda
583,0.006,yogurt;bottled water;soda
584,0.005,yogurt;pip fruit;other vegetables
585,0.005,whole milk;soda;tropical fruit
586,0.007,yogurt;curd;whole milk
587,0.009,rolls/buns;other vegetables;root vegetables
588,0.006,chicken;whole milk;other vegetables
589,0.005,shopping bags;whole milk;soda
590,0.009,whole milk;other vegetables;citrus fruit
