id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
0,brown bread,0.060,bottled water,0.105,0.007,0.117,1.111
1,yogurt,0.126,soda,0.167,0.022,0.175,1.046
2,beef,0.046,other vegetables,0.177,0.015,0.326,1.842
3,shopping bags,0.094,tropical fruit,0.094,0.011,0.117,1.245
4,sausage,0.087,root vegetables,0.097,0.011,0.126,1.303
5,pip fruit,0.067,other vegetables,0.177,0.020,0.299,1.686
6,bottled beer,0.078,soda,0.167,0.016,0.205,1.228
7,fruit/vegetable juice,0.064,soda,0.167,0.015,0.234,1.403
8,hygiene articles,0.029,whole milk,0.241,0.009,0.310,1.288
9,pastry,0.081,tropical fruit,0.094,0.009,0.111,1.182
10,white bread,0.036,sausage,0.087,0.005,0.139,1.596
11,yogurt,0.126,other vegetables,0.177,0.034,0.270,1.525
12,napkins,0.046,soda,0.167,0.009,0.196,1.172
13,other vegetables,0.177,whole milk,0.241,0.062,0.350,1.453
14,other vegetables,0.177,bottled water,0.105,0.020,0.113,1.076
15,tropical fruit,0.094,root vegetables,0.097,0.015,0.160,1.645
16,chocolate,0.043,pastry,0.081,0.005,0.116,1.436
17,yogurt,0.126,pip fruit,0.067,0.013,0.103,1.540
18,butter,0.047,root vegetables,0.097,0.008,0.170,1.755
19,sliced cheese,0.020,other vegetables,0.177,0.005,0.250,1.412
20,rolls/buns,0.179,root vegetables,0.097,0.020,0.112,1.152
21,cream cheese,0.035,whole milk,0.241,0.013,0.371,1.541
22,frankfurter,0.055,rolls/buns,0.179,0.018,0.327,1.828
23,ham,0.022,whole milk,0.241,0.008,0.364,1.509
24,tropical fruit,0.094,soda,0.167,0.017,0.181,1.083
25,citrus fruit,0.075,tropical fruit,0.094,0.016,0.213,2.270
26,newspapers,0.077,bottled water,0.105,0.010,0.130,1.237
27,fruit/vegetable juice,0.064,root vegetables,0.097,0.007,0.109,1.128
28,candy,0.026,soda,0.167,0.006,0.231,1.382
29,pork,0.053,other vegetables,0.177,0.018,0.340,1.919
30,pip fruit,0.067,whole milk,0.241,0.024,0.358,1.486
31,yogurt,0.126,whole milk,0.241,0.046,0.365,1.515
