id,support,pattern
0,0.295,whole milk
1,0.026,hard cheese
2,0.029,beverages
3,0.066,canned beer
4,0.122,root vegetables
5,0.030,frozen meals
6,0.085,bottled beer
7,0.075,brown bread
8,0.014,packaged fruit/vegetables
9,0.083,pip fruit
10,0.010,specialty cheese
11,0.006,finished products
12,0.022,red/blush wine
13,0.016,canned fish
14,0.031,butter milk
15,0.158,yogurt
16,0.012,canned vegetables
17,0.033,candy
18,0.006,dental care
19,0.046,white bread
20,0.016,soft cheese
21,0.005,jam
22,0.019,flour
23,0.016,seasonal products
24,0.030,misc. beverages
25,0.012,salt
26,0.033,onions
27,0.013,flower (seeds)
28,0.041,long life bakery product
29,0.021,dishes
30,0.036,hamburger meat
31,0.092,newspapers
32,0.221,other vegetables
33,0.008,frozen potato products
34,0.006,cereals
35,0.070,domestic eggs
36,0.022,white wine
37,0.068,margarine
38,0.118,tropical fruit
39,0.100,pastry
40,0.025,sliced cheese
41,0.008,turkey
42,0.011,roll products
43,0.040,uht-milk
44,0.051,chocolate
45,0.032,specialty chocolate
46,0.005,brandy
47,0.005,curd cheese
48,0.005,sparkling wine
49,0.006,female sanitary products
50,0.013,liquor
51,0.061,curd
52,0.057,beef
53,0.076,whipped/sour cream
54,0.008,photo/film
55,0.030,specialty bar
56,0.020,potted plants
57,0.011,dish cleaner
58,0.116,shopping bags
59,0.009,liquor (appetizer)
60,0.010,sweet spreads
61,0.007,vinegar
62,0.018,baking powder
63,0.057,napkins
64,0.095,citrus fruit
65,0.024,grapes
66,0.041,dessert
67,0.013,cling film/bags
68,0.039,salty snack
69,0.069,frankfurter
70,0.010,dog food
71,0.008,zwieback
72,0.046,chicken
73,0.065,pork
74,0.045,cream cheese
75,0.005,rum
76,0.013,spread cheese
77,0.012,condensed milk
78,0.109,sausage
79,0.036,berries
80,0.018,herbs
81,0.010,pet care
82,0.025,cat food
83,0.028,ham
84,0.008,house keeping products
85,0.042,waffles
86,0.025,chewing gum
87,0.013,frozen fish
88,0.020,pickled vegetables
89,0.006,softener
90,0.005,cleaner
91,0.051,frozen vegetables
92,0.035,hygiene articles
93,0.079,fruit/vegetable juice
94,0.018,processed cheese
95,0.006,liver loaf
96,0.015,cake bar
97,0.006,rice
98,0.195,soda
99,0.063,coffee
100,0.011,frozen dessert
101,0.216,rolls/buns
102,0.030,meat
103,0.005,spices
104,0.037,sugar
105,0.006,sauces
106,0.008,popcorn
107,0.127,bottled water
108,0.009,mayonnaise
109,0.010,candles
110,0.005,male cosmetics
111,0.006,kitchen towels
112,0.008,instant food products
113,0.005,meat spreads
114,0.029,oil
115,0.012,mustard
116,0.025,ice cream
117,0.007,soups
118,0.008,instant coffee
119,0.020,detergent
120,0.016,pasta
121,0.009,chocolate marshmallow
