id,left_pattern,left_support,right_pattern,right_support,support,confidence,lift
0,sausage,0.109,frankfurter,0.069,0.011,0.101,1.463
1,yogurt,0.158,pastry,0.100,0.016,0.101,1.013
2,frankfurter,0.069,margarine,0.068,0.007,0.101,1.492
3,yogurt;whole milk,0.059,brown bread,0.075,0.006,0.102,1.356
4,yogurt;whole milk,0.059,domestic eggs,0.070,0.006,0.102,1.453
5,yogurt;whole milk,0.059,margarine,0.068,0.006,0.102,1.496
6,shopping bags,0.116,pastry,0.100,0.012,0.103,1.034
7,other vegetables;rolls/buns,0.048,pastry,0.100,0.005,0.104,1.042
8,other vegetables;rolls/buns,0.048,newspapers,0.092,0.005,0.104,1.132
9,other vegetables;rolls/buns,0.048,domestic eggs,0.070,0.005,0.104,1.488
10,other vegetables;root vegetables,0.048,margarine,0.068,0.005,0.104,1.532
11,other vegetables;rolls/buns,0.048,pork,0.065,0.005,0.104,1.603
12,other vegetables;rolls/buns,0.048,beef,0.057,0.005,0.104,1.827
13,napkins,0.057,newspapers,0.092,0.006,0.105,1.144
14,napkins,0.057,fruit/vegetable juice,0.079,0.006,0.105,1.332
15,beef,0.057,whipped/sour cream,0.076,0.006,0.105,1.385
16,citrus fruit,0.095,domestic eggs,0.070,0.010,0.105,1.504
17,napkins,0.057,hygiene articles,0.035,0.006,0.105,3.008
18,whipped/sour cream,0.076,newspapers,0.092,0.008,0.105,1.144
19,whipped/sour cream,0.076,butter,0.059,0.008,0.105,1.784
20,rolls/buns;whole milk,0.066,citrus fruit,0.095,0.007,0.106,1.116
21,rolls/buns;whole milk,0.066,whipped/sour cream,0.076,0.007,0.106,1.396
22,brown bread,0.075,citrus fruit,0.095,0.008,0.107,1.123
23,brown bread,0.075,fruit/vegetable juice,0.079,0.008,0.107,1.350
24,brown bread,0.075,frankfurter,0.069,0.008,0.107,1.546
25,brown bread,0.075,margarine,0.068,0.008,0.107,1.569
26,yogurt,0.158,newspapers,0.092,0.017,0.108,1.170
27,yogurt,0.158,pip fruit,0.083,0.017,0.108,1.296
28,yogurt,0.158,fruit/vegetable juice,0.079,0.017,0.108,1.362
29,yogurt,0.158,curd,0.061,0.017,0.108,1.764
30,pork,0.065,citrus fruit,0.095,0.007,0.108,1.134
31,pork,0.065,newspapers,0.092,0.007,0.108,1.171
32,pork,0.065,margarine,0.068,0.007,0.108,1.584
33,white bread,0.046,pip fruit,0.083,0.005,0.109,1.310
34,white bread,0.046,frankfurter,0.069,0.005,0.109,1.575
35,tropical fruit,0.118,sausage,0.109,0.013,0.110,1.011
36,tropical fruit,0.118,newspapers,0.092,0.013,0.110,1.197
37,tropical fruit,0.118,fruit/vegetable juice,0.079,0.013,0.110,1.395
38,other vegetables;whole milk,0.080,sausage,0.109,0.009,0.112,1.032
39,other vegetables;whole milk,0.080,pastry,0.100,0.009,0.112,1.125
40,other vegetables;whole milk,0.080,brown bread,0.075,0.009,0.112,1.500
41,other vegetables;whole milk,0.080,pork,0.065,0.009,0.112,1.731
42,other vegetables;whole milk,0.080,butter,0.059,0.009,0.112,1.907
43,tropical fruit;whole milk,0.044,sausage,0.109,0.005,0.114,1.043
44,tropical fruit;whole milk,0.044,brown bread,0.075,0.005,0.114,1.515
45,fruit/vegetable juice,0.079,newspapers,0.092,0.009,0.114,1.238
46,domestic eggs,0.070,newspapers,0.092,0.008,0.114,1.242
47,domestic eggs,0.070,margarine,0.068,0.008,0.114,1.681
48,curd,0.061,sausage,0.109,0.007,0.115,1.053
49,curd,0.061,pastry,0.100,0.007,0.115,1.148
50,curd,0.061,citrus fruit,0.095,0.007,0.115,1.208
51,curd,0.061,newspapers,0.092,0.007,0.115,1.247
52,curd,0.061,pip fruit,0.083,0.007,0.115,1.383
53,citrus fruit,0.095,sausage,0.109,0.011,0.116,1.062
54,whole milk;soda,0.043,newspapers,0.092,0.005,0.116,1.264
55,whole milk;root vegetables,0.051,sausage,0.109,0.006,0.118,1.079
56,whole milk;root vegetables,0.051,newspapers,0.092,0.006,0.118,1.279
57,frozen vegetables,0.051,pip fruit,0.083,0.006,0.118,1.417
58,frozen vegetables,0.051,fruit/vegetable juice,0.079,0.006,0.118,1.489
59,frozen vegetables,0.051,whipped/sour cream,0.076,0.006,0.118,1.548
60,frozen vegetables,0.051,pork,0.065,0.006,0.118,1.810
61,whole milk;root vegetables,0.051,pork,0.065,0.006,0.118,1.810
