id,support,pattern
0,0.312,whole milk
1,0.031,hard cheese
2,0.005,skin care
3,0.030,beverages
4,0.066,canned beer
5,0.136,root vegetables
6,0.004,syrup
7,0.034,frozen meals
8,0.004,snack products
9,0.004,nuts/prunes
10,0.088,bottled beer
11,0.004,abrasive cleaner
12,0.016,packaged fruit/vegetables
13,0.081,brown bread
14,0.093,pip fruit
15,0.011,specialty cheese
16,0.003,tidbits
17,0.008,finished products
18,0.005,ketchup
19,0.023,red/blush wine
20,0.019,canned fish
21,0.035,butter milk
22,0.174,yogurt
23,0.013,canned vegetables
24,0.037,candy
25,0.003,pudding powder
26,0.007,dental care
27,0.003,bathroom cleaner
28,0.053,white bread
29,0.022,soft cheese
30,0.005,tea
31,0.007,jam
32,0.022,flour
33,0.017,seasonal products
34,0.005,light bulbs
35,0.032,misc. beverages
36,0.014,salt
37,0.039,onions
38,0.013,flower (seeds)
39,0.047,long life bakery product
40,0.021,dishes
41,0.041,hamburger meat
42,0.095,newspapers
43,0.240,other vegetables
44,0.010,frozen potato products
45,0.007,cereals
46,0.080,domestic eggs
47,0.022,white wine
48,0.074,margarine
49,0.131,tropical fruit
50,0.109,pastry
51,0.031,sliced cheese
52,0.003,cocoa drinks
53,0.010,turkey
54,0.003,potato products
55,0.013,roll products
56,0.042,uht-milk
57,0.036,specialty chocolate
58,0.059,chocolate
59,0.004,fish
60,0.003,cooking chocolate
61,0.005,brandy
62,0.006,curd cheese
63,0.006,sparkling wine
64,0.007,female sanitary products
65,0.013,liquor
66,0.067,curd
67,0.064,beef
68,0.088,whipped/sour cream
69,0.005,specialty fat
70,0.008,photo/film
71,0.032,specialty bar
72,0.021,potted plants
73,0.003,organic sausage
74,0.013,dish cleaner
75,0.120,shopping bags
76,0.010,liquor (appetizer)
77,0.011,sweet spreads
78,0.004,artif. sweetener
79,0.008,vinegar
80,0.003,cookware
81,0.022,baking powder
82,0.065,napkins
83,0.028,grapes
84,0.104,citrus fruit
85,0.004,canned fruit
86,0.047,dessert
87,0.014,cling film/bags
88,0.045,salty snack
89,0.074,frankfurter
90,0.011,dog food
91,0.003,soap
92,0.008,zwieback
93,0.053,chicken
94,0.070,pork
95,0.050,cream cheese
96,0.005,rum
97,0.014,spread cheese
98,0.041,berries
99,0.117,sausage
100,0.013,condensed milk
101,0.020,herbs
102,0.011,pet care
103,0.029,cat food
104,0.033,ham
105,0.010,house keeping products
106,0.047,waffles
107,0.025,chewing gum
108,0.014,frozen fish
