id,support,pattern
0,0.149,other vegetables;whole milk
1,0.110,whole milk;yogurt
2,0.107,rolls/buns;whole milk
3,0.098,root vegetables;whole milk
4,0.094,other vegetables;root vegetables
5,0.087,other vegetables;yogurt
6,0.084,tropical fruit;whole milk
7,0.083,other vegetables;rolls/buns
8,0.079,soda;whole milk
9,0.071,other vegetables;tropical fruit
10,0.067,rolls/buns;yogurt
11,0.066,bottled water;whole milk
12,0.066,rolls/buns;soda
13,0.065,other vegetables;soda
14,0.064,whipped/sour cream;whole milk
15,0.063,pastry;whole milk
16,0.060,citrus fruit;whole milk
17,0.060,domestic eggs;whole milk
18,0.060,pip fruit;whole milk
19,0.059,other vegetables;whipped/sour cream
20,0.058,tropical fruit;yogurt
21,0.058,sausage;whole milk
22,0.057,citrus fruit;other vegetables
23,0.056,butter;whole milk
24,0.055,soda;yogurt
25,0.054,fruit/vegetable juice;whole milk
26,0.053,other vegetables;sausage
27,0.053,other vegetables;pip fruit
28,0.052,rolls/buns;sausage
29,0.052,bottled water;soda
30,0.052,root vegetables;yogurt
31,0.052,curd;whole milk
32,0.051,newspapers;whole milk
33,0.051,bottled water;other vegetables
34,0.049,rolls/buns;root vegetables
35,0.049,shopping bags;whole milk
36,0.048,rolls/buns;tropical fruit
37,0.048,margarine;whole milk
38,0.048,brown bread;whole milk
39,0.048,other vegetables;shopping bags
40,0.048,shopping bags;soda
41,0.046,other vegetables;pastry
42,0.046,sausage;soda
43,0.045,domestic eggs;other vegetables
44,0.045,bottled water;rolls/buns
45,0.045,bottled water;yogurt
46,0.044,pork;whole milk
47,0.044,citrus fruit;yogurt
48,0.043,root vegetables;tropical fruit
49,0.043,fruit/vegetable juice;other vegetables
50,0.043,beef;whole milk
51,0.042,soda;tropical fruit
52,0.042,whipped/sour cream;yogurt
53,0.042,other vegetables;pork
54,0.041,butter;other vegetables
55,0.041,frankfurter;whole milk
56,0.040,pip fruit;tropical fruit
57,0.040,margarine;other vegetables
58,0.040,napkins;whole milk
59,0.039,citrus fruit;tropical fruit
60,0.039,beef;other vegetables
61,0.039,frozen vegetables;whole milk
62,0.039,bottled beer;whole milk
63,0.038,rolls/buns;shopping bags
64,0.038,pastry;rolls/buns
65,0.038,newspapers;other vegetables
66,0.038,sausage;yogurt
67,0.038,root vegetables;soda
68,0.038,fruit/vegetable juice;yogurt
69,0.037,brown bread;other vegetables
70,0.037,bottled water;tropical fruit
71,0.037,newspapers;rolls/buns
72,0.036,frozen vegetables;other vegetables
73,0.036,citrus fruit;root vegetables
74,0.036,coffee;whole milk
75,0.035,pip fruit;yogurt
76,0.035,pastry;yogurt
77,0.035,pastry;soda
78,0.035,chicken;other vegetables
79,0.035,root vegetables;whipped/sour cream
80,0.035,fruit/vegetable juice;soda
81,0.035,beef;root vegetables
82,0.035,curd;other vegetables
83,0.034,chicken;whole milk
84,0.034,citrus fruit;rolls/buns
85,0.034,curd;yogurt
86,0.034,chocolate;whole milk
