id,basket
1,citrus fruit;semi-finished bread;margarine;ready soups
2,pip fruit;yogurt;cream cheese;meat spreads
3,other vegetables;whole milk;condensed milk;long life bakery product
4,whole milk;butter;yogurt;rice;abrasive cleaner
5,other vegetables;UHT-milk;rolls/buns;bottled beer;liquor (appetizer)
6,tropical fruit;other vegetables;white bread;bottled water;chocolate
7,citrus fruit;tropical fruit;whole milk;butter;curd;yogurt;flour;bottled water;dishes
8,butter;sugar;fruit/vegetable juice;newspapers
9,tropical fruit;cream cheese;processed cheese;detergent;newspapers
10,tropical fruit;root vegetables;other vegetables;frozen dessert;rolls/buns;flour;sweet spreads;salty snack;waffles;candy;bathroom cleaner
11,sausage;rolls/buns;soda;chocolate
12,brown bread;soda;fruit/vegetable juice;canned beer;newspapers;shopping bags
13,yogurt;beverages;bottled water;specialty bar
14,hamburger meat;other vegetables;rolls/buns;spices;bottled water;hygiene articles;napkins
15,root vegetables;other vegetables;whole milk;beverages;sugar
16,pork;berries;other vegetables;whole milk;whipped/sour cream;artif. sweetener;soda;abrasive cleaner
17,root vegetables;other vegetables;whole milk;dessert
18,sausage;rolls/buns;soda;canned beer;specialty bar;shopping bags
19,tropical fruit;root vegetables;whole milk;yogurt;domestic eggs;brown bread;pastry;sugar;cereals;coffee;soda;waffles;candy
20,butter milk;yogurt;cream cheese;spread cheese;rolls/buns;bottled water;soda;newspapers
21,root vegetables;other vegetables;butter;curd;whipped/sour cream;UHT-milk;hard cheese;rolls/buns;bottled water;long life bakery product
22,sausage;rolls/buns;cat food;newspapers
23,ham;grapes;other vegetables;whole milk
24,turkey;tropical fruit;other vegetables;curd;domestic eggs;brown bread;semi-finished bread;margarine;baking powder;fruit/vegetable juice
25,whole milk;yogurt;processed cheese;pickled vegetables;soda
26,whole milk;curd;yogurt;pastry
27,rolls/buns;oil;bottled water;chewing gum;chocolate marshmallow;hygiene articles;napkins
28,ham;beef;whipped/sour cream;ice cream;rolls/buns;cat food
29,other vegetables;whole milk;frozen vegetables;canned fish;salty snack;seasonal products;detergent
30,frankfurter;tropical fruit;rolls/buns;brown bread;sugar
31,tropical fruit;pip fruit;berries;whole milk;frozen potato products;rolls/buns;pickled vegetables;chocolate
32,whole milk;butter;margarine;specialty fat;specialty chocolate;candles;flower (seeds)
33,frankfurter;citrus fruit;whole milk;domestic eggs;oil;sparkling wine;specialty chocolate;newspapers
34,other vegetables;whole milk;rolls/buns;sugar
35,citrus fruit;whole milk;curd;butter milk;pastry
36,flour;salt;bottled water;fruit/vegetable juice;bottled beer
37,sugar;bottled water;soda;bottled beer
