id,basket
1,citrus fruit;semi-finished bread;margarine;ready soups
2,tropical fruit;yogurt;coffee
3,pip fruit;yogurt;cream cheese;meat spreads
4,other vegetables;whole milk;condensed milk;long life bakery product
5,whole milk;butter;yogurt;rice;abrasive cleaner
6,other vegetables;UHT-milk;rolls/buns;bottled beer;liquor (appetizer)
7,whole milk;cereals
8,tropical fruit;other vegetables;white bread;bottled water;chocolate
9,citrus fruit;tropical fruit;whole milk;butter;curd;yogurt;flour;bottled water;dishes
10,frankfurter;rolls/buns;soda
11,chicken;tropical fruit
12,butter;sugar;fruit/vegetable juice;newspapers
13,butter milk;pastry
14,tropical fruit;cream cheese;processed cheese;detergent;newspapers
15,tropical fruit;root vegetables;other vegetables;frozen dessert;rolls/buns;flour;sweet spreads;salty snack;waffles;candy;bathroom cleaner
16,bottled water;canned beer
17,sausage;rolls/buns;soda;chocolate
18,brown bread;soda;fruit/vegetable juice;canned beer;newspapers;shopping bags
19,yogurt;beverages;bottled water;specialty bar
20,hamburger meat;other vegetables;rolls/buns;spices;bottled water;hygiene articles;napkins
21,root vegetables;other vegetables;whole milk;beverages;sugar
22,pork;berries;other vegetables;whole milk;whipped/sour cream;artif. sweetener;soda;abrasive cleaner
23,beef;grapes;detergent
24,pastry;soda
25,root vegetables;other vegetables;whole milk;dessert
26,citrus fruit;zwieback;newspapers
27,sausage;rolls/buns;soda;canned beer;specialty bar;shopping bags
28,tropical fruit;root vegetables;whole milk;yogurt;domestic eggs;brown bread;pastry;sugar;cereals;coffee;soda;waffles;candy
29,berries;yogurt
30,butter milk;yogurt;cream cheese;spread cheese;rolls/buns;bottled water;soda;newspapers
31,pastry;bottled water
32,root vegetables;other vegetables;butter;curd;whipped/sour cream;UHT-milk;hard cheese;rolls/buns;bottled water;long life bakery product
33,sausage;rolls/buns;cat food;newspapers
34,ham;grapes;other vegetables;whole milk
35,turkey;tropical fruit;other vegetables;curd;domestic eggs;brown bread;semi-finished bread;margarine;baking powder;fruit/vegetable juice
36,whole milk;yogurt;processed cheese;pickled vegetables;soda
37,whole milk;curd;yogurt;pastry
38,packaged fruit/vegetables;brown bread;canned beer
39,rolls/buns;oil;bottled water;chewing gum;chocolate marshmallow;hygiene articles;napkins
40,ham;beef;whipped/sour cream;ice cream;rolls/buns;cat food
41,rolls/buns;pastry;sugar
42,other vegetables;whole milk;frozen vegetables;canned fish;salty snack;seasonal products;detergent
43,sausage;pastry
44,sausage;beef;whole milk
45,frankfurter;tropical fruit;rolls/buns;brown bread;sugar
46,rolls/buns;pastry;soda
47,curd cheese;coffee
48,red/blush wine;newspapers
49,sausage;whole milk;curd
50,tropical fruit;pip fruit;berries;whole milk;frozen potato products;rolls/buns;pickled vegetables;chocolate
51,whole milk;butter;margarine;specialty fat;specialty chocolate;candles;flower (seeds)
52,frankfurter;citrus fruit;whole milk;domestic eggs;oil;sparkling wine;specialty chocolate;newspapers
53,whole milk;meat spreads;soda
54,other vegetables;whole milk;rolls/buns;sugar
55,citrus fruit;whole milk;curd;butter milk;pastry
56,flour;salt;bottled water;fruit/vegetable juice;bottled beer
57,sugar;bottled water;soda;bottled beer
58,frozen meals;coffee
59,root vegetables;whole milk;frozen vegetables;domestic eggs;rolls/buns;oil;margarine;canned vegetables;fruit/vegetable juice;bathroom cleaner
60,root vegetables;onions;hard cheese;frozen vegetables
61,herbs;condensed milk;frozen vegetables;salt;oil;white wine;candles
62,sausage;root vegetables;onions;yogurt;rolls/buns;brandy;detergent
63,coffee;newspapers
64,pork;other vegetables;whipped/sour cream
65,berries;yogurt
66,fruit/vegetable juice;salty snack;candles
67,citrus fruit;butter milk;yogurt;cream cheese
68,pork;hamburger meat;citrus fruit;berries;onions;whipped/sour cream;rice;coffee;chocolate
69,grapes;photo/film
70,sausage;sliced cheese;rolls/buns;brown bread;fruit/vegetable juice;canned beer;red/blush wine;waffles;shopping bags
71,chicken;hamburger meat;citrus fruit;tropical fruit;root vegetables;other vegetables;butter;pasta;oil;detergent
72,whole milk;yogurt;brown bread
73,citrus fruit;tropical fruit
74,soda;misc. beverages
75,sausage;pork;grapes;whole milk;rolls/buns;pastry;soda;specialty bar;bathroom cleaner
76,frankfurter;rolls/buns;bottled water
77,sausage;whole milk;yogurt;coffee;fruit/vegetable juice;bottled beer;softener;napkins;photo/film;shopping bags
78,rolls/buns;fruit/vegetable juice
79,beef;citrus fruit;berries;root vegetables;brown bread;detergent
80,whole milk;whipped/sour cream;rolls/buns;soda;waffles;candy;cling film/bags
81,tropical fruit;pip fruit
82,frankfurter;sausage;root vegetables;other vegetables;rolls/buns;oil;pickled vegetables;bottled beer;chewing gum;dishes
83,packaged fruit/vegetables;bottled water
84,whole milk;dessert;frozen vegetables;rolls/buns;margarine;bottled water;red/blush wine;newspapers
85,berries;whipped/sour cream
86,citrus fruit;berries;UHT-milk;processed cheese
87,tropical fruit;whole milk;yogurt
88,hamburger meat;whole milk;frozen vegetables;rolls/buns;bottled beer;sparkling wine
89,hamburger meat;other vegetables;whole milk;frozen vegetables;domestic eggs;soda;dishes
90,whole milk;cream cheese;soda
91,fish;other vegetables;pastry;margarine;coffee;long life bakery product;male cosmetics;shopping bags
92,frankfurter;sausage;long life bakery product;waffles
93,packaged fruit/vegetables;dessert;semi-finished bread;canned beer
94,pastry;soda
95,other vegetables;red/blush wine
96,frankfurter;sausage;citrus fruit;tropical fruit;pip fruit;whole milk;hard cheese;cream cheese;domestic eggs;rice;sugar;canned fruit;misc. beverages;fruit/vegetable juice;hygiene articles
