id,basket
1,citrus fruit;semi-finished bread;margarine;ready soups
2,tropical fruit;yogurt;coffee
3,whole milk
4,pip fruit;yogurt;cream cheese;meat spreads
5,other vegetables;whole milk;condensed milk;long life bakery product
6,whole milk;butter;yogurt;rice;abrasive cleaner
7,rolls/buns
8,other vegetables;UHT-milk;rolls/buns;bottled beer;liquor (appetizer)
9,potted plants
10,whole milk;cereals
11,tropical fruit;other vegetables;white bread;bottled water;chocolate
12,citrus fruit;tropical fruit;whole milk;butter;curd;yogurt;flour;bottled water;dishes
13,beef
14,frankfurter;rolls/buns;soda
15,chicken;tropical fruit
16,butter;sugar;fruit/vegetable juice;newspapers
17,fruit/vegetable juice
18,packaged fruit/vegetables
19,chocolate
20,specialty bar
21,other vegetables
22,butter milk;pastry
23,whole milk
24,tropical fruit;cream cheese;processed cheese;detergent;newspapers
25,tropical fruit;root vegetables;other vegetables;frozen dessert;rolls/buns;flour;sweet spreads;salty snack;waffles;candy;bathroom cleaner
26,bottled water;canned beer
27,yogurt
28,sausage;rolls/buns;soda;chocolate
29,other vegetables
30,brown bread;soda;fruit/vegetable juice;canned beer;newspapers;shopping bags
31,yogurt;beverages;bottled water;specialty bar
32,hamburger meat;other vegetables;rolls/buns;spices;bottled water;hygiene articles;napkins
33,root vegetables;other vegetables;whole milk;beverages;sugar
34,pork;berries;other vegetables;whole milk;whipped/sour cream;artif. sweetener;soda;abrasive cleaner
35,beef;grapes;detergent
36,pastry;soda
37,fruit/vegetable juice
38,canned beer
39,root vegetables;other vegetables;whole milk;dessert
40,citrus fruit;zwieback;newspapers
41,sausage;rolls/buns;soda;canned beer;specialty bar;shopping bags
42,berries;yogurt
43,canned beer
44,butter milk;yogurt;cream cheese;spread cheese;rolls/buns;bottled water;soda;newspapers
45,coffee
46,pastry;bottled water
47,rolls/buns
48,misc. beverages
49,root vegetables;other vegetables;butter;curd;whipped/sour cream;UHT-milk;hard cheese;rolls/buns;bottled water;long life bakery product
50,sausage;rolls/buns;cat food;newspapers
51,canned beer
52,ham;grapes;other vegetables;whole milk
53,turkey;tropical fruit;other vegetables;curd;domestic eggs;brown bread;semi-finished bread;margarine;baking powder;fruit/vegetable juice
54,whole milk;yogurt;processed cheese;pickled vegetables;soda
55,whole milk;curd;yogurt;pastry
56,packaged fruit/vegetables;brown bread;canned beer
57,rolls/buns;oil;bottled water;chewing gum;chocolate marshmallow;hygiene articles;napkins
58,ham;beef;whipped/sour cream;ice cream;rolls/buns;cat food
59,rolls/buns;pastry;sugar
60,other vegetables;whole milk;frozen vegetables;canned fish;salty snack;seasonal products;detergent
61,sausage;pastry
62,sausage;beef;whole milk
63,frankfurter;tropical fruit;rolls/buns;brown bread;sugar
64,rolls/buns;pastry;soda
65,whole milk
66,curd cheese;coffee
67,red/blush wine;newspapers
68,sausage;whole milk;curd
69,tropical fruit;pip fruit;berries;whole milk;frozen potato products;rolls/buns;pickled vegetables;chocolate
70,red/blush wine
71,whole milk;butter;margarine;specialty fat;specialty chocolate;candles;flower (seeds)
72,frankfurter;citrus fruit;whole milk;domestic eggs;oil;sparkling wine;specialty chocolate;newspapers
73,whole milk;meat spreads;soda
74,frozen potato products
75,other vegetables;whole milk;rolls/buns;sugar
76,citrus fruit;whole milk;curd;butter milk;pastry
77,flour;salt;bottled water;fruit/vegetable juice;bottled beer
78,sugar;bottled water;soda;bottled beer
79,frozen meals;coffee
80,chocolate
81,root vegetables;whole milk;frozen vegetables;domestic eggs;rolls/buns;oil;margarine;canned vegetables;fruit/vegetable juice;bathroom cleaner
82,root vegetables;onions;hard cheese;frozen vegetables
83,herbs;condensed milk;frozen vegetables;salt;oil;white wine;candles
84,bottled water
85,sausage;root vegetables;onions;yogurt;rolls/buns;brandy;detergent
86,coffee;newspapers
87,pork;other vegetables;whipped/sour cream
88,berries;yogurt
89,soda
90,berries
91,fruit/vegetable juice;salty snack;candles
92,citrus fruit;butter milk;yogurt;cream cheese
93,pork;hamburger meat;citrus fruit;berries;onions;whipped/sour cream;rice;coffee;chocolate
94,detergent
95,grapes;photo/film
96,sausage;sliced cheese;rolls/buns;brown bread;fruit/vegetable juice;canned beer;red/blush wine;waffles;shopping bags
97,chicken;hamburger meat;citrus fruit;tropical fruit;root vegetables;other vegetables;butter;pasta;oil;detergent
98,whole milk;yogurt;brown bread
99,citrus fruit;tropical fruit
100,soda;misc. beverages
101,sausage;pork;grapes;whole milk;rolls/buns;pastry;soda;specialty bar;bathroom cleaner
102,frankfurter;rolls/buns;bottled water
103,sausage;whole milk;yogurt;coffee;fruit/vegetable juice;bottled beer;softener;napkins;photo/film;shopping bags
104,soda
105,rolls/buns;fruit/vegetable juice
106,beef;citrus fruit;berries;root vegetables;brown bread;detergent
107,whole milk;whipped/sour cream;rolls/buns;soda;waffles;candy;cling film/bags
108,processed cheese
109,tropical fruit;pip fruit
110,frankfurter;sausage;root vegetables;other vegetables;rolls/buns;oil;pickled vegetables;bottled beer;chewing gum;dishes
111,packaged fruit/vegetables;bottled water
112,whole milk;dessert;frozen vegetables;rolls/buns;margarine;bottled water;red/blush wine;newspapers
113,berries;whipped/sour cream
114,citrus fruit;berries;UHT-milk;processed cheese
115,tropical fruit;whole milk;yogurt
116,hamburger meat;whole milk;frozen vegetables;rolls/buns;bottled beer;sparkling wine
117,hamburger meat;other vegetables;whole milk;frozen vegetables;domestic eggs;soda;dishes
118,whole milk;cream cheese;soda
119,fish;other vegetables;pastry;margarine;coffee;long life bakery product;male cosmetics;shopping bags
