id,basket
1,citrus fruit;semi-finished bread;margarine;ready soups
2,tropical fruit;yogurt;coffee
3,pip fruit;yogurt;cream cheese;meat spreads
4,other vegetables;whole milk;condensed milk;long life bakery product
5,whole milk;butter;yogurt;rice;abrasive cleaner
6,other vegetables;UHT-milk;rolls/buns;bottled beer;liquor (appetizer)
7,whole milk;cereals
8,tropical fruit;other vegetables;white bread;bottled water;chocolate
9,citrus fruit;tropical fruit;whole milk;butter;curd;yogurt;flour;bottled water;dishes
10,frankfurter;rolls/buns;soda
11,chicken;tropical fruit
12,butter;sugar;fruit/vegetable juice;newspapers
13,butter milk;pastry
14,tropical fruit;cream cheese;processed cheese;detergent;newspapers
15,tropical fruit;root vegetables;other vegetables;frozen dessert;rolls/buns;flour;sweet spreads;salty snack;waffles;candy;bathroom cleaner
16,bottled water;canned beer
17,sausage;rolls/buns;soda;chocolate
18,brown bread;soda;fruit/vegetable juice;canned beer;newspapers;shopping bags
19,yogurt;beverages;bottled water;specialty bar
20,hamburger meat;other vegetables;rolls/buns;spices;bottled water;hygiene articles;napkins
21,root vegetables;other vegetables;whole milk;beverages;sugar
22,pork;berries;other vegetables;whole milk;whipped/sour cream;artif. sweetener;soda;abrasive cleaner
23,beef;grapes;detergent
24,pastry;soda
25,root vegetables;other vegetables;whole milk;dessert
26,citrus fruit;zwieback;newspapers
27,sausage;rolls/buns;soda;canned beer;specialty bar;shopping bags
28,berries;yogurt
29,butter milk;yogurt;cream cheese;spread cheese;rolls/buns;bottled water;soda;newspapers
30,pastry;bottled water
31,root vegetables;other vegetables;butter;curd;whipped/sour cream;UHT-milk;hard cheese;rolls/buns;bottled water;long life bakery product
32,sausage;rolls/buns;cat food;newspapers
33,ham;grapes;other vegetables;whole milk
34,turkey;tropical fruit;other vegetables;curd;domestic eggs;brown bread;semi-finished bread;margarine;baking powder;fruit/vegetable juice
35,whole milk;yogurt;processed cheese;pickled vegetables;soda
36,whole milk;curd;yogurt;pastry
37,packaged fruit/vegetables;brown bread;canned beer
38,rolls/buns;oil;bottled water;chewing gum;chocolate marshmallow;hygiene articles;napkins
39,ham;beef;whipped/sour cream;ice cream;rolls/buns;cat food
40,rolls/buns;pastry;sugar
41,other vegetables;whole milk;frozen vegetables;canned fish;salty snack;seasonal products;detergent
42,sausage;pastry
43,sausage;beef;whole milk
44,frankfurter;tropical fruit;rolls/buns;brown bread;sugar
45,rolls/buns;pastry;soda
46,curd cheese;coffee
47,red/blush wine;newspapers
48,sausage;whole milk;curd
49,tropical fruit;pip fruit;berries;whole milk;frozen potato products;rolls/buns;pickled vegetables;chocolate
50,whole milk;butter;margarine;specialty fat;specialty chocolate;candles;flower (seeds)
51,frankfurter;citrus fruit;whole milk;domestic eggs;oil;sparkling wine;specialty chocolate;newspapers
52,whole milk;meat spreads;soda
53,other vegetables;whole milk;rolls/buns;sugar
54,citrus fruit;whole milk;curd;butter milk;pastry
55,flour;salt;bottled water;fruit/vegetable juice;bottled beer
56,sugar;bottled water;soda;bottled beer
57,frozen meals;coffee
58,root vegetables;whole milk;frozen vegetables;domestic eggs;rolls/buns;oil;margarine;canned vegetables;fruit/vegetable juice;bathroom cleaner
59,root vegetables;onions;hard cheese;frozen vegetables
60,herbs;condensed milk;frozen vegetables;salt;oil;white wine;candles
61,sausage;root vegetables;onions;yogurt;rolls/buns;brandy;detergent
62,coffee;newspapers
63,pork;other vegetables;whipped/sour cream
64,berries;yogurt
65,fruit/vegetable juice;salty snack;candles
66,citrus fruit;butter milk;yogurt;cream cheese
67,pork;hamburger meat;citrus fruit;berries;onions;whipped/sour cream;rice;coffee;chocolate
68,grapes;photo/film
69,sausage;sliced cheese;rolls/buns;brown bread;fruit/vegetable juice;canned beer;red/blush wine;waffles;shopping bags
70,chicken;hamburger meat;citrus fruit;tropical fruit;root vegetables;other vegetables;butter;pasta;oil;detergent
71,whole milk;yogurt;brown bread
72,citrus fruit;tropical fruit
73,soda;misc. beverages
74,sausage;pork;grapes;whole milk;rolls/buns;pastry;soda;specialty bar;bathroom cleaner
75,frankfurter;rolls/buns;bottled water
76,sausage;whole milk;yogurt;coffee;fruit/vegetable juice;bottled beer;softener;napkins;photo/film;shopping bags
77,rolls/buns;fruit/vegetable juice
78,beef;citrus fruit;berries;root vegetables;brown bread;detergent
79,whole milk;whipped/sour cream;rolls/buns;soda;waffles;candy;cling film/bags
80,tropical fruit;pip fruit
81,frankfurter;sausage;root vegetables;other vegetables;rolls/buns;oil;pickled vegetables;bottled beer;chewing gum;dishes
82,packaged fruit/vegetables;bottled water
83,whole milk;dessert;frozen vegetables;rolls/buns;margarine;bottled water;red/blush wine;newspapers
84,berries;whipped/sour cream
85,citrus fruit;berries;UHT-milk;processed cheese
86,tropical fruit;whole milk;yogurt
87,hamburger meat;whole milk;frozen vegetables;rolls/buns;bottled beer;sparkling wine
88,hamburger meat;other vegetables;whole milk;frozen vegetables;domestic eggs;soda;dishes
89,whole milk;cream cheese;soda
90,fish;other vegetables;pastry;margarine;coffee;long life bakery product;male cosmetics;shopping bags
91,frankfurter;sausage;long life bakery product;waffles
92,packaged fruit/vegetables;dessert;semi-finished bread;canned beer
93,pastry;soda
94,other vegetables;red/blush wine
95,sausage;butter milk;rolls/buns
96,frankfurter;dessert
97,whole milk;yogurt;beverages;brown bread;shopping bags
98,berries;soda
99,curd;flour;liquor (appetizer)
100,tropical fruit;other vegetables;coffee
101,rolls/buns;Instant food products
102,frankfurter;sausage;whole milk;rolls/buns;margarine
103,other vegetables;misc. beverages;canned beer
