id,support,pattern
0,0.409,whole milk
1,0.045,hard cheese
2,0.007,skin care
3,0.037,beverages
4,0.065,canned beer
5,0.199,root vegetables
6,0.005,syrup
7,0.044,frozen meals
8,0.005,nuts/prunes
9,0.098,bottled beer
10,0.007,abrasive cleaner
11,0.021,packaged fruit/vegetables
12,0.107,brown bread
13,0.130,pip fruit
14,0.016,specialty cheese
15,0.010,finished products
16,0.008,ketchup
17,0.028,red/blush wine
18,0.026,canned fish
19,0.049,butter milk
20,0.234,yogurt
21,0.020,canned vegetables
22,0.048,candy
23,0.011,dental care
24,0.074,white bread
25,0.031,soft cheese
26,0.007,tea
27,0.010,jam
28,0.034,flour
29,0.021,seasonal products
30,0.006,light bulbs
31,0.039,misc. beverages
32,0.056,onions
33,0.019,salt
34,0.018,flower (seeds)
35,0.063,long life bakery product
36,0.028,dishes
37,0.059,hamburger meat
38,0.121,newspapers
39,0.333,other vegetables
40,0.014,frozen potato products
41,0.010,cereals
42,0.115,domestic eggs
43,0.022,white wine
44,0.105,margarine
45,0.138,pastry
46,0.184,tropical fruit
47,0.046,sliced cheese
48,0.015,turkey
49,0.005,potato products
50,0.019,roll products
51,0.058,uht-milk
52,0.078,chocolate
53,0.041,specialty chocolate
54,0.005,brandy
55,0.008,curd cheese
56,0.008,sparkling wine
57,0.009,female sanitary products
58,0.012,liquor
59,0.094,curd
60,0.090,beef
61,0.126,whipped/sour cream
62,0.007,specialty fat
63,0.008,photo/film
64,0.036,specialty bar
65,0.025,potted plants
66,0.018,dish cleaner
67,0.166,shopping bags
68,0.012,liquor (appetizer)
69,0.016,sweet spreads
70,0.005,artif. sweetener
71,0.012,vinegar
72,0.033,baking powder
73,0.092,napkins
74,0.146,citrus fruit
75,0.039,grapes
76,0.006,canned fruit
77,0.064,dessert
78,0.020,cling film/bags
79,0.061,salty snack
80,0.098,frankfurter
81,0.015,dog food
82,0.010,zwieback
83,0.098,pork
84,0.073,chicken
85,0.071,cream cheese
86,0.007,rum
87,0.020,spread cheese
88,0.018,condensed milk
89,0.153,sausage
90,0.059,berries
91,0.029,herbs
92,0.014,pet care
93,0.040,cat food
94,0.048,ham
95,0.014,house keeping products
96,0.063,waffles
97,0.031,chewing gum
98,0.020,frozen fish
99,0.034,pickled vegetables
100,0.009,cleaner
101,0.009,softener
102,0.084,frozen vegetables
103,0.057,hygiene articles
104,0.124,fruit/vegetable juice
105,0.030,processed cheese
106,0.009,liver loaf
107,0.023,cake bar
108,0.239,soda
109,0.015,rice
110,0.087,coffee
111,0.019,frozen dessert
112,0.259,rolls/buns
113,0.045,meat
114,0.010,spices
115,0.060,sugar
116,0.010,sauces
117,0.013,popcorn
118,0.168,bottled water
119,0.018,mayonnaise
120,0.014,candles
121,0.007,male cosmetics
122,0.012,kitchen towels
123,0.014,instant food products
124,0.007,meat spreads
125,0.048,oil
126,0.022,mustard
127,0.033,ice cream
128,0.011,instant coffee
129,0.012,soups
130,0.034,detergent
131,0.027,pasta
132,0.014,chocolate marshmallow
133,0.028,semi-finished bread
134,0.102,butter
135,0.005,hamburger meat;napkins
136,0.010,butter;coffee
137,0.028,bottled water;citrus fruit
138,0.007,red/blush wine;rolls/buns
139,0.021,other vegetables;waffles
140,0.008,frankfurter;sugar
141,0.005,domestic eggs;pickled vegetables
142,0.008,misc. beverages;shopping bags
143,0.006,hard cheese;shopping bags
144,0.010,beef;pip fruit
145,0.007,specialty cheese;whole milk
146,0.016,butter;pastry
147,0.006,berries;napkins
148,0.011,butter milk;tropical fruit
149,0.010,canned fish;other vegetables
150,0.008,berries;fruit/vegetable juice
