id,support,pattern
0,0.409,whole milk
1,0.045,hard cheese
2,0.003,organic products
3,0.002,decalcifier
4,0.007,skin care
5,0.037,beverages
6,0.002,cream
7,0.065,canned beer
8,0.199,root vegetables
9,0.005,syrup
10,0.044,frozen meals
11,0.004,snack products
12,0.005,nuts/prunes
13,0.098,bottled beer
14,0.007,abrasive cleaner
15,0.004,ready soups
16,0.021,packaged fruit/vegetables
17,0.107,brown bread
18,0.001,toilet cleaner
19,0.130,pip fruit
20,0.016,specialty cheese
21,0.004,tidbits
22,0.010,finished products
23,0.008,ketchup
24,0.028,red/blush wine
25,0.026,canned fish
26,0.049,butter milk
27,0.234,yogurt
28,0.020,canned vegetables
29,0.048,candy
30,0.004,pudding powder
31,0.011,dental care
32,0.005,bathroom cleaner
33,0.074,white bread
34,0.031,soft cheese
35,0.007,tea
36,0.010,jam
37,0.034,flour
38,0.021,seasonal products
39,0.006,light bulbs
40,0.002,rubbing alcohol
41,0.039,misc. beverages
42,0.056,onions
43,0.019,salt
44,0.018,flower (seeds)
45,0.063,long life bakery product
46,0.004,specialty vegetables
47,0.028,dishes
48,0.059,hamburger meat
49,0.121,newspapers
50,0.333,other vegetables
51,0.014,frozen potato products
52,0.010,cereals
53,0.115,domestic eggs
54,0.022,white wine
55,0.105,margarine
56,0.138,pastry
57,0.184,tropical fruit
58,0.046,sliced cheese
59,0.004,cocoa drinks
60,0.015,turkey
61,0.005,potato products
62,0.019,roll products
63,0.058,uht-milk
64,0.002,salad dressing
65,0.078,chocolate
66,0.041,specialty chocolate
67,0.004,fish
68,0.004,cooking chocolate
69,0.001,liqueur
70,0.005,brandy
71,0.008,curd cheese
72,0.008,sparkling wine
73,0.009,female sanitary products
74,0.012,liquor
75,0.094,curd
76,0.090,beef
77,0.126,whipped/sour cream
78,0.007,specialty fat
79,0.001,whisky
80,0.008,photo/film
81,0.036,specialty bar
82,0.025,potted plants
83,0.004,organic sausage
84,0.018,dish cleaner
85,0.166,shopping bags
86,0.012,liquor (appetizer)
87,0.016,sweet spreads
88,0.005,artif. sweetener
89,0.012,vinegar
90,0.003,cookware
91,0.033,baking powder
92,0.092,napkins
93,0.146,citrus fruit
94,0.039,grapes
95,0.006,canned fruit
96,0.064,dessert
97,0.020,cling film/bags
98,0.061,salty snack
99,0.098,frankfurter
100,0.002,flower soil/fertilizer
101,0.015,dog food
102,0.004,soap
103,0.010,zwieback
104,0.098,pork
105,0.073,chicken
106,0.071,cream cheese
107,0.007,rum
108,0.020,spread cheese
109,0.018,condensed milk
110,0.153,sausage
111,0.059,berries
112,0.029,herbs
113,0.014,pet care
114,0.040,cat food
115,0.048,ham
116,0.014,house keeping products
117,0.063,waffles
118,0.003,honey
119,0.031,chewing gum
120,0.020,frozen fish
121,0.034,pickled vegetables
122,0.009,cleaner
123,0.009,softener
124,0.001,hair spray
125,0.084,frozen vegetables
126,0.057,hygiene articles
127,0.124,fruit/vegetable juice
128,0.030,processed cheese
129,0.009,liver loaf
130,0.023,cake bar
131,0.239,soda
132,0.015,rice
133,0.087,coffee
134,0.019,frozen dessert
135,0.259,rolls/buns
136,0.045,meat
137,0.001,make up remover
138,0.010,spices
139,0.005,nut snack
140,0.060,sugar
141,0.010,sauces
142,0.013,popcorn
143,0.168,bottled water
144,0.018,mayonnaise
145,0.014,candles
146,0.007,male cosmetics
147,0.012,kitchen towels
148,0.014,instant food products
149,0.007,meat spreads
150,0.048,oil
151,0.022,mustard
152,0.033,ice cream
153,0.011,instant coffee
154,0.012,soups
155,0.002,frozen fruits
156,0.034,detergent
157,0.027,pasta
158,0.003,prosecco
